#{"t_start": 1784200330.929455, "env_id": "snake-v0"}
r,l,t
-250.0,44,0.961277
-171.0,31,1.041522
-85.0,7,1.073526
-162.0,17,1.114312
-211.0,31,1.193606
-89.0,11,1.20227
-47.0,12,1.238987
-26.0,6,1.244131
-300.0,45,1.360992
-22.0,5,1.392886
-36.0,4,1.396306
-55.0,11,1.405039
-291.0,50,1.553665
-90.0,9,1.561126
-601.0,78,1.762376
-15.0,3,1.764672
-85.0,11,1.800828
-52.0,5,1.804907
-184.0,17,1.847126
-14.0,2,1.848768
-263.0,28,1.925971
-52.0,6,1.957658
-30.0,4,1.961419
-135.0,16,2.001089
-42.0,5,2.005343
-65.0,20,2.049543
-50.0,6,2.081942
-35.0,3,2.084559
-181.0,18,2.127795
-52.0,5,2.131734
-55.0,11,2.167205
-48.0,5,2.171352
-63.0,19,2.242451
-51.0,10,2.251067
-28.0,4,2.254318
-27.0,3,2.28371
-84.0,13,2.295093
-19.0,2,2.32418
-45.0,8,2.330876
-72.0,14,2.369754
-59.0,8,2.376141
-33.0,8,2.410711
-27.0,3,2.41307
-17.0,2,2.414658
-43.0,7,2.448027
-51.0,7,2.453685
-43.0,7,2.487645
-48.0,9,2.495241
-28.0,4,2.498423
-15.0,3,2.52845
-29.0,3,2.530978
-36.0,5,2.535159
-73.0,8,2.569174
-25.0,6,2.574101
-25.0,7,2.580115
-14.0,2,2.581696
-40.0,5,2.612673
-31.0,7,2.618366
-33.0,3,2.621109
-60.0,9,2.656738
-25.0,6,2.662225
-19.0,4,2.693245
-12.0,5,2.697655
-60.0,6,2.702732
-24.0,5,2.733258
-22.0,4,2.736814
-22.0,2,2.738487
-38.0,5,2.742608
-25.0,3,2.745304
-45.0,8,2.780507
-32.0,8,2.787634
-55.0,7,2.821098
-14.0,2,2.822689
-52.0,9,2.858117
-40.0,5,2.862583
-30.0,5,2.866485
-32.0,6,2.898528
-37.0,4,2.901973
-52.0,5,2.906094
-25.0,7,2.940044
-20.0,5,2.944572
-55.0,7,2.950401
-15.0,2,2.952308
-38.0,6,2.98475
-36.0,4,2.98842
-25.0,4,2.991652
-27.0,3,3.021174
-43.0,4,3.024542
-27.0,3,3.027138
-47.0,8,3.03365
-63.0,7,3.067665
-32.0,5,3.072253
-22.0,2,3.073978
-13.0,2,3.075637
-52.0,8,3.110289
-22.0,6,3.11536
-22.0,4,3.14658
-18.0,2,3.148314
-33.0,3,3.150756
-66.0,8,3.157768
-31.0,4,3.187664
-31.0,7,3.193323
-74.0,9,3.228114
-35.0,3,3.23072
-86.0,9,3.238493
-17.0,3,3.268795
-21.0,2,3.270535
-43.0,7,3.277373
-23.0,3,3.279934
-29.0,3,3.309244
4.0,6,3.314211
-37.0,7,3.320061
-35.0,6,3.351743
-17.0,3,3.354298
-73.0,7,3.359882
-28.0,4,3.390308
-29.0,3,3.392753
-15.0,3,3.395603
-12.0,2,3.397416
-23.0,3,3.3998
-27.0,3,3.40249
-62.0,9,3.437648
-39.0,7,3.443323
-23.0,2,3.472019
-45.0,8,3.478952
-19.0,3,3.481467
-17.0,2,3.48302
-74.0,9,3.518176
-47.0,8,3.52497
-54.0,8,3.55903
-24.0,2,3.560873
-38.0,9,3.596006
-61.0,7,3.601775
-57.0,6,3.606771
-32.0,5,3.638722
-17.0,2,3.640329
-15.0,2,3.642045
-30.0,8,3.676134
-13.0,2,3.678177
-57.0,8,3.685081
-20.0,2,3.68691
-36.0,6,3.719337
-23.0,2,3.720945
-55.0,7,3.7266
-36.0,5,3.7578
-22.0,5,3.762322
-14.0,2,3.763992
-15.0,2,3.765717
-20.0,2,3.767286
-16.0,2,3.769216
-12.0,2,3.770861
-55.0,6,3.804304
-25.0,4,3.807644
-54.0,10,3.843384
-37.0,4,3.846817
-51.0,7,3.852749
-23.0,2,3.881535
-40.0,5,3.886008
-22.0,2,3.887672
-16.0,4,3.89103
-67.0,7,3.924616
-21.0,2,3.926383
-60.0,6,3.93149
-17.0,2,3.933199
-31.0,4,3.964354
-23.0,3,3.966829
-27.0,4,3.970445
-37.0,4,3.973768
-37.0,8,4.008246
-19.0,2,4.009917
-56.0,9,4.017632
-15.0,2,4.0462
-67.0,7,4.052631
-25.0,4,4.055858
-31.0,4,4.05922
-15.0,3,4.089995
-80.0,8,4.096903
-25.0,3,4.100042
-22.0,9,4.135021
-26.0,5,4.139213
-15.0,2,4.141001
-32.0,5,4.173019
-37.0,4,4.176341
-43.0,4,4.180021
-43.0,4,4.183228
-72.0,9,4.219082
-19.0,2,4.220773
-21.0,4,4.22391
-60.0,6,4.256948
-50.0,6,4.262055
-27.0,3,4.264458
-15.0,2,4.266198
-22.0,4,4.296452
-28.0,5,4.300435
-42.0,6,4.305599
-37.0,4,4.33673
-46.0,4,4.339941
-21.0,2,4.341607
-65.0,6,4.346958
-30.0,8,4.380775
-19.0,2,4.382361
-19.0,2,4.383931
-15.0,2,4.385933
-80.0,8,4.420042
-61.0,8,4.42668
-40.0,4,4.430213
-36.0,8,4.464885
-22.0,5,4.469269
-40.0,6,4.50088
-60.0,5,4.505406
-23.0,3,4.507835
-31.0,7,4.540303
-25.0,3,4.542874
-15.0,4,4.546571
-32.0,6,4.551499
-50.0,6,4.584325
-37.0,8,4.591214
-18.0,2,4.593013
-32.0,5,4.625098
-37.0,7,4.63102
-31.0,4,4.634326
-70.0,9,4.669263
-81.0,6,4.67433
-27.0,3,4.706797
-31.0,3,4.70955
-27.0,6,4.714856
-44.0,5,4.719219
-27.0,7,4.752318
-25.0,3,4.754786
-59.0,8,4.789076
-22.0,5,4.793145
-29.0,3,4.795969
-19.0,3,4.798442
-43.0,4,4.801776
-37.0,3,4.831276
-15.0,4,4.834516
-14.0,2,4.836658
-25.0,3,4.853978
-33.0,4,4.857423
-27.0,3,4.887446
-25.0,4,4.890724
-60.0,5,4.895183
-82.0,9,4.929926
-22.0,4,4.933291
-46.0,4,4.936856
-27.0,3,4.939358
-49.0,4,4.970769
-34.0,4,4.973919
-25.0,3,4.976623
-37.0,4,4.980161
-25.0,2,5.009251
-31.0,3,5.011847
-13.0,3,5.014276
-15.0,2,5.015885
-16.0,2,5.017558
-70.0,6,5.050109
-40.0,5,5.054683
-35.0,6,5.059582
-33.0,8,5.093465
-17.0,3,5.09609
-1.0,3,5.098465
-35.0,3,5.101061
-40.0,6,5.134202
-19.0,3,5.136842
-18.0,2,5.138515
-21.0,3,5.141011
-67.0,7,5.173769
-43.0,4,5.177441
-19.0,4,5.180701
-19.0,4,5.184012
-16.0,4,5.215383
-33.0,3,5.218021
-48.0,5,5.222301
-102.0,9,5.257885
-47.0,8,5.26476
-13.0,2,5.26639
-58.0,9,5.302578
-49.0,4,5.305801
-15.0,3,5.308365
-20.0,2,5.310414
-52.0,8,5.34531
-56.0,5,5.349398
-25.0,4,5.352893
-60.0,5,5.386227
-52.0,8,5.392933
-48.0,5,5.425458
-28.0,5,5.430342
-40.0,5,5.434627
-36.0,5,5.466144
-21.0,3,5.468862
-23.0,3,5.471528
-37.0,4,5.475098
-45.0,7,5.508834
-29.0,3,5.511873
-54.0,9,5.519926
-61.0,7,5.553576
-25.0,3,5.556025
-22.0,4,5.559457
-16.0,2,5.561224
-17.0,2,5.5628
-21.0,3,5.592967
-43.0,7,5.599036
-34.0,4,5.602572
-27.0,3,5.632856
-16.0,4,5.63663
-33.0,3,5.639134
-22.0,5,5.64326
-28.0,5,5.675526
-25.0,2,5.677443
-37.0,4,5.680724
-80.0,6,5.685883
-17.0,3,5.716865
-13.0,2,5.719115
-43.0,4,5.722452
-43.0,4,5.726058
-34.0,4,5.729566
-40.0,6,5.76132
-37.0,7,5.767167
-31.0,7,5.799849
-17.0,2,5.801797
-23.0,3,5.804635
-27.0,6,5.809717
-45.0,8,5.844106
-28.0,5,5.848213
-25.0,3,5.850754
-68.0,8,5.885768
-15.0,2,5.887383
-33.0,3,5.890045
-17.0,2,5.891774
-67.0,7,5.92509
-36.0,9,5.932729
-19.0,2,5.934401
-24.0,5,5.967083
-22.0,4,5.970882
-31.0,3,5.973252
-3.0,4,5.976602
-27.0,3,6.007257
-18.0,5,6.011584
-78.0,9,6.019244
-40.0,4,6.05021
0.0,2,6.052409
-34.0,4,6.05575
-40.0,5,6.059887
-46.0,4,6.091019
-36.0,5,6.095374
-33.0,3,6.097807
-17.0,6,6.129514
-22.0,4,6.132769
-58.0,9,6.140207
-31.0,4,6.170496
-37.0,3,6.172919
-25.0,2,6.174598
-28.0,4,6.17811
-52.0,5,6.182209
-55.0,7,6.215789
-19.0,3,6.218277
-45.0,6,6.223306
-35.0,3,6.253465
-31.0,3,6.256006
-14.0,2,6.257582
-32.0,5,6.261908
-18.0,2,6.263611
-29.0,3,6.293715
-15.0,4,6.297444
-31.0,4,6.30076
-31.0,4,6.304391
-73.0,8,6.339026
-32.0,6,6.344636
-16.0,2,6.346325
-64.0,5,6.377737
-16.0,4,6.381069
-22.0,4,6.384297
-27.0,7,6.41705
-32.0,5,6.421618
-39.0,3,6.424059
-15.0,2,6.425693
-18.0,5,6.458105
-60.0,6,6.463498
-14.0,2,6.465156
-23.0,2,6.466694
-27.0,7,6.5003
-25.0,2,6.502206
-13.0,2,6.503959
-37.0,8,6.510432
-28.0,4,6.541559
-31.0,3,6.544515
-43.0,9,6.551787
-22.0,5,6.583945
-57.0,7,6.589982
-46.0,4,6.593178
-28.0,5,6.624827
-19.0,3,6.627927
-30.0,8,6.634434
-21.0,2,6.636213
-25.0,3,6.666168
-33.0,3,6.668754
