#{"t_start": 1784200330.9289165, "env_id": "snake-v0"}
r,l,t
-146.0,26,0.920478
-150.0,32,1.001271
-76.0,9,1.03615
-112.0,17,1.075579
-14.0,2,1.077246
-45.0,6,1.081943
-447.0,70,1.274292
-27.0,3,1.276557
-232.0,29,1.353949
-48.0,5,1.357764
-119.0,22,1.403091
-21.0,3,1.405549
-140.0,25,1.479508
-27.0,3,1.481852
-112.0,20,1.525385
-39.0,8,1.559047
-92.0,9,1.594795
-63.0,7,1.600388
-59.0,10,1.636034
-166.0,12,1.645462
-94.0,12,1.683881
-155.0,19,1.725926
-33.0,4,1.756412
0.0,2,1.758052
-93.0,15,1.797276
-23.0,3,1.799775
-69.0,16,1.841171
-23.0,2,1.842819
-32.0,6,1.847638
-49.0,7,1.880522
-112.0,13,1.91831
-87.0,10,1.92648
-85.0,11,1.962692
-27.0,3,1.965021
-19.0,2,1.966689
-21.0,7,1.999137
-29.0,3,2.001598
-75.0,10,2.010009
-65.0,6,2.042459
-37.0,4,2.046064
-20.0,2,2.047604
-29.0,3,2.050054
-71.0,8,2.08424
-25.0,7,2.090749
-6.0,6,2.123351
-40.0,8,2.129898
-37.0,7,2.162334
-54.0,8,2.168581
-67.0,7,2.201787
-48.0,5,2.20606
-19.0,2,2.207646
-24.0,5,2.211884
-30.0,6,2.244977
-34.0,5,2.248893
-23.0,2,2.250576
-74.0,13,2.288544
-55.0,7,2.294821
-13.0,2,2.29643
-74.0,9,2.331357
-19.0,4,2.334473
-22.0,2,2.33629
-18.0,2,2.365124
-79.0,7,2.371075
-56.0,9,2.406153
-15.0,2,2.407733
-52.0,9,2.415169
-16.0,5,2.446868
-20.0,5,2.450839
-13.0,3,2.453328
-52.0,8,2.488152
-32.0,5,2.492221
-70.0,9,2.49975
-61.0,8,2.533855
-52.0,10,2.569681
-39.0,3,2.572211
-48.0,5,2.57624
-49.0,7,2.582194
-40.0,4,2.612216
-48.0,9,2.620065
-110.0,9,2.655631
-17.0,2,2.657247
-16.0,2,2.658856
-80.0,8,2.693752
-46.0,4,2.697365
-35.0,6,2.702151
-13.0,2,2.704087
-24.0,5,2.734639
-22.0,9,2.742327
-18.0,2,2.743954
-33.0,4,2.775164
-37.0,7,2.781945
-101.0,8,2.816371
-33.0,3,2.818814
-28.0,5,2.823202
-31.0,6,2.828362
-52.0,8,2.863095
-37.0,7,2.868609
-32.0,5,2.899851
-48.0,5,2.904172
-22.0,5,2.9082
-30.0,5,2.940542
-52.0,5,2.945084
-30.0,8,2.951716
-52.0,5,2.983683
-18.0,2,2.985239
-31.0,3,2.988149
-25.0,2,2.98978
-35.0,6,3.021686
-27.0,3,3.024209
-18.0,4,3.027638
-24.0,5,3.031774
-61.0,7,3.065639
-14.0,2,3.067271
-12.0,2,3.069192
-40.0,6,3.074488
-29.0,3,3.105078
-55.0,6,3.109922
-55.0,7,3.115872
-19.0,3,3.146234
-35.0,6,3.151241
-18.0,7,3.157431
-16.0,2,3.159087
-43.0,7,3.191446
-41.0,3,3.193833
-31.0,4,3.197235
-52.0,8,3.231228
-31.0,3,3.23367
-27.0,3,3.236341
-23.0,2,3.238118
-25.0,4,3.269306
-52.0,5,3.274088
