#{"t_start": 1784200330.929847, "env_id": "snake-v0"}
r,l,t
-17.0,3,0.749596
-22.0,6,0.754622
-67.0,7,0.760167
-107.0,23,0.956851
-187.0,20,1.001148
-205.0,39,1.113152
-59.0,8,1.119741
-45.0,10,1.154599
-18.0,5,1.158329
-55.0,11,1.194869
-285.0,39,1.280634
-50.0,9,1.314759
-91.0,11,1.323188
-67.0,7,1.356126
-28.0,9,1.362942
-21.0,3,1.393529
-41.0,7,1.39897
-19.0,4,1.402215
-47.0,10,1.43767
-19.0,3,1.439839
-190.0,21,1.48314
-93.0,19,1.553304
-57.0,11,1.562342
-220.0,45,1.683001
-79.0,15,1.721788
-28.0,4,1.725036
-31.0,7,1.757932
-30.0,12,1.767289
-134.0,21,1.840294
-43.0,11,1.849157
-57.0,11,1.885366
-35.0,7,1.918615
-49.0,10,1.926557
-32.0,5,1.957293
-22.0,5,1.961814
-31.0,3,1.964141
-51.0,7,1.969808
-40.0,5,2.000726
-67.0,12,2.038546
-97.0,7,2.044381
-35.0,6,2.049178
-34.0,9,2.08422
-58.0,16,2.125628
-11.0,3,2.128201
-22.0,2,2.12979
-75.0,10,2.164546
-18.0,2,2.166033
-55.0,7,2.171785
-29.0,8,2.205947
-44.0,8,2.212576
-100.0,10,2.248792
-53.0,15,2.288712
-80.0,8,2.295555
-102.0,9,2.330512
-13.0,2,2.332004
-46.0,9,2.366522
-54.0,9,2.374101
-28.0,4,2.405264
-23.0,7,2.411163
-15.0,3,2.413492
-59.0,8,2.447663
-46.0,9,2.455035
-43.0,4,2.458187
-33.0,3,2.488917
-23.0,3,2.49133
-27.0,3,2.494094
-31.0,4,2.497227
-37.0,3,2.499642
-25.0,3,2.529799
-21.0,4,2.532964
-76.0,9,2.540448
-23.0,2,2.569606
-18.0,5,2.573738
-50.0,6,2.578945
-64.0,10,2.613965
-59.0,13,2.652949
-49.0,7,2.658966
-64.0,13,2.698097
-49.0,10,2.732897
-19.0,4,2.736452
-18.0,2,2.738137
-21.0,3,2.740635
-21.0,3,2.743064
-52.0,6,2.775934
-68.0,9,2.7843
-28.0,5,2.81629
-27.0,3,2.818972
-29.0,3,2.821485
-21.0,3,2.823934
-23.0,3,2.826249
-20.0,4,2.857754
-13.0,2,2.859376
-19.0,2,2.861273
-33.0,3,2.863748
-34.0,4,2.866928
-94.0,13,2.90492
-31.0,4,2.90807
-33.0,7,2.942114
-22.0,6,2.947564
-29.0,8,2.981961
-62.0,9,2.989691
-40.0,6,3.021672
-62.0,9,3.029284
-32.0,5,3.033284
-50.0,6,3.066392
-31.0,3,3.069269
-12.0,2,3.070967
-88.0,10,3.107451
-19.0,2,3.109059
-15.0,2,3.110766
-17.0,3,3.11338
-40.0,8,3.14796
-31.0,3,3.150391
-15.0,2,3.152388
-22.0,5,3.156556
-47.0,6,3.188078
-31.0,4,3.191393
-108.0,8,3.197872
-23.0,3,3.22775
-46.0,9,3.235471
-60.0,9,3.27104
-25.0,6,3.27702
-16.0,4,3.280359
-36.0,5,3.311409
-50.0,6,3.31618
-50.0,6,3.321435
-30.0,8,3.354715
-21.0,2,3.356387
-23.0,3,3.358726
-55.0,7,3.391568
-21.0,3,3.394404
-52.0,5,3.398617
-27.0,7,3.432365
-47.0,6,3.437284
-30.0,6,3.442149
-15.0,4,3.472501
-22.0,5,3.477007
-34.0,4,3.480209
-62.0,5,3.512063
-49.0,7,3.517812
-33.0,3,3.520368
-21.0,2,3.522103
-34.0,9,3.557083
-25.0,4,3.560507
-56.0,6,3.565395
-20.0,4,3.596451
-40.0,5,3.600594
-50.0,6,3.605568
-25.0,4,3.636269
-42.0,5,3.640837
-45.0,6,3.646067
-18.0,2,3.647789
-16.0,2,3.677003
-24.0,5,3.680975
-25.0,4,3.684715
-55.0,6,3.717169
-62.0,9,3.724641
-19.0,3,3.727348
-28.0,4,3.757439
-31.0,4,3.761133
-31.0,9,3.768862
-40.0,6,3.802255
-18.0,2,3.803942
-108.0,17,3.845571
-34.0,4,3.848886
-21.0,3,3.851329
-35.0,6,3.883685
-47.0,6,3.88893
-21.0,6,3.894178
-24.0,5,3.926019
-19.0,2,3.927957
-24.0,5,3.931935
-20.0,2,3.933642
-27.0,6,3.966465
-22.0,4,3.970092
-13.0,2,3.971697
-50.0,6,3.977332
-25.0,4,4.007894
-17.0,2,4.009551
-73.0,8,4.016426
-34.0,4,4.046628
-15.0,3,4.049337
-17.0,3,4.05227
-28.0,9,4.087918
-19.0,2,4.08963
-48.0,5,4.093878
-78.0,9,4.129672
-49.0,7,4.13564
-40.0,5,4.139647
-25.0,3,4.14225
-42.0,6,4.175078
-55.0,4,4.178807
-35.0,6,4.183702
-68.0,9,4.219533
-59.0,8,4.254189
-25.0,6,4.259078
-33.0,8,4.265845
-17.0,2,4.294374
-35.0,3,4.296865
-64.0,8,4.303624
-70.0,9,4.338723
-13.0,2,4.3404
-31.0,4,4.344108
-16.0,2,4.345775
-64.0,9,4.380409
-32.0,5,4.384414
-27.0,3,4.387233
-23.0,3,4.416787
-15.0,4,4.420516
-31.0,3,4.422995
-15.0,2,4.424617
-15.0,2,4.426316
-21.0,3,4.428988
-47.0,8,4.46369
-27.0,3,4.466108
-30.0,8,4.499711
-27.0,3,4.502584
-19.0,2,4.50421
-15.0,2,4.505827
-33.0,3,4.508231
-80.0,8,4.541677
-13.0,2,4.543801
-17.0,2,4.545379
-18.0,2,4.547053
-63.0,7,4.58061
-42.0,5,4.585074
-50.0,6,4.590067
-47.0,8,4.624743
-94.0,9,4.632244
-21.0,2,4.633963
-15.0,2,4.662465
-40.0,6,4.667499
-44.0,5,4.672248
-25.0,3,4.674783
-17.0,2,4.706445
-15.0,3,4.7092
-28.0,4,4.712796
-27.0,3,4.715349
-49.0,4,4.718865
-55.0,6,4.750732
-16.0,5,4.755222
-9.0,8,4.789561
-51.0,7,4.795605
-37.0,3,4.798077
-61.0,8,4.831721
-40.0,6,4.837116
-67.0,7,4.885442
-24.0,4,4.888748
-31.0,3,4.891199
-48.0,10,4.927072
-34.0,4,4.930407
-59.0,8,4.937307
-40.0,4,4.968746
-13.0,3,4.971253
-31.0,4,4.974511
-28.0,5,4.978962
-19.0,2,4.980592
-26.0,6,5.013089
-22.0,4,5.016348
-23.0,2,5.017978
-25.0,3,5.020785
-37.0,3,5.050576
-34.0,4,5.05432
-49.0,4,5.05751
-15.0,2,5.059216
-17.0,3,5.061954
-20.0,2,5.090634
-24.0,2,5.092221
-21.0,6,5.097318
-19.0,7,5.103396
-49.0,4,5.134718
-35.0,6,5.139784
-15.0,2,5.141618
-31.0,3,5.144248
-61.0,8,5.177875
-40.0,7,5.183649
-33.0,8,5.218729
-27.0,3,5.221145
-27.0,3,5.223592
-16.0,2,5.225284
-31.0,3,5.255797
-14.0,2,5.257522
-16.0,2,5.259174
-21.0,3,5.261912
-15.0,3,5.264398
-66.0,9,5.300047
-48.0,10,5.308824
-33.0,3,5.339585
-35.0,6,5.344949
-24.0,5,5.349032
-33.0,8,5.384968
-37.0,4,5.38832
-19.0,3,5.390796
-35.0,6,5.424221
-40.0,5,5.429154
-25.0,3,5.431595
-76.0,9,5.466602
-21.0,2,5.468497
-27.0,3,5.471181
-27.0,6,5.476368
-15.0,4,5.507596
-17.0,2,5.509344
-24.0,5,5.514023
-24.0,2,5.515652
-24.0,2,5.517579
-70.0,9,5.553225
-14.0,2,5.554818
-25.0,4,5.558268
-32.0,5,5.562449
-59.0,8,5.597013
-16.0,4,5.600335
-19.0,2,5.602207
-19.0,3,5.632495
-44.0,5,5.637056
-39.0,3,5.639587
-55.0,7,5.645453
-31.0,4,5.677081
-22.0,6,5.681985
-27.0,3,5.684494
-44.0,5,5.717365
-28.0,5,5.722094
-44.0,5,5.726667
-30.0,8,5.760048
-73.0,7,5.765878
-37.0,7,5.798601
-18.0,2,5.800357
-19.0,2,5.802469
-23.0,3,5.805124
-49.0,4,5.808516
-20.0,2,5.810365
-86.0,9,5.845426
-79.0,8,5.852355
-31.0,3,5.88263
-80.0,8,5.889681
-73.0,7,5.923076
-19.0,2,5.924725
-23.0,3,5.927401
-15.0,3,5.92987
-17.0,2,5.931495
-41.0,6,5.96508
-3.0,3,5.967574
-20.0,2,5.969632
-33.0,3,5.97208
-29.0,3,5.974509
-44.0,5,6.006892
-52.0,5,6.01122
-28.0,4,6.014462
-79.0,7,6.048183
-31.0,4,6.052047
-62.0,9,6.059522
-32.0,5,6.091433
-17.0,2,6.093006
-23.0,3,6.095807
-27.0,3,6.098248
-19.0,4,6.101753
-48.0,5,6.132403
-28.0,4,6.135815
-23.0,2,6.137427
-29.0,3,6.13984
-15.0,3,6.169228
-28.0,4,6.172564
-16.0,4,6.175817
-40.0,8,6.210428
-43.0,3,6.212963
-31.0,4,6.216219
-21.0,6,6.221407
-21.0,2,6.222954
-52.0,4,6.253952
-32.0,5,6.258047
-19.0,4,6.261555
-22.0,4,6.29229
-31.0,4,6.296122
-20.0,5,6.300396
-58.0,8,6.335308
-40.0,4,6.33866
-26.0,5,6.342961
-22.0,2,6.345113
-52.0,5,6.376337
-23.0,3,6.379112
-33.0,7,6.384724
-30.0,8,6.418608
-17.0,2,6.420431
-36.0,5,6.424486
-22.0,4,6.428308
-40.0,4,6.459464
-30.0,5,6.46396
-32.0,5,6.467969
-19.0,4,6.499103
-49.0,7,6.505182
-19.0,4,6.508391
-29.0,7,6.542061
-66.0,9,6.549876
-44.0,5,6.581921
-52.0,8,6.588773
-51.0,8,6.622809
-45.0,8,6.630005
-37.0,4,6.633249
-40.0,4,6.664122
-17.0,3,6.666577
-38.0,5,6.670954
-40.0,6,6.675762
-18.0,5,6.706877
-19.0,3,6.709292
-36.0,4,6.712914
-23.0,3,6.715347
-23.0,3,6.747433
-27.0,7,6.753487
-16.0,2,6.755095
-27.0,3,6.757568
-16.0,2,6.759237
-28.0,4,6.790318
-19.0,2,6.791931
-65.0,8,6.798849
-37.0,8,6.832739
-28.0,4,6.836374
-31.0,4,6.839648
-32.0,5,6.871997
-17.0,2,6.873692
-35.0,3,6.876268
-19.0,3,6.879098
-25.0,4,6.882396
-18.0,2,6.88406
-25.0,3,6.914365
-29.0,3,6.916728
-15.0,3,6.919548
-19.0,2,6.921348
-18.0,5,6.925292
-40.0,4,6.956746
-37.0,4,6.960359
-43.0,7,6.966274
-45.0,6,6.998691
-36.0,8,7.005783
-45.0,8,7.040863
-17.0,3,7.043357
-60.0,6,7.048735
-20.0,2,7.050372
-34.0,4,7.081971
-13.0,3,7.084559
-25.0,4,7.088336
-19.0,4,7.091581
-37.0,8,7.125701
-31.0,7,7.131743
-16.0,2,7.1334
-29.0,3,7.163731
-21.0,2,7.165393
-44.0,8,7.172225
-19.0,2,7.173881
-46.0,9,7.208539
-56.0,9,7.244561
-18.0,2,7.24624
-19.0,3,7.248752
-40.0,5,7.253136
-43.0,4,7.256465
-22.0,2,7.285825
-48.0,5,7.289983
-24.0,2,7.29167
-16.0,6,7.29706
-55.0,7,7.330649
-37.0,6,7.335738
-75.0,6,7.367095
-15.0,3,7.36992
