#{"t_start": 1784200330.9291203, "env_id": "snake-v0"}
r,l,t
-102.0,13,0.758389
-45.0,8,0.916109
-85.0,20,0.959129
-229.0,39,1.045823
-196.0,29,1.122716
-159.0,18,1.164026
-31.0,4,1.194748
-55.0,7,1.19994
-15.0,2,1.201513
-56.0,16,1.241557
-92.0,18,1.283569
-18.0,4,1.31391
-70.0,10,1.321647
-25.0,6,1.35377
-59.0,11,1.362137
-58.0,12,1.399647
-22.0,4,1.402908
-50.0,8,1.436708
-55.0,7,1.442012
-331.0,39,1.554828
-70.0,9,1.56227
-104.0,13,1.600979
-31.0,3,1.603533
-52.0,13,1.641259
-55.0,6,1.64605
-138.0,18,1.716302
-148.0,25,1.763448
-56.0,12,1.800357
-33.0,3,1.802994
-82.0,8,1.837835
-22.0,2,1.839364
-17.0,3,1.841834
-17.0,3,1.84444
-109.0,14,1.88262
-118.0,12,1.920143
-105.0,16,1.959749
-134.0,21,2.004104
-17.0,3,2.006431
-25.0,3,2.008998
-17.0,2,2.010962
-40.0,5,2.042288
-63.0,15,2.082256
-23.0,2,2.084059
-43.0,4,2.087915
-40.0,10,2.123962
-44.0,5,2.128097
-56.0,9,2.162153
-21.0,7,2.167518
-42.0,14,2.206628
-49.0,10,2.24276
-30.0,5,2.247166
-75.0,6,2.252263
-33.0,3,2.254629
-43.0,7,2.287548
-35.0,3,2.290213
-37.0,4,2.293734
-34.0,4,2.324493
-48.0,12,2.334291
-30.0,8,2.368041
-94.0,8,2.374778
-30.0,5,2.406749
-18.0,2,2.408289
-36.0,5,2.412653
-73.0,10,2.448331
-62.0,8,2.454894
-61.0,8,2.489608
-13.0,2,2.491191
-54.0,8,2.49792
-22.0,4,2.528764
-100.0,8,2.535459
-44.0,5,2.539575
-95.0,11,2.576059
-43.0,7,2.582012
-21.0,3,2.611156
-37.0,6,2.616274
-55.0,7,2.622252
-43.0,4,2.653639
-29.0,3,2.656244
-16.0,6,2.661637
-50.0,6,2.69472
-36.0,5,2.698792
-34.0,4,2.701966
-17.0,2,2.703906
-40.0,5,2.734453
-50.0,6,2.739665
-46.0,4,2.742922
-15.0,2,2.744801
-52.0,4,2.775811
-21.0,6,2.781764
-21.0,4,2.78499
-31.0,3,2.787949
-39.0,7,2.821413
-33.0,7,2.826941
-29.0,8,2.861967
-43.0,7,2.86762
-55.0,7,2.90048
-24.0,2,2.902286
-64.0,9,2.909569
-43.0,7,2.943625
-16.0,4,2.947455
-37.0,7,2.981029
-59.0,8,2.987967
-55.0,6,2.992819
-37.0,6,3.024858
-31.0,3,3.027454
-56.0,5,3.03159
-51.0,7,3.065453
-14.0,2,3.067086
-25.0,3,3.069954
-25.0,3,3.072566
-63.0,11,3.10975
-25.0,4,3.113268
-12.0,2,3.114886
-61.0,10,3.151069
-18.0,2,3.153082
8.0,5,3.157248
-49.0,7,3.189726
-74.0,9,3.197062
-43.0,7,3.230076
-67.0,7,3.236163
-15.0,3,3.238809
-52.0,5,3.270848
-37.0,3,3.273909
-17.0,2,3.275557
-16.0,2,3.277688
-23.0,3,3.28025
-23.0,2,3.281853
-40.0,5,3.312928
-45.0,6,3.31771
-25.0,4,3.321351
-13.0,2,3.349739
-24.0,5,3.353811
-66.0,9,3.361324
-43.0,7,3.394285
-33.0,3,3.396777
-25.0,6,3.401754
-27.0,7,3.435405
-30.0,6,3.440438
-35.0,3,3.442845
-31.0,4,3.473181
-21.0,2,3.474982
-28.0,5,3.479268
-55.0,7,3.512753
-23.0,3,3.515214
-43.0,7,3.521062
-15.0,3,3.523613
-56.0,5,3.555274
0.0,2,3.556929
-27.0,6,3.562035
-61.0,7,3.595518
-31.0,3,3.597964
-18.0,2,3.599746
-34.0,4,3.60304
-35.0,6,3.635063
-41.0,3,3.637857
-37.0,3,3.640643
-73.0,7,3.64676
-16.0,2,3.648471
-43.0,7,3.681657
-34.0,4,3.685395
-32.0,6,3.717846
-19.0,2,3.719649
-17.0,2,3.72126
-19.0,3,3.7236
-20.0,2,3.72532
-31.0,3,3.728039
-31.0,3,3.730503
-84.0,9,3.765125
-52.0,8,3.80016
-28.0,4,3.803787
-32.0,5,3.80796
-23.0,3,3.810391
-25.0,4,3.84113
-31.0,7,3.847132
-66.0,8,3.853938
-35.0,6,3.88632
-3.0,4,3.889622
-8.0,4,3.893016
-3.0,4,3.92414
-13.0,2,3.925911
-58.0,9,3.933515
-12.0,2,3.935156
-46.0,10,3.971605
-11.0,2,3.973211
-23.0,3,3.976097
-43.0,7,4.00942
-20.0,2,4.011398
-41.0,6,4.016243
-29.0,3,4.01879
-25.0,3,4.04818
-19.0,3,4.051116
-61.0,7,4.057027
-24.0,5,4.089505
-67.0,6,4.09457
-18.0,2,4.096235
-31.0,4,4.100357
-40.0,4,4.131225
-22.0,4,4.134542
-18.0,2,4.136321
-35.0,6,4.141317
-70.0,9,4.176656
-68.0,8,4.183543
-20.0,2,4.213309
-36.0,9,4.221087
-43.0,7,4.254863
-22.0,5,4.258911
-19.0,3,4.261561
-27.0,9,4.295934
-25.0,6,4.300749
-43.0,7,4.306731
-86.0,9,4.341922
-19.0,3,4.344789
-21.0,2,4.346469
-34.0,4,4.376201
-19.0,3,4.379169
-15.0,2,4.38109
-52.0,9,4.388767
-10.0,6,4.421208
-23.0,3,4.423682
-34.0,5,4.428075
-10.0,6,4.46115
-43.0,7,4.466802
-85.0,7,4.499546
-18.0,5,4.50413
-12.0,2,4.505716
-45.0,6,4.510642
-25.0,3,4.53977
-48.0,9,4.547744
-19.0,4,4.550944
-24.0,4,4.582159
-19.0,2,4.583784
-25.0,3,4.586649
-40.0,5,4.59076
-44.0,5,4.622877
-16.0,2,4.624568
-28.0,4,4.62815
