#{"t_start": 1784200330.9281304, "env_id": "snake-v0"}
r,l,t
-82.0,17,0.913983
-77.0,23,0.959259
-160.0,16,1.000358
-205.0,27,1.075589
-155.0,24,1.122169
-69.0,11,1.157785
-46.0,5,1.161905
-17.0,3,1.164184
-163.0,22,1.236485
-122.0,17,1.277299
-53.0,7,1.283049
-8.0,4,1.286009
-124.0,24,1.359295
-98.0,9,1.394139
-15.0,2,1.395981
-67.0,15,1.434894
-12.0,2,1.436799
-29.0,3,1.439317
-61.0,12,1.475729
-136.0,16,1.515577
-67.0,7,1.521156
-200.0,22,1.566322
-47.0,12,1.604473
-159.0,18,1.646191
-96.0,18,1.689342
-136.0,13,1.726639
-81.0,11,1.762911
-45.0,6,1.767478
-50.0,13,1.805416
-56.0,12,1.843538
-55.0,6,1.848356
-143.0,11,1.884432
-37.0,6,1.889259
-40.0,5,1.921056
-44.0,5,1.924903
-183.0,15,1.964258
-77.0,11,1.999867
-37.0,6,2.005044
-48.0,5,2.009113
-40.0,9,2.044072
-12.0,4,2.047566
-50.0,6,2.052401
-50.0,6,2.084967
-80.0,14,2.124889
-75.0,8,2.131438
-66.0,8,2.164644
-75.0,11,2.173403
-19.0,2,2.202496
-34.0,4,2.206042
-30.0,5,2.209938
-44.0,9,2.245656
-31.0,3,2.248092
-36.0,4,2.251318
-44.0,8,2.284966
-33.0,10,2.293566
-73.0,7,2.327114
-64.0,13,2.337834
-40.0,5,2.368956
-22.0,6,2.374118
-40.0,8,2.408452
-20.0,5,2.412799
-40.0,6,2.417511
-38.0,9,2.452358
-29.0,3,2.454926
-25.0,3,2.457459
-24.0,5,2.489763
-31.0,7,2.495722
-32.0,5,2.499686
-43.0,4,2.53063
-16.0,2,2.532248
-85.0,7,2.538227
-39.0,11,2.574588
-66.0,8,2.581372
-27.0,3,2.610296
-29.0,3,2.612949
-17.0,4,2.616395
-31.0,7,2.622377
-15.0,2,2.65175
-13.0,8,2.658836
-19.0,4,2.662562
-57.0,6,2.695619
-30.0,8,2.7021
-18.0,2,2.703989
-48.0,5,2.734514
