#{"t_start": 1784200330.9287114, "env_id": "snake-v0"}
r,l,t
-214.0,20,0.91574
-171.0,19,0.957927
-83.0,15,0.997804
-19.0,3,1.000622
-109.0,11,1.037149
-48.0,5,1.040812
-156.0,33,1.12083
-34.0,4,1.1239
-95.0,8,1.15724
-105.0,33,1.238276
-59.0,7,1.243477
-71.0,12,1.280972
-188.0,36,1.36328
-118.0,9,1.398565
-166.0,13,1.436283
-227.0,38,1.520612
-40.0,5,1.524794
-54.0,5,1.555998
-30.0,5,1.559996
-56.0,13,1.599
-35.0,10,1.607071
-133.0,36,1.719005
-60.0,8,1.725337
-154.0,18,1.766933
-12.0,5,1.79824
-42.0,6,1.803374
-21.0,2,1.804882
-101.0,12,1.843002
-41.0,8,1.849479
-39.0,11,1.885465
-59.0,7,1.91848
-56.0,5,1.922843
-60.0,22,1.967652
-54.0,14,2.006041
-127.0,24,2.081072
-45.0,6,2.086539
-21.0,2,2.088278
-55.0,4,2.091828
-60.0,6,2.124343
-16.0,2,2.125885
-62.0,9,2.13323
-50.0,6,2.164871
-32.0,10,2.172868
-34.0,5,2.20468
-34.0,10,2.212914
-48.0,5,2.245154
-17.0,3,2.247548
-18.0,5,2.251777
-31.0,3,2.254246
-40.0,10,2.289796
-19.0,2,2.291417
-36.0,5,2.295789
-17.0,3,2.325751
-23.0,3,2.328473
-17.0,2,2.329998
-15.0,2,2.33154
-49.0,12,2.368425
-21.0,3,2.371258
-34.0,4,2.374395
-87.0,11,2.411418
-37.0,7,2.416966
-24.0,4,2.447934
-72.0,8,2.454395
-90.0,9,2.489976
-91.0,10,2.498302
-31.0,4,2.52914
-121.0,15,2.541526
-46.0,8,2.575653
-40.0,4,2.579219
-44.0,9,2.613382
-15.0,2,2.615054
-55.0,6,2.620238
-79.0,7,2.654019
-15.0,2,2.655804
-60.0,6,2.661067
-34.0,4,2.66449
-64.0,5,2.696742
-56.0,5,2.70077
-80.0,6,2.705872
-23.0,3,2.734825
-41.0,7,2.740885
-29.0,3,2.743302
-59.0,8,2.7783
-21.0,3,2.781214
-21.0,8,2.788327
-29.0,3,2.818219
-13.0,2,2.820056
-42.0,10,2.828544
-23.0,8,2.863279
-28.0,5,2.867185
-73.0,8,2.900862
-13.0,2,2.902667
-28.0,5,2.906802
-58.0,10,2.943202
-75.0,6,2.948634
-34.0,4,2.951898
-14.0,2,2.981406
