#{"t_start": 1784200330.92833, "env_id": "snake-v0"}
r,l,t
-238.0,45,0.963163
-43.0,15,1.00372
-37.0,7,1.036701
-68.0,12,1.045844
-43.0,8,1.078821
-115.0,14,1.116997
-52.0,8,1.123452
-22.0,2,1.125017
-59.0,19,1.194667
-273.0,60,1.3239
-304.0,34,1.406089
-31.0,4,1.436633
-17.0,2,1.438253
-66.0,9,1.44532
-19.0,2,1.473938
-215.0,28,1.52326
-28.0,10,1.558807
-48.0,9,1.566155
-60.0,14,1.60589
-17.0,3,1.635394
-23.0,2,1.63736
-50.0,9,1.644237
-210.0,22,1.717853
-114.0,11,1.726472
-89.0,23,1.799387
-19.0,2,1.801096
-79.0,11,1.838581
-79.0,8,1.845179
-19.0,4,1.848188
-60.0,13,1.88582
-66.0,9,1.920889
-18.0,2,1.922437
-103.0,19,1.964842
-61.0,20,2.007968
-62.0,18,2.050603
-31.0,4,2.081422
-37.0,7,2.087753
-120.0,20,2.132041
-165.0,20,2.202334
-21.0,2,2.20424
-93.0,10,2.212435
-51.0,6,2.245495
-52.0,8,2.252128
-84.0,16,2.292583
-30.0,6,2.325236
-45.0,8,2.331882
-68.0,5,2.335922
-18.0,5,2.367216
-37.0,3,2.370051
-23.0,3,2.37243
-24.0,2,2.37395
-31.0,4,2.377192
-62.0,13,2.41571
-34.0,6,2.448277
-73.0,8,2.454747
-43.0,4,2.458056
-34.0,4,2.489586
-27.0,6,2.494354
-20.0,5,2.498653
-30.0,6,2.531253
-34.0,4,2.534406
-22.0,4,2.53805
-14.0,2,2.539589
-66.0,8,2.573599
-31.0,4,2.57678
-20.0,4,2.5804
-49.0,7,2.612769
-13.0,3,2.615404
-27.0,3,2.617822
-31.0,4,2.621395
-60.0,5,2.653552
-70.0,10,2.662385
-33.0,3,2.664831
-40.0,5,2.697091
-21.0,3,2.699528
-31.0,4,2.702702
-64.0,5,2.733484
-70.0,6,2.738765
-37.0,4,2.742064
-30.0,8,2.77656
-59.0,8,2.784097
-94.0,12,2.822161
-23.0,3,2.824589
-27.0,7,2.858356
-19.0,3,2.86082
-19.0,3,2.863621
-30.0,6,2.868358
-31.0,4,2.898799
-27.0,3,2.901202
-21.0,2,2.90301
-20.0,2,2.904725
-43.0,4,2.907981
-35.0,8,2.942678
-30.0,5,2.947397
-31.0,4,2.950598
-73.0,7,2.984238
-39.0,4,2.987733
-31.0,3,2.990334
-45.0,6,3.022223
-19.0,4,3.025567
-37.0,7,3.031539
-56.0,9,3.067016
-20.0,5,3.071538
-17.0,3,3.07421
-22.0,2,3.075877
-48.0,5,3.108111
-48.0,10,3.116396
-61.0,11,3.15382
-27.0,3,3.156394
-26.0,8,3.189505
-37.0,4,3.192821
-24.0,5,3.197011
-35.0,6,3.22919
-11.0,2,3.230823
-90.0,9,3.238667
-48.0,5,3.270795
-40.0,5,3.275474
-27.0,3,3.278412
-31.0,6,3.310307
-80.0,9,3.317622
-21.0,2,3.319252
-68.0,8,3.352818
-55.0,11,3.362071
-21.0,4,3.392233
-40.0,5,3.39665
-19.0,2,3.398462
-46.0,4,3.401711
-40.0,5,3.433808
-28.0,4,3.437095
-57.0,6,3.442009
-22.0,5,3.473078
-37.0,4,3.476563
-57.0,6,3.481642
-61.0,7,3.515172
-67.0,7,3.520987
-37.0,6,3.526048
-12.0,5,3.557652
