#{"t_start": 1784230180.8307128, "env_id": "snake-image-v0"}
r,l,t
-10.09,10,0.822307
-10.02,3,0.824311
-10.02,3,0.826306
-10.07,8,0.831918
-10.06,7,0.83657
-10.3,31,0.857985
-10.03,4,0.860599
-10.26,27,0.878824
-10.22,23,0.894647
-10.13,14,1.184962
-0.04,6,1.189178
-10.92,93,1.253157
-10.15,16,1.2652
-10.37,38,1.424903
-10.06,7,1.42985
-10.17,18,1.44199
-10.03,4,1.444593
-10.19,20,1.458388
-10.09,10,1.465246
-10.3,31,1.486007
-10.2,21,1.631532
-10.03,4,1.634372
-10.29,30,1.654353
-10.04,5,1.657919
-10.26,27,1.676068
-10.3,31,1.697349
-10.33,34,1.853236
-10.15,16,1.864279
-10.03,4,1.866867
-0.26,28,1.885811
-1.18,120,2.103043
-0.1,12,2.111119
-11.02,103,2.313529
-0.33,35,2.337572
19.65,39,2.365497
-0.49,51,2.531409
-0.82,84,2.587612
-0.7,72,2.77088
-10.4,41,2.798498
-10.14,15,2.808593
-10.25,26,2.958589
-10.31,32,2.980429
-10.11,12,2.988495
-10.09,10,2.995024
-10.55,56,3.167484
-0.49,51,3.201868
-10.18,19,3.214532
-10.16,17,3.225644
-10.02,3,3.227563
-10.71,72,3.411015
-10.72,73,3.459963
-10.13,14,3.469359
-11.73,174,3.852121
-10.21,22,3.867469
-10.62,63,3.910388
-11.14,115,4.119207
-11.96,197,4.517037
-10.06,7,4.52195
-10.81,82,4.710296
-10.16,17,4.721978
-10.25,26,4.739493
-10.22,23,4.755015
-10.52,53,4.924684
-10.27,28,4.943896
-11.73,174,5.194956
-12.0,201,5.597952
-10.46,47,5.629005
-10.23,24,5.644522
-11.6,161,5.888662
-12.0,201,6.724403
-3.39,341,7.355961
-10.14,15,7.36636
-12.0,201,7.633044
-12.0,201,8.032723
-10.64,65,8.076264
9.11,92,8.269506
-11.07,108,8.476387
-12.0,201,8.878748
-10.85,86,8.936728
-10.18,19,8.949645
-12.0,201,9.351834
-2.58,260,9.794839
-11.09,110,10.004511
-10.42,43,10.03357
-11.37,138,10.268655
-12.0,201,10.682745
-12.0,201,10.946927
-0.95,97,11.14295
-11.87,188,11.538623
-10.23,24,11.559789
-3.11,313,12.033425
-10.72,73,12.637178
-12.0,201,12.901807
-10.05,6,13.035617
-12.0,201,13.299688
-10.58,59,13.471844
-10.72,73,13.527385
-10.07,8,13.533003
-12.0,201,13.929012
-10.32,33,13.95086
-12.0,201,14.344417
-2.88,290,14.799876
-10.76,77,14.850088
-2.02,204,15.245907
-12.0,201,15.643524
-1.55,157,15.879351
-10.93,94,16.073359
-0.43,45,16.102757
-12.0,201,16.365393
-12.0,201,16.763768
-12.0,201,17.157955
-10.11,12,17.165971
-12.0,201,17.428523
-12.0,201,18.25461
-12.0,201,18.517614
-12.0,201,18.919135
-12.0,201,19.3144
-11.75,176,19.560709
-12.0,201,19.957259
-10.24,25,19.973933
-12.0,201,20.234868
-12.0,201,20.634436
-12.0,201,20.899977
-11.16,117,21.109314
-12.0,201,21.502978
-12.0,201,21.767931
-12.0,201,22.160031
-10.77,78,22.341375
-10.08,9,22.347638
-2.52,254,22.782437
-12.0,201,23.045912
-1.73,175,23.42093
-0.34,36,23.444688
-12.0,201,24.258215
-12.0,201,24.522513
-12.0,201,24.920249
-10.04,5,24.923679
-12.0,201,25.185896
-1.2,122,25.396775
7.99,204,25.795503
-12.0,201,26.059592
-11.99,200,26.4549
-2.1,212,26.859154
-10.06,7,26.863606
-10.06,7,26.868503
-10.26,27,26.885917
-2.34,236,27.302321
-2.04,206,27.569974
-10.33,34,27.724342
-10.23,24,27.74016
-12.0,201,28.005978
-10.01,2,28.007281
-12.0,201,28.402243
-1.95,197,28.795782
-12.0,201,29.059083
-10.48,49,29.091716
-12.0,201,29.911665
-12.0,201,30.308651
-10.03,4,30.311329
-10.04,5,30.314909
-10.82,83,30.369498
-10.22,23,30.514836
-10.06,7,30.519341
-12.0,201,30.78544
-12.0,201,31.18133
-12.0,201,31.444073
-12.0,201,31.841481
-12.0,201,32.10555
-12.0,201,32.500995
-10.04,5,32.504171
-2.11,213,32.910741
-12.0,201,33.176064
-12.0,201,33.57439
8.5,153,33.808788
-10.16,17,33.820416
-12.0,201,34.219064
-10.06,7,34.223795
-12.0,201,34.485722
8.01,202,34.88246
-12.0,201,35.566803
