#{"t_start": 1784230180.830929, "env_id": "snake-image-v0"}
r,l,t
-10.02,3,0.817095
-10.46,47,0.849599
-10.49,50,0.883674
-10.09,10,0.890617
-0.17,19,1.184005
-10.34,35,1.207935
-10.14,15,1.218495
-0.64,66,1.265016
-10.17,18,1.410914
-10.05,6,1.415286
-10.42,43,1.44441
-10.21,22,1.459548
-10.13,14,1.46915
-10.29,30,1.489402
-10.04,5,1.492585
-10.16,17,1.635476
-10.02,3,1.637828
-0.43,45,1.667708
-0.15,17,1.679462
-10.05,6,1.683406
-10.41,42,1.84414
-0.1,12,1.853054
-10.56,57,1.891787
-10.06,7,1.89643
-10.89,90,2.093293
-10.2,21,2.107698
-10.07,8,2.113077
-10.13,14,2.122464
-10.14,15,2.132214
-10.18,19,2.145011
9.86,17,2.289841
-10.88,89,2.351152
-10.22,23,2.3673
-0.25,27,2.517141
-10.22,23,2.532536
-10.65,66,2.576654
-10.12,13,2.585419
-0.11,13,2.728868
-0.91,93,2.791617
-10.1,11,2.798941
-11.97,198,3.19974
-10.59,60,3.23958
-10.29,30,3.395024
-10.19,20,3.408298
-10.48,49,3.44134
9.83,20,3.45475
-10.38,39,3.612098
-11.29,130,3.833063
-10.79,80,3.888517
-11.33,134,4.110348
-10.11,12,4.118321
-10.71,72,4.299991
-10.33,34,4.324298
-11.75,176,4.70684
-10.16,17,4.71821
-11.21,122,4.934707
-0.75,77,4.986913
-10.22,23,5.002247
-10.27,28,5.155194
-12.0,201,5.426039
-10.05,6,5.430593
-10.71,72,5.610458
9.51,52,5.64434
-10.41,42,5.806677
8.42,161,6.051404
-12.0,201,6.752414
-11.72,173,7.136549
-12.0,201,7.406814
-10.62,63,7.581416
-10.38,39,7.607074
-12.0,201,8.006553
-0.13,15,8.016453
-12.0,201,8.282515
-0.54,56,8.454355
-12.0,201,8.723593
-2.07,209,9.131989
-12.0,201,9.534992
-11.71,172,9.784239
-12.0,201,10.056205
-12.0,201,10.469758
-0.9,92,10.67296
-12.0,201,10.936958
-12.0,201,11.336022
7.76,227,11.762597
-12.0,201,12.02854
-12.0,201,12.848957
-10.04,5,12.852126
-12.0,201,13.115433
-12.0,201,13.516842
-0.23,25,13.53602
8.98,105,13.737061
7.54,249,14.16451
-1.99,201,14.559946
-10.27,28,14.578183
-0.6,62,14.618958
-12.0,201,15.01375
-12.0,201,15.276261
-10.74,75,15.456226
-10.31,32,15.477298
-10.58,59,15.6506
-12.0,201,15.915598
-11.87,188,16.301114
-12.0,201,16.567319
-12.0,201,16.963619
-3.35,337,17.579138
-11.45,146,17.808873
-10.26,27,18.253707
-2.23,225,18.66465
-2.2,222,18.948184
-12.0,201,19.342869
-12.0,201,19.606011
-12.0,201,20.002267
-10.17,18,20.013979
-12.0,201,20.406699
-12.0,201,20.67524
-12.0,201,21.072673
-10.47,48,21.104207
-11.83,184,21.487036
-10.08,9,21.492993
-12.0,201,21.757332
-2.0,202,22.150909
-12.0,201,22.546205
-12.0,201,22.812711
-12.0,201,23.206651
-3.94,396,24.278781
-11.47,148,24.507715
-10.07,8,24.512832
-10.78,79,24.69768
-12.0,201,24.962537
-10.11,12,24.970548
-1.16,118,25.178382
-10.07,8,25.183774
-12.0,201,25.576588
-12.0,201,25.843266
-3.37,339,26.461896
-12.0,201,26.858984
-12.0,201,27.12172
-12.0,201,27.516961
7.99,204,27.782661
6.26,377,28.426747
-10.83,84,28.613307
-12.0,201,28.878178
-12.0,201,29.696069
-12.0,201,30.093986
-12.0,201,30.359358
-12.0,201,30.755152
-12.0,201,31.018762
-10.24,25,31.167377
-12.0,201,31.430921
-10.29,30,31.450567
-12.0,201,31.848073
-10.06,7,31.852667
-12.0,201,32.246884
-12.0,201,32.511868
-12.0,201,32.910576
-2.58,260,33.34486
-12.0,201,33.613027
-12.0,201,34.012798
-12.0,201,34.277728
-10.28,29,34.426737
-10.31,32,34.447931
-12.0,201,34.710676
-12.0,201,35.527649
-10.26,27,35.546066
-10.03,4,35.548877
-12.0,201,35.946294
-12.0,201,36.213156
-12.0,201,36.606035
-12.0,201,37.000993
-11.94,195,37.259099
-12.0,201,37.652201
-2.14,216,37.928489
-12.0,201,38.326848
7.38,265,38.767027
-2.28,230,39.182514
-3.67,369,39.819677
-12.0,201,40.08715
-12.0,201,40.481717
-11.46,147,41.141767
-11.43,144,41.36772
-10.14,15,41.377436
-10.83,84,41.563174
-11.78,179,41.811866
-10.3,31,41.832776
-2.23,225,42.243192
-2.01,203,42.638046
-10.22,23,42.653213
-11.72,173,42.90094
-10.03,4,42.903659
-12.0,201,43.299911
-10.83,84,43.486591
-12.0,201,43.753032
-12.0,201,44.146128
-1.21,123,44.359453
-10.19,20,44.372317
-10.23,24,44.388237
-10.56,57,44.559496
-10.23,24,44.575547
-10.08,9,44.581465
-12.0,201,44.844557
-10.74,75,45.025791
-12.0,201,45.422261
-12.0,201,45.685686
-12.0,201,46.08358
-12.0,201,46.766551
19.27,77,46.948458
7.47,256,47.381491
-12.0,201,47.645088
-3.15,317,48.252507
-11.03,104,48.450457
-10.1,11,48.4578
-0.35,37,48.482005
-12.0,201,48.875843
8.11,192,49.135844
-12.0,201,49.528171
-11.93,194,49.786952
-1.99,201,50.186404
-12.0,201,50.449802
-10.12,13,50.458509
-0.51,53,50.626323
-12.0,201,50.892468
-1.49,151,51.255142
-2.7,272,51.696797
-10.35,36,51.720983
-12.0,201,52.559683
19.3,74,52.609243
9.84,19,52.6219
-10.26,27,52.77542
-12.0,201,53.053848
-10.02,3,53.055938
-2.58,260,53.498593
-10.19,20,53.51143
-10.03,4,53.514033
-2.25,227,53.932124
-11.83,184,54.321281
-1.14,116,54.398327
-10.07,8,54.533423
-12.0,201,54.798402
-12.0,201,55.199538
-0.59,61,55.240065
-11.86,187,55.629478
17.63,241,55.920722
-12.0,201,56.320056
-10.24,25,56.337216
-2.57,259,56.773588
-12.0,201,57.168913
-10.36,37,57.193463
-12.0,201,57.590846
-2.21,223,58.298991
-10.18,19,58.44537
-0.28,30,58.465586
-2.57,259,58.901508
-12.0,201,59.165735
-12.0,201,59.560802
-10.07,8,59.56612
-12.0,201,59.962778
-12.0,201,60.228691
-0.71,73,60.409044
-10.69,70,60.454791
-12.0,201,60.849887
9.57,46,60.880342
-12.0,201,61.28046
18.24,180,61.529376
-10.02,3,61.531298
6.65,338,62.149637
-12.0,201,62.415713
-12.0,201,62.810858
-10.03,4,62.813596
-12.0,201,63.20821
-10.07,8,63.213249
-2.14,216,63.913323
-12.0,201,64.309591
-11.62,163,64.548885
6.83,320,65.152201
-11.8,181,65.405313
-3.57,359,66.033408
-12.0,201,66.427732
-1.99,201,66.691828
-2.27,229,67.104842
-2.67,269,67.546417
-2.11,213,67.949219
-12.0,201,68.212362
-12.0,201,68.608649
-12.0,201,68.878829
-10.39,40,69.03667
-2.0,202,69.725242
-1.99,201,70.118927
8.75,128,70.335577
-12.0,201,70.601475
18.72,132,70.821022
-12.0,201,71.2157
-11.84,185,71.469271
-11.89,190,71.856476
-12.0,201,72.127857
-11.96,197,72.521133
-12.0,201,72.915741
-10.15,16,72.925991
-12.0,201,73.192743
-12.0,201,73.587501
-10.08,9,73.593589
-12.0,201,73.856508
-10.84,85,74.044095
-12.0,201,74.44237
-10.15,16,74.453043
-11.13,114,74.659886
-10.85,86,74.716587
-2.53,255,75.58023
-12.0,201,75.975957
-1.99,201,76.372014
-12.0,201,76.637781
-12.0,201,77.030728
-10.78,79,77.083082
-11.53,154,77.444158
5.91,412,78.117827
-12.0,201,78.381867
-12.0,201,78.779122
-12.0,201,79.043585
-12.0,201,79.438702
-12.0,201,79.834655
-10.9,91,79.894588
-10.47,48,80.056281
-10.32,33,80.078007
-12.0,201,80.343708
-1.99,201,81.166697
-10.63,64,81.341625
-12.0,201,81.608454
-12.0,201,82.011502
-12.0,201,82.275587
-10.02,3,82.277571
-10.83,84,82.463936
-12.0,201,82.85835
