#{"t_start": 1784203062.5256047, "env_id": "snake-v0"}
r,l,t
-10.85,10,0.795123
-12.7,57,1.085819
-10.3,2,1.087575
-11.75,6,1.092762
-11.15,4,1.096015
-22.55,27,1.174897
-13.25,6,1.179603
-1.0,7,1.214278
-13.85,19,1.2583
-1.85,16,1.300362
-10.75,2,1.301892
-11.35,7,1.335915
-14.25,55,1.466288
-1.2,7,1.500851
-14.6,17,1.543538
-4.45,22,1.59046
-11.65,6,1.595698
-10.1,2,1.597564
-16.6,20,1.670878
-17.2,30,1.753711
-12.25,6,1.758801
-20.1,34,1.84465
-10.55,42,1.96672
-11.35,4,1.969727
-7.8,26,2.051957
-27.55,47,2.177307
-18.3,33,2.262095
-12.65,11,2.27146
-15.15,27,2.353633
-15.35,14,2.394761
-13.25,10,2.403017
-11.8,13,2.443693
-2.0,9,2.480386
-10.65,2,2.481997
-10.45,2,2.483554
-14.25,19,2.528267
-12.55,7,2.563034
-14.6,12,2.573284
-11.95,7,2.607643
-13.9,18,2.650596
-12.5,6,2.655909
-16.45,31,2.739738
-11.35,3,2.771284
-11.15,8,2.778089
-15.2,16,2.819758
-22.4,28,2.909393
-11.8,5,2.91443
-14.9,17,2.958427
-13.25,10,2.997369
-10.85,4,3.000716
-10.5,2,3.002516
-13.15,10,3.040484
-11.0,5,3.044485
-16.4,16,3.087043
-11.35,3,3.089664
-13.6,13,3.132404
-10.4,5,3.136459
-10.45,3,3.168257
-2.2,13,3.17919
-14.2,12,3.219695
-17.8,34,3.307148
-12.55,8,3.342756
-11.3,9,3.34998
-10.55,3,3.387075
-10.45,3,3.390585
-12.9,13,3.433239
-15.35,19,3.478977
-11.75,11,3.488365
-11.35,7,3.524401
8.1,10,3.53291
-12.45,8,3.572962
-12.2,9,3.611564
-11.65,4,3.615801
-14.95,11,3.625314
-10.85,3,3.657439
-12.25,7,3.663199
-12.95,11,3.702353
-12.9,9,3.710677
-11.65,7,3.745878
-10.95,3,3.748634
-11.9,5,3.752752
-12.25,11,3.794168
-10.95,3,3.796529
-12.25,12,3.838338
-10.6,2,3.840475
-12.5,5,3.844687
-10.45,3,3.877445
-10.9,4,3.880913
-10.95,7,3.8868
-10.35,3,3.889899
-12.4,9,3.928651
-10.6,5,3.933204
-0.75,10,3.971651
-1.25,6,3.9772
-14.5,17,4.030137
-13.6,13,4.07329
-11.2,5,4.077734
-13.8,9,4.118017
-13.6,8,4.159969
-11.5,4,4.163376
-10.55,3,4.166327
-10.6,2,4.167827
-12.4,17,4.212818
-10.95,3,4.215888
-16.75,16,4.261715
-10.3,2,4.263525
-10.6,4,4.298038
-11.05,3,4.300476
-12.95,7,4.306854
-14.2,8,4.346193
-12.0,6,4.351757
-13.0,10,4.391696
-10.25,2,4.393318
-10.4,2,4.394937
-10.35,2,4.397213
-10.7,5,4.430655
-11.75,10,4.44029
-11.65,7,4.475981
-11.1,5,4.480668
-13.45,7,4.486464
-10.1,2,4.488628
-12.1,5,4.522758
-12.1,4,4.526153
-11.65,7,4.532087
-10.9,4,4.565148
-12.75,6,4.569992
-11.75,8,4.606846
-10.75,3,4.609401
-12.6,9,4.617078
-13.85,8,4.651604
-13.85,11,4.690779
-12.1,8,4.697743
-10.8,5,4.701771
-10.8,2,4.703424
-11.3,6,4.73743
-11.6,9,4.74493
-10.6,2,4.775701
-12.25,7,4.781889
-11.3,8,4.788791
-12.25,10,4.825545
-11.95,4,4.828628
-11.5,8,4.86518
-10.7,5,4.869282
-10.75,3,4.872145
-1.7,10,4.908483
-0.7,5,4.91266
-12.1,5,4.945205
-0.05,3,4.94807
-10.9,4,4.951395
-12.8,8,4.987678
-10.45,3,4.990673
-12.35,14,5.03205
-10.3,2,5.033642
-11.55,3,5.036111
-12.25,7,5.04253
-10.25,2,5.044138
-12.85,7,5.079436
-10.95,3,5.082036
-11.2,4,5.085115
-10.75,3,5.116195
-10.15,2,5.11784
-12.35,7,5.12383
-11.1,5,5.145929
-12.5,6,5.181783
-11.65,7,5.187514
-10.25,3,5.190435
-11.9,5,5.22417
-11.15,3,5.226674
-10.65,3,5.229028
-10.55,2,5.230962
-10.75,3,5.233651
-12.55,14,5.275868
-12.1,5,5.309071
-10.7,8,5.316089
-10.95,3,5.319021
-12.25,7,5.355129
-12.1,9,5.363234
-11.35,7,5.398285
-10.25,2,5.400101
-2.35,12,5.438473
-10.8,5,5.442726
-11.95,4,5.445971
-10.75,4,5.449499
-12.1,6,5.483822
-11.5,5,5.488253
-11.4,5,5.492632
-13.2,9,5.530182
-10.75,3,5.532779
-12.25,18,5.576035
-12.05,6,5.609746
-11.5,4,5.61313
-10.4,2,5.615469
-12.55,12,5.656565
-12.55,7,5.665774
-2.0,13,5.707673
-13.35,12,5.751992
-11.5,6,5.757757
-12.55,8,5.797395
-12.25,7,5.803375
-11.35,6,5.809014
-10.6,2,5.843385
-10.55,2,5.845135
-11.95,6,5.850989
-13.15,10,5.891948
-12.6,9,5.9
-12.8,14,5.945592
-10.75,4,5.949923
-11.35,8,5.988544
-10.2,2,5.990978
-10.65,3,5.993377
-11.65,7,6.031699
-11.6,5,6.035667
-11.45,4,6.039554
-13.4,9,6.081012
-11.5,4,6.084356
-10.35,3,6.087348
-13.0,6,6.125408
-11.5,9,6.133553
-13.3,9,6.175049
-11.95,4,6.179188
-10.2,2,6.181283
-10.95,7,6.218039
-10.65,2,6.219787
-12.0,6,6.225295
-11.25,6,6.230839
-10.3,2,6.263417
-11.2,4,6.266968
-10.55,3,6.269561
-11.95,15,6.312336
-10.65,3,6.315295
-0.85,8,6.351903
-11.65,7,6.358213
-0.85,4,6.361488
-11.5,4,6.394809
-11.2,5,6.399526
-11.05,3,6.401826
-13.25,6,6.407341
-12.5,6,6.442397
-11.7,8,6.449699
-12.55,7,6.485758
-12.55,8,6.492823
-11.35,7,6.52723
-0.65,6,6.532745
-11.75,6,6.537388
-0.3,5,6.571612
-16.2,38,6.664238
-10.8,6,6.669254
-10.85,3,6.704926
-11.8,5,6.710362
-10.75,4,6.714665
-12.8,8,6.753974
-10.85,3,6.757182
-12.85,7,6.763262
-11.15,7,6.800347
-11.9,5,6.804897
-12.25,7,6.842944
-11.05,3,6.845989
-1.65,8,6.853798
-13.6,13,6.896708
-1.25,7,6.902614
-12.85,7,6.939281
-12.5,5,6.943535
-12.0,6,6.978334
-1.95,9,6.985823
-10.15,2,6.98752
-10.45,2,6.990109
-10.6,2,7.022331
-11.1,6,7.027539
-11.35,4,7.031048
-10.5,2,7.032984
-10.35,2,7.034654
-13.15,7,7.069792
-12.45,8,7.076843
-10.55,3,7.109188
-11.7,5,7.113935
-12.2,9,7.121155
-1.15,7,7.158301
-11.65,10,7.167334
-1.65,13,7.212048
-10.95,3,7.215297
-12.7,13,7.257796
-11.2,5,7.292349
-10.85,3,7.294714
-2.4,10,7.303364
-11.35,4,7.336505
-11.5,6,7.342063
-11.65,7,7.348681
-10.85,3,7.379978
-10.55,2,7.381952
-1.95,8,7.38902
-12.1,8,7.425452
-10.4,2,7.427022
-10.35,2,7.429018
-10.6,2,7.431585
-12.5,6,7.467309
-11.8,5,7.472396
-11.45,7,7.478287
-11.5,6,7.515861
-15.4,12,7.527194
-11.95,7,7.566625
-11.3,5,7.570554
-12.1,8,7.606869
-13.8,9,7.614407
-11.5,4,7.617816
-11.75,6,7.651515
-1.15,11,7.689879
-11.85,11,7.699331
-0.85,8,7.735373
-11.5,4,7.739009
-10.7,8,7.74564
-10.6,5,7.779176
-13.15,7,7.785269
-1.95,13,7.82436
-12.75,6,7.829213
-1.1,7,7.863934
-12.25,7,7.870058
-12.5,20,7.944308
-11.65,4,7.948
-10.9,4,7.951146
-11.3,5,7.955326
-10.55,3,7.985922
-14.3,12,7.996037
-11.65,7,8.030291
-11.75,6,8.035399
-11.5,9,8.072611
-12.1,6,8.077538
-12.5,6,8.082822
-12.25,6,8.116315
-11.5,5,8.120426
-11.35,4,8.124045
-12.9,5,8.156108
-13.15,11,8.165313
-10.4,2,8.166857
-1.95,15,8.212009
-12.1,9,8.255734
-12.8,12,8.297584
-12.7,12,8.307882
-11.05,6,8.342883
-11.05,3,8.345389
-12.8,8,8.385683
-0.75,7,8.392252
-12.3,9,8.43242
-12.1,4,8.435942
-10.6,2,8.437582
-11.5,4,8.441131
-11.05,7,8.477385
-11.7,8,8.484654
-10.85,3,8.487042
-10.55,3,8.490186
-10.55,3,8.523373
-12.85,7,8.529198
-12.3,5,8.534009
-11.2,4,8.568546
-12.55,7,8.575326
-0.75,5,8.579754
-3.75,28,8.676486
-10.9,4,8.680626
-11.25,7,8.723713
-11.75,7,8.729487
-10.95,3,8.73358
-11.7,5,8.770487
-10.65,3,8.77396
-12.7,10,8.814996
-12.55,7,8.823434
-10.55,3,8.826854
-0.5,6,8.865548
-10.55,2,8.867361
-3.25,15,8.912133
-12.2,8,8.919599
-11.5,5,8.924594
-11.8,4,8.960515
-11.1,5,8.966686
-10.95,3,8.969658
-11.9,9,9.009716
-13.65,23,9.067976
-10.15,2,9.06981
-10.55,3,9.104144
-10.75,4,9.108425
-11.7,8,9.116916
-14.25,12,9.159986
-11.3,5,9.1651
-11.15,3,9.202907
-11.65,4,9.207393
-11.2,4,9.211608
-11.6,9,9.254955
-11.35,4,9.258999
-10.95,3,9.261888
-11.15,6,9.268128
-11.15,3,9.305812
-10.85,3,9.3086
-10.4,2,9.310148
-12.85,7,9.317153
-1.05,8,9.357262
-12.1,8,9.365966
-14.3,21,9.445845
-12.1,5,9.450539
-12.4,9,9.488996
-11.65,4,9.492974
-11.1,5,9.497367
-11.4,5,9.502108
-12.0,6,9.538043
-11.75,6,9.543731
-10.9,4,9.547509
-10.4,2,9.578481
-10.8,5,9.60059
-16.25,59,9.782518
-10.85,3,9.785265
-10.75,4,9.789423
-11.05,4,9.793133
-11.35,3,9.795543
-12.55,7,9.833958
-10.9,5,9.838228
-14.6,9,9.878548
-10.25,2,9.88102
-10.45,2,9.883102
-10.9,4,9.886352
-10.4,2,9.88863
-11.3,4,9.924071
-2.6,14,9.936034
-11.9,8,9.974613
-11.95,11,10.016375
-11.5,4,10.019609
-10.45,2,10.021466
-11.5,5,10.026207
-0.8,8,10.064306
-13.0,9,10.071984
-12.15,16,10.117369
-11.55,8,10.154859
-10.65,3,10.157919
-12.85,16,10.201809
-11.25,3,10.204164
-13.15,12,10.246334
-12.4,10,10.28661
-1.8,9,10.294645
-11.65,4,10.298434
8.5,10,10.337495
-11.8,4,10.341794
-10.4,2,10.343372
-12.6,9,10.381176
-10.4,2,10.382987
-13.0,9,10.422616
-10.75,3,10.425189
-11.15,3,10.427667
-11.5,6,10.433343
-10.95,3,10.469154
-10.6,2,10.470782
-11.3,6,10.476351
-11.3,6,10.51105
-10.3,2,10.512791
-0.6,3,10.51578
-10.9,5,10.519599
-12.75,6,10.55369
-11.7,5,10.55833
-11.05,7,10.564327
-13.8,9,10.60049
-20.95,71,10.786243
-6.7,49,10.92054
-10.75,3,10.953322
-4.05,27,11.007747
-0.95,11,11.046248
-11.55,6,11.051925
-11.75,8,11.08802
-12.2,9,11.09572
-11.2,4,11.127998
