#{"t_start": 1784203062.527544, "env_id": "snake-v0"}
r,l,t
-14.1,20,0.959289
-10.3,2,0.960857
-11.9,4,0.964527
-14.25,19,1.008479
-12.2,6,1.040874
-3.1,12,1.050337
-11.3,8,1.08777
-15.55,19,1.131193
-11.1,6,1.135832
-14.25,11,1.173805
-13.3,9,1.209713
-12.25,11,1.218479
-13.05,15,1.259368
-17.45,20,1.333233
-11.4,4,1.336787
-10.95,31,1.419019
-14.6,10,1.427154
-10.85,6,1.460425
-21.05,24,1.508339
-11.85,4,1.540864
-2.75,15,1.552595
-6.1,29,1.634429
-17.3,20,1.707586
-23.15,34,1.794157
-13.25,12,1.804245
-3.05,15,1.846845
-11.35,4,1.879967
-12.45,6,1.884608
-11.35,4,1.888234
-11.25,6,1.922242
-10.45,3,1.924557
-16.15,23,1.971278
-10.55,2,1.973042
-0.55,5,2.0081
-18.75,36,2.096643
-14.6,9,2.104338
-14.1,13,2.143041
-17.7,37,2.26025
-19.15,39,2.352552
-16.5,17,2.39663
-11.75,45,2.521784
-13.2,6,2.526418
-10.15,2,2.528571
-12.9,9,2.56496
-12.15,12,2.602821
-11.35,4,2.60658
-17.6,20,2.650985
-12.1,9,2.688243
-11.2,4,2.691256
-12.15,7,2.697286
-15.25,12,2.736128
-14.95,10,2.773916
-16.95,15,2.814807
-11.1,5,2.818673
-17.65,27,2.907546
-12.6,8,2.915056
-17.3,25,2.996442
-11.0,4,2.999875
-14.15,20,3.046249
-7.45,26,3.128856
-10.55,3,3.131421
-12.05,10,3.168711
-2.2,13,3.209987
-10.75,7,3.216167
-10.25,3,3.218623
-12.85,11,3.25828
-17.1,18,3.301677
-10.7,4,3.305316
-14.35,28,3.392745
-15.35,15,3.437614
-11.2,8,3.444632
-14.05,10,3.482512
-10.65,3,3.484873
-11.7,5,3.518617
-10.7,2,3.520938
-0.5,5,3.524862
-14.6,17,3.572852
-11.0,8,3.61066
-12.6,13,3.622641
-10.4,2,3.653846
-0.45,7,3.659726
-12.4,10,3.698046
-11.0,8,3.705415
-13.9,10,3.743208
-10.5,2,3.744921
-12.5,5,3.749088
-12.2,8,3.78782
-10.65,8,3.79471
-10.45,3,3.797763
-1.35,7,3.83484
-13.6,17,3.880031
-13.15,8,3.886542
-10.6,4,3.92149
-10.55,4,3.924798
-14.15,12,3.965798
-11.75,6,3.970963
-13.95,15,4.022269
-10.55,3,4.024689
-10.55,3,4.027079
-11.4,5,4.06338
-11.7,9,4.071466
-11.85,6,4.108655
-11.65,4,4.112792
-11.95,7,4.118796
-11.8,10,4.162763
8.95,8,4.169185
-10.6,2,4.17111
-12.1,8,4.208514
-12.0,9,4.248058
-13.6,9,4.256453
-12.5,6,4.261698
-12.0,8,4.299517
-11.35,4,4.302669
-15.25,20,4.353184
-13.3,10,4.393137
-11.75,16,4.437211
-12.65,7,4.47321
-11.45,7,4.479848
-14.05,10,4.517878
-11.9,9,4.525886
-11.95,7,4.561505
-13.4,8,4.568177
-10.55,6,4.573717
-11.95,7,4.609199
-11.2,5,4.613699
-11.2,4,4.616731
-12.3,5,4.648932
-11.75,7,4.655355
-11.85,7,4.690589
-11.9,12,4.700752
-10.35,3,4.732483
-12.6,9,4.739948
-12.25,7,4.774693
-11.5,6,4.780058
-12.5,6,4.784781
7.3,11,4.822893
-11.75,7,4.828755
-4.15,16,4.871929
-11.3,5,4.904203
-11.75,6,4.909033
-11.5,4,4.912905
-10.9,4,4.944227
-12.5,9,4.952008
-11.15,8,4.98886
-10.05,2,4.99093
-12.5,5,4.99562
-12.8,9,5.031811
-10.65,3,5.034268
-12.5,6,5.039859
-3.7,19,5.084996
-11.6,9,5.121172
-12.5,5,5.143137
-12.0,9,5.181686
-10.55,6,5.186623
-12.1,5,5.220693
-12.55,7,5.226392
-0.35,3,5.229141
-16.45,16,5.272965
-10.55,2,5.275003
-10.9,5,5.30807
-11.5,5,5.312333
-10.75,4,5.316222
-10.35,2,5.318144
-11.5,5,5.352297
-13.25,8,5.359503
-12.25,7,5.394632
-10.75,3,5.397447
-10.85,3,5.399828
-11.05,7,5.405741
-12.1,5,5.438371
-11.75,6,5.443272
-12.1,5,5.447697
-10.85,7,5.4829
-12.4,8,5.489959
-10.55,2,5.491631
0.0,2,5.523255
-11.65,7,5.52928
-10.4,2,5.53093
-11.8,9,5.566458
-11.25,6,5.571676
-10.5,2,5.573323
-14.0,12,5.612718
-10.45,3,5.615302
-11.35,4,5.618367
-12.4,12,5.662982
-10.4,2,5.664729
-13.7,9,5.70232
-10.3,2,5.704968
-10.85,3,5.707628
-11.75,7,5.746654
-11.65,7,5.754279
-10.9,5,5.758705
-11.25,6,5.796753
-12.55,7,5.802425
-13.5,9,5.843297
-10.2,2,5.845039
-11.95,7,5.851554
-10.85,3,5.854511
-10.45,3,5.889176
-11.45,4,5.892618
-11.6,4,5.896411
-10.85,3,5.898924
-10.8,5,5.935511
-10.3,2,5.938364
-10.85,3,5.941149
-11.65,4,5.944781
-10.75,3,5.948076
-11.15,3,5.982318
-11.3,5,5.986727
-12.45,8,5.99406
-12.55,7,6.032266
-14.5,13,6.076552
-12.8,8,6.084264
-11.8,9,6.125239
-11.75,7,6.131741
-11.5,5,6.13644
-13.3,9,6.178406
-0.75,6,6.183684
-10.35,3,6.217135
-13.0,6,6.222662
