#{"t_start": 1784203062.52582, "env_id": "snake-v0"}
r,l,t
-11.25,10,0.794949
-22.0,41,1.04251
-2.7,13,1.052762
-15.1,13,1.094018
-12.3,10,1.130392
-10.65,3,1.132815
-12.25,10,1.169728
-13.9,12,1.179412
-11.2,5,1.212188
-10.75,4,1.215633
-10.65,2,1.217134
-13.8,10,1.253829
-12.6,8,1.260285
-22.6,32,1.344044
-20.6,17,1.385992
-15.8,16,1.428075
-12.95,6,1.461342
-12.85,7,1.466834
-11.7,10,1.503652
-15.75,15,1.5448
-10.9,4,1.548138
-11.2,4,1.551285
-18.45,35,1.637674
-12.05,12,1.67669
-15.45,11,1.713496
-14.25,15,1.756255
-13.4,25,1.804862
-12.45,7,1.840399
-16.25,14,1.882574
-17.1,18,1.926197
-13.75,16,1.967305
-16.85,11,1.976203
-11.35,7,2.012868
-19.1,21,2.059963
-14.5,14,2.100995
-11.95,4,2.103948
-10.3,2,2.105971
7.15,18,2.177899
-12.45,11,2.187231
-11.15,3,2.189956
-11.75,11,2.227026
-16.0,20,2.27327
-12.65,7,2.307229
-4.05,20,2.355482
-13.9,17,2.399068
-24.7,29,2.481819
-21.55,31,2.565784
-20.55,51,2.693732
-1.15,8,2.729542
-10.8,4,2.733116
-13.35,22,2.78054
-13.0,9,2.816447
-10.65,3,2.818705
-21.75,26,2.906621
-12.45,8,2.914254
-10.5,2,2.915911
-11.8,13,2.956708
-10.75,3,2.959018
-0.3,5,2.993214
-13.35,11,3.003105
-13.45,11,3.041793
-10.65,2,3.043456
-15.15,16,3.086049
-14.65,15,3.130492
-13.8,16,3.173019
-14.7,10,3.211625
-12.8,8,3.218603
-1.85,11,3.258328
-14.9,28,3.339272
-11.2,5,3.343311
-16.2,18,3.393513
-11.3,9,3.433073
-16.4,12,3.443436
-13.25,11,3.482577
-12.25,7,3.488186
-11.65,4,3.521064
-13.5,8,3.5281
-13.5,13,3.572787
-3.1,17,3.618767
-14.0,17,3.66303
-15.55,36,3.753332
-11.05,4,3.788069
-12.2,9,3.796351
-11.05,3,3.799379
-16.6,30,3.88662
-10.75,3,3.889722
-11.8,6,3.925698
-10.85,7,3.93214
-1.0,8,3.969085
-12.45,8,3.976021
-15.45,23,4.065835
-11.2,4,4.069099
-11.7,5,4.074019
-12.95,16,4.120441
-11.75,6,4.160642
-10.25,4,4.16437
-11.85,11,4.203574
-10.3,2,4.206199
-13.0,6,4.211023
-11.05,4,4.214861
-2.85,19,4.263335
-10.3,2,4.295507
-13.25,6,4.301158
-10.95,3,4.303457
-11.05,3,4.306676
-12.45,7,4.345181
-13.15,7,4.351579
-11.15,3,4.354021
-13.7,10,4.393941
-12.25,19,4.441001
-11.5,5,4.47484
-10.7,5,4.479025
-15.2,17,4.524313
-11.8,10,4.562036
-10.75,3,4.564969
-12.25,7,4.570625
-12.8,8,4.607485
-11.1,5,4.611642
-11.0,9,4.647028
-11.3,9,4.655377
-10.85,3,4.657782
-10.4,2,4.659326
-10.85,3,4.691403
-10.45,4,4.694635
-11.8,12,4.734124
-11.5,6,4.739169
-11.75,7,4.74474
-11.7,10,4.782538
-11.0,4,4.785625
-11.45,8,4.820869
-11.5,6,4.826127
-12.55,7,4.861193
-11.7,5,4.865835
-11.6,8,4.872765
-12.05,6,4.905793
-11.5,4,4.909088
-12.0,6,4.914554
-11.65,4,4.945844
-10.75,4,4.949589
-10.85,3,4.951975
-10.55,3,4.954836
-11.7,8,4.99151
-12.2,9,4.999536
-11.7,5,5.032636
-11.7,5,5.036722
-10.5,2,5.039058
-12.5,5,5.043093
-17.15,16,5.085723
-13.7,10,5.122804
-11.3,5,5.144752
-11.85,10,5.184117
-10.25,3,5.1865
-12.1,5,5.191253
-11.2,4,5.223991
-10.8,5,5.228033
-10.65,3,5.230767
-11.9,5,5.263774
-11.05,6,5.269298
-11.3,8,5.277566
-0.15,4,5.309701
-13.1,9,5.317817
-11.6,6,5.353064
-13.85,19,5.399097
-11.25,6,5.403815
-12.85,7,5.438294
-12.0,9,5.44579
-11.2,4,5.449319
-10.95,3,5.480947
-10.35,3,5.483644
-10.45,2,5.485366
-10.9,5,5.489986
-12.05,7,5.525788
-13.7,10,5.534134
-13.15,8,5.568919
-11.65,7,5.574941
-0.15,4,5.578038
-12.55,7,5.612952
-11.6,10,5.651004
-11.1,5,5.657718
-11.75,6,5.665596
-10.55,6,5.700746
-1.95,8,5.708316
-10.75,4,5.71201
-10.65,3,5.747264
-12.7,9,5.756722
-11.65,7,5.79504
-13.1,10,5.804042
-12.5,5,5.808835
-10.4,2,5.843216
-12.75,11,5.853194
-11.75,7,5.891773
-10.7,2,5.893461
-10.3,2,5.895117
-11.45,8,5.902498
-10.75,3,5.937122
-13.8,17,5.985819
-11.7,5,5.990799
-12.25,6,5.995677
-12.85,10,6.036251
-11.0,5,6.041189
-11.2,4,6.077347
-11.75,6,6.083289
-12.6,17,6.131753
-10.5,2,6.133377
-1.65,12,6.177818
-11.05,4,6.181895
-10.45,2,6.183539
-12.45,8,6.221463
-10.3,2,6.223515
-12.1,9,6.2315
-11.55,7,6.268534
-11.8,4,6.272676
-10.3,2,6.27437
-11.5,5,6.308043
-12.7,8,6.315105
-12.45,8,6.351726
-11.75,6,6.357058
-12.85,10,6.395476
-1.65,12,6.406281
-1.95,12,6.446461
-10.45,4,6.45029
-11.5,9,6.488249
-11.15,3,6.490905
-11.95,7,6.525248
-12.1,9,6.533334
-1.6,11,6.572361
-10.35,2,6.574278
-11.15,7,6.580317
-16.75,15,6.622947
-1.1,8,6.658988
-10.6,4,6.662271
-10.9,4,6.666662
-11.25,6,6.704755
-11.05,3,6.708037
-10.65,2,6.710184
-10.4,2,6.712063
-12.75,6,6.717618
-10.55,2,6.752005
-11.05,3,6.75489
-10.4,2,6.757003
-13.15,8,6.764439
-13.15,7,6.800903
-1.7,9,6.809427
-11.15,3,6.843778
-11.5,5,6.849422
-10.4,2,6.851199
-12.45,16,6.896549
-13.5,6,6.901595
-10.75,3,6.934611
-12.25,4,6.938072
-13.6,9,6.945711
-11.5,13,6.986504
-10.25,2,6.988885
-11.05,4,7.023029
-11.35,4,7.026568
-13.7,9,7.034463
-12.6,14,7.0758
-12.85,7,7.111424
-12.4,9,7.119453
-12.1,4,7.15296
-12.75,8,7.16063
-12.1,8,7.201072
-11.5,4,7.204733
-11.1,5,7.209456
-10.55,4,7.213166
-11.5,6,7.249175
-15.35,39,7.343441
-11.1,5,7.348491
-10.25,2,7.378682
-12.75,8,7.385682
-10.45,3,7.388841
-13.25,10,7.426843
-12.25,7,7.433876
-11.95,7,7.470554
-11.1,5,7.475482
-11.5,9,7.515698
-4.4,30,7.604986
-11.75,6,7.610198
