#{"t_start": 1784203062.5270216, "env_id": "snake-v0"}
r,l,t
-10.3,2,0.787626
-10.3,2,0.789266
-17.2,29,0.999693
-21.65,35,1.085256
-13.8,17,1.127495
-11.7,6,1.132473
-13.75,6,1.166293
-11.3,5,1.170066
-11.2,4,1.173557
-1.4,10,1.210193
-10.45,2,1.211968
-15.8,13,1.251169
-10.15,3,1.253639
-19.5,45,1.376192
-10.75,3,1.378393
-10.45,3,1.381146
-10.55,2,1.382638
-17.3,21,1.428813
-11.05,3,1.459419
-16.75,38,1.547896
-12.55,6,1.552354
-14.7,13,1.592856
-11.4,6,1.625935
-11.05,3,1.628258
-3.45,21,1.67476
-10.55,6,1.679389
-19.6,45,1.802714
-13.2,12,1.842442
-19.2,17,1.88664
-7.35,35,1.972728
-18.95,19,2.019927
-21.9,34,2.13471
-4.05,22,2.181988
-12.7,9,2.217853
-13.95,20,2.263937
-11.3,5,2.267814
-11.25,3,2.270109
-10.85,3,2.272913
-1.0,13,2.311384
-13.4,9,2.350685
-8.85,32,2.436485
-14.95,15,2.47785
-12.2,55,2.610092
-16.95,35,2.697009
-15.5,21,2.772928
-15.8,26,2.822462
-14.5,10,2.860383
-0.5,6,2.865636
-11.75,8,2.908886
-14.25,15,2.951837
-15.2,18,2.997785
-13.35,19,3.043141
-11.55,8,3.079116
-11.1,5,3.083177
-13.15,7,3.089118
-13.25,7,3.12646
-12.55,7,3.132742
-16.85,12,3.171906
-10.55,2,3.173497
-10.3,2,3.175139
-11.85,10,3.214257
-10.5,4,3.21749
-12.45,7,3.253376
-11.9,9,3.261036
-0.65,7,3.296048
-16.5,18,3.339756
-10.85,6,3.344523
-16.7,30,3.436671
-11.05,3,3.439777
-13.05,11,3.478428
-11.0,8,3.485364
-12.35,15,3.527786
-13.1,14,3.573342
-11.7,5,3.577358
-10.4,2,3.61026
-11.35,6,3.616021
-11.3,5,3.620404
-11.35,4,3.623974
-12.4,8,3.660199
-15.85,19,3.706706
-12.3,5,3.710936
-10.55,3,3.742634
-10.4,2,3.744529
-11.05,4,3.748089
-0.3,5,3.75222
-14.25,12,3.794397
-11.4,13,3.836999
-10.95,8,3.844089
-0.45,5,3.878593
-10.2,2,3.880523
-10.9,8,3.887033
-14.5,13,3.930148
-10.65,3,3.932697
-12.55,12,3.973218
-12.05,6,3.978237
-11.65,7,4.022745
-12.8,8,4.029844
-10.35,2,4.06294
-11.75,7,4.068796
-12.5,9,4.109136
-10.85,3,4.111701
-12.55,7,4.118248
-10.35,2,4.12017
-11.1,5,4.15954
