#{"t_start": 1784203062.525381, "env_id": "snake-v0"}
r,l,t
-14.6,22,0.962916
-13.8,8,0.969592
-15.7,37,1.085999
-12.25,7,1.092222
-17.1,13,1.130784
-12.8,6,1.135519
-12.5,5,1.168667
-11.8,10,1.176677
-12.7,6,1.210178
-18.65,19,1.254222
-10.4,2,1.256141
-14.0,9,1.262912
-15.2,25,1.341417
-14.3,10,1.377729
-13.55,11,1.386386
-20.95,27,1.465688
-31.0,54,1.596884
-6.75,20,1.670281
-11.75,7,1.676317
-2.45,12,1.71389
-11.35,4,1.717414
-4.95,15,1.759769
-26.85,62,1.928177
-13.35,11,1.965309
-13.2,17,2.01016
-14.45,10,2.019043
-15.85,15,2.060357
-18.0,24,2.137796
-13.25,12,2.147768
-16.3,25,2.225924
-0.85,8,2.261508
-12.4,12,2.271646
-13.75,7,2.305991
-12.7,9,2.31295
-12.0,5,2.347538
-12.1,4,2.352157
-13.8,9,2.359894
-14.6,17,2.403202
-11.15,7,2.439299
-16.4,10,2.476297
-13.15,19,2.521005
7.4,14,2.561658
-10.3,2,2.563221
-16.35,23,2.610839
-13.05,8,2.645915
-14.6,12,2.656096
-12.85,11,2.694126
-12.2,13,2.734336
-12.7,13,2.774482
-12.25,6,2.779058
-10.6,2,2.780932
-16.15,16,2.822523
-15.4,13,2.862961
-15.75,18,2.915539
-10.95,7,2.950763
-10.15,3,2.953349
-2.6,13,2.994524
-4.25,15,3.037041
-11.75,35,3.127235
-10.55,3,3.129665
-13.25,11,3.168437
-13.15,8,3.175034
-11.7,9,3.212881
-12.5,9,3.22067
-16.6,36,3.309751
-11.95,7,3.344549
-13.2,13,3.39077
-11.2,4,3.393918
-12.7,17,3.440575
-15.0,9,3.477603
-10.35,2,3.479165
-12.8,12,3.489899
-11.7,12,3.529318
-13.75,11,3.571709
-11.9,10,3.611739
-10.95,3,3.61517
-2.45,16,3.658484
-11.85,11,3.667952
-12.25,6,3.702541
-10.35,3,3.7057
-1.7,10,3.743362
-12.3,5,3.748069
-11.25,6,3.752938
-11.65,7,3.790813
-1.4,9,3.798964
-11.45,3,3.801745
-11.05,4,3.836071
-11.9,12,3.846457
-12.0,9,3.884622
-2.15,12,3.92609
-10.95,3,3.928837
-11.05,4,3.932534
-12.5,9,3.970302
-10.95,3,3.973005
-13.3,13,4.021594
-13.9,9,4.03032
-10.35,3,4.064417
-11.05,11,4.074386
-11.5,9,4.114849
-11.95,7,4.12083
-12.25,7,4.161911
-11.65,4,4.165774
-11.65,7,4.171228
-13.8,9,4.209808
-10.25,2,4.211412
-13.45,11,4.252795
-11.7,5,4.25768
-10.65,3,4.260299
-12.8,9,4.299064
-1.05,8,4.305974
-12.3,14,4.351128
-2.75,12,4.392722
-10.6,2,4.394335
-11.6,13,4.435223
-10.45,3,4.437677
-11.5,6,4.44406
-11.2,5,4.477817
-10.35,2,4.479412
-3.15,9,4.487532
-10.95,3,4.519938
-11.85,8,4.527156
-10.45,2,4.528736
-11.3,5,4.562421
-11.25,6,4.567847
-12.7,5,4.572565
-12.2,9,4.609598
-11.45,7,4.615746
-10.75,6,4.648401
-12.5,9,4.656602
-13.15,8,4.692629
-10.5,2,4.694266
-10.4,2,4.695867
-2.1,13,4.736073
-10.85,3,4.738747
-10.95,3,4.741187
-10.55,2,4.742818
-12.55,7,4.777599
-11.35,4,4.781264
-13.7,9,4.788979
-12.15,7,4.823341
-12.95,15,4.865367
-0.8,4,4.868621
-10.85,3,4.871198
-11.0,6,4.904455
-10.55,4,4.907824
-10.9,4,4.911078
-11.8,4,4.914949
-12.05,8,4.949983
-12.55,8,4.956886
-14.5,28,5.040289
-11.1,5,5.044326
-10.4,2,5.075572
-12.35,6,5.080689
-13.5,8,5.087009
-11.0,8,5.12238
-12.0,6,5.145135
-11.3,5,5.180384
-10.65,3,5.182763
-4.35,22,5.23116
-11.35,6,5.26511
-12.85,7,5.271793
-13.35,11,5.310934
-13.5,8,5.318203
-0.6,5,5.352665
-11.2,5,5.357029
-10.75,6,5.362345
-12.6,6,5.396684
-11.05,7,5.402703
-14.85,11,5.440429
-11.3,8,5.447096
-11.5,4,5.450584
-14.2,9,5.487386
-11.3,5,5.492004
-2.25,8,5.528695
-10.95,3,5.531308
-11.95,7,5.536871
-11.2,4,5.568519
-10.9,4,5.571809
-1.4,9,5.60828
-10.85,3,5.61082
-12.55,7,5.617362
-10.75,3,5.619664
-11.5,5,5.653405
-10.25,2,5.656746
-1.35,12,5.70025
-11.65,10,5.709637
-11.25,6,5.747606
-10.85,3,5.750794
-10.65,2,5.753238
-11.25,6,5.758883
-11.55,7,5.797579
-10.75,3,5.800404
-12.8,9,5.808316
-10.45,2,5.842702
-10.65,3,5.845331
-11.65,7,5.852027
-14.55,8,5.891203
-10.5,2,5.893102
-10.15,3,5.89552
-1.05,8,5.902892
-11.2,4,5.939086
-10.75,2,5.941492
-10.25,3,5.944188
-11.55,3,5.946838
-11.6,5,5.983464
-12.0,6,5.988729
-13.3,14,6.033537
