#{"t_start": 1784203062.5251071, "env_id": "snake-v0"}
r,l,t
-11.8,6,0.792735
-13.3,8,0.799412
-11.05,3,0.959323
-20.6,30,1.012348
-12.25,10,1.048094
5.95,55,1.180051
-2.15,15,1.220803
-13.45,19,1.294014
-20.6,32,1.377191
-13.65,15,1.418256
-2.05,36,1.504307
-33.75,43,1.598012
-11.85,7,1.631942
-22.8,38,1.7204
-9.65,28,1.801693
-16.55,12,1.841055
-11.35,10,1.850031
-14.3,10,1.887738
-22.5,36,1.974546
-4.95,14,2.017765
-10.75,3,2.020054
-10.65,3,2.051642
-11.8,46,2.146936
-12.75,16,2.189834
-20.75,31,2.273116
-12.35,15,2.313183
-20.95,20,2.391128
-24.95,48,2.518962
-11.8,4,2.522279
-12.75,10,2.530878
-18.7,37,2.647206
-1.8,10,2.655004
-13.0,13,2.695206
-11.2,5,2.69961
-11.5,4,2.732244
-12.6,44,2.825818
-10.95,6,2.860725
-13.45,12,2.907269
-11.8,5,2.911766
-11.5,6,2.917384
-12.35,19,2.962797
-4.35,20,3.040117
-13.75,6,3.044935
-20.65,24,3.125679
-12.25,7,3.132048
-11.85,7,3.137687
-16.1,13,3.177812
-11.8,4,3.211484
-13.25,10,3.220145
-10.95,6,3.255172
-18.85,15,3.268166
-10.6,2,3.298738
-12.4,8,3.304797
-11.65,4,3.308433
-15.1,18,3.352031
-10.9,8,3.39415
-14.45,11,3.435338
-12.05,6,3.440801
-11.75,6,3.445916
-13.15,23,3.524849
-13.1,9,3.53257
-12.25,6,3.569628
-13.45,10,3.579174
-0.65,6,3.616248
-11.75,7,3.622203
-2.3,11,3.661048
-12.45,8,3.668187
-10.95,3,3.700333
-11.1,5,3.7047
-11.6,8,3.712021
-12.75,6,3.746328
-10.25,2,3.748303
-12.5,14,3.792093
-12.75,8,3.799197
-10.05,2,3.801161
-10.85,3,3.834517
-10.3,2,3.836301
-11.35,8,3.843599
-1.25,10,3.882323
-0.75,7,3.888064
-13.75,10,3.928229
-11.8,9,3.936219
-10.45,2,3.968088
-13.9,10,3.97667
-12.1,8,4.020839
-11.2,5,4.02621
-14.05,11,4.067351
-0.35,3,4.069713
-12.2,8,4.077447
-12.45,8,4.117
-11.05,4,4.120013
-15.15,12,4.166006
-0.9,9,4.173406
-10.7,5,4.208449
-11.6,6,4.213265
-12.0,6,4.250322
-14.55,15,4.263973
-10.65,2,4.296158
-13.35,10,4.304977
-11.35,4,4.308972
-1.1,8,4.34891
-3.8,14,4.392143
-10.3,2,4.393767
-12.7,10,4.432001
-10.95,3,4.434688
-10.6,2,4.436286
-11.35,4,4.440714
-11.25,7,4.47643
-11.75,7,4.483003
-2.5,11,4.522338
-12.5,6,4.52739
-11.85,12,4.567263
-12.0,6,4.572795
-11.95,7,4.608131
-10.55,2,4.609832
-12.2,9,4.617527
-10.75,3,4.647674
-10.35,3,4.650358
-10.65,3,4.652925
-12.0,9,4.660832
-12.2,9,4.698191
-10.7,5,4.702215
-10.95,3,4.7339
-11.7,5,4.73788
-14.05,7,4.74387
-10.35,2,4.74537
-11.85,6,4.779453
-11.55,8,4.786283
-14.35,15,4.82757
-10.9,5,4.861084
-12.0,6,4.866493
-0.9,5,4.870543
-10.45,3,4.873422
-12.55,8,4.908058
-1.9,10,4.944794
-11.1,5,4.949408
-11.25,6,4.954286
-10.45,4,4.957963
-10.9,4,4.991121
0.0,2,4.993197
-10.45,3,4.995703
-12.4,9,5.032496
-10.8,5,5.036559
-12.1,5,5.041398
-11.7,9,5.078204
-11.7,5,5.082487
-11.75,7,5.116636
-11.6,8,5.123461
-13.75,6,5.146372
-11.75,6,5.182231
-11.5,9,5.189801
-11.2,4,5.222961
-10.85,3,5.225605
-0.75,7,5.231394
-0.5,8,5.266979
-13.4,9,5.276311
-12.1,6,5.310356
-10.45,2,5.311944
-11.3,5,5.316536
-11.7,5,5.321343
-13.5,8,5.358461
-10.15,2,5.360104
-12.4,9,5.396915
-11.15,3,5.399754
-0.5,4,5.402937
-11.35,4,5.406462
-12.45,11,5.444004
-10.65,2,5.44558
-14.3,17,5.489879
-11.2,4,5.493081
-12.5,6,5.528149
-11.15,3,5.530631
-11.65,4,5.534038
-12.8,8,5.568754
-12.6,9,5.576485
-11.2,4,5.608456
-12.2,9,5.616819
-12.05,8,5.652565
-10.95,3,5.656963
-11.05,4,5.662203
-10.9,9,5.701396
-13.7,12,5.712659
-11.7,5,5.749861
-10.9,4,5.754329
-11.65,7,5.76103
-14.2,9,5.80147
-11.75,8,5.808548
-10.4,2,5.842908
-11.15,3,5.84556
-11.15,3,5.84877
-10.15,2,5.850438
-12.0,12,5.893333
-10.75,3,5.895754
-2.15,11,5.937771
-10.2,2,5.940681
-10.65,2,5.9426
-11.75,6,5.948759
-12.3,9,5.988114
-12.6,13,6.032142
-12.2,9,6.039999
-11.85,11,6.083203
-12.55,15,6.12919
-11.8,12,6.173769
-12.9,5,6.178471
-0.4,5,6.183409
-11.7,5,6.218457
-10.9,4,6.222118
-11.25,6,6.227335
-11.2,5,6.232158
-12.0,6,6.268363
-11.2,8,6.275857
-11.05,3,6.307805
-11.35,6,6.312785
-10.75,3,6.315744
-0.7,6,6.320759
-11.05,4,6.354127
-11.5,6,6.35945
4.8,34,6.44917
-11.95,11,6.488898
-14.3,9,6.496422
-11.8,5,6.529187
-11.9,9,6.537083
-10.35,2,6.539313
-13.75,7,6.574934
-11.2,4,6.57811
-12.8,8,6.614985
-12.9,5,6.619024
-10.65,3,6.621358
-1.55,11,6.66055
-13.95,15,6.707917
-1.5,9,6.716786
-12.1,8,6.756859
-13.15,8,6.763686
-12.25,7,6.800776
-11.45,7,6.807423
-11.65,7,6.84541
-13.55,24,6.89905
-10.55,3,6.901497
-0.05,3,6.934164
-11.7,5,6.938703
-11.3,4,6.942296
-10.15,2,6.943985
-11.3,5,6.977839
-12.05,7,6.983849
-12.2,9,7.022748
-14.2,9,7.030582
-12.35,6,7.035939
-13.25,11,7.074801
-11.2,5,7.078983
-12.75,6,7.114383
-10.9,4,7.117765
-2.3,9,7.156015
-12.0,6,7.161287
-11.35,4,7.165383
-10.75,4,7.201688
-15.3,18,7.249024
-11.8,4,7.252197
-11.1,5,7.257389
-1.95,10,7.295974
-2.2,14,7.33782
-11.5,4,7.341651
-10.9,4,7.345085
-10.75,4,7.349129
-13.15,8,7.384833
-10.5,2,7.386339
-13.6,29,7.473737
-10.6,2,7.475347
-11.6,6,7.481181
-12.8,9,7.521119
-11.6,18,7.57028
-10.55,2,7.572164
-10.9,4,7.575444
-11.75,6,7.610042
-12.75,22,7.657143
-2.45,13,7.697157
-11.7,5,7.701375
-10.4,2,7.703047
-0.7,6,7.737464
-10.55,3,7.740338
-11.35,4,7.74364
-11.25,6,7.77807
-4.8,17,7.820322
-12.85,7,7.826467
-14.8,17,7.869749
-11.9,5,7.902742
-12.1,9,7.910342
-10.45,3,7.912739
-10.55,2,7.91482
-14.35,7,7.949269
-11.9,10,7.957818
-12.9,9,7.993278
-11.25,3,7.995739
-10.25,2,7.997405
-10.7,2,7.999082
-13.15,10,8.035849
-13.1,25,8.115103
-10.3,2,8.116765
-0.5,6,8.121656
-11.35,7,8.155579
-20.55,71,8.345837
-11.05,3,8.349633
-10.95,3,8.352077
-10.65,3,8.387099
-10.1,2,8.389457
-12.0,6,8.394458
-2.25,8,8.433811
-12.5,9,8.441561
-11.75,8,8.478709
-10.55,3,8.481785
-12.25,7,8.487491
-1.15,11,8.52804
-12.1,8,8.53525
-10.3,2,8.568174
-13.25,10,8.577672
-10.4,2,8.579218
-12.85,7,8.618712
-11.2,4,8.622304
-12.75,19,8.677794
-14.15,14,8.727379
-10.75,3,8.729936
-13.7,20,8.813858
-11.3,5,8.819221
-11.0,4,8.825152
-10.35,2,8.827257
-1.55,12,8.87101
-10.25,3,8.874264
-10.7,4,8.877593
-13.15,8,8.916856
-11.95,7,8.923028
-12.5,9,8.964463
-10.15,3,8.968245
-11.15,3,8.971141
-11.75,6,9.008579
-11.55,10,9.017794
