#{"t_start": 1784203062.5260308, "env_id": "snake-v0"}
r,l,t
-12.0,5,0.791028
-11.0,9,0.798552
-16.95,28,1.007647
-10.7,5,1.011487
-12.95,8,1.045276
-9.15,35,1.13264
-12.0,12,1.170992
-11.4,9,1.178412
-27.75,38,1.295442
-15.6,14,1.335534
-13.25,16,1.37713
-17.2,18,1.420431
-14.95,18,1.463542
-23.75,46,1.587093
-18.3,13,1.626856
-11.3,5,1.631082
-10.6,2,1.632754
-11.05,4,1.635862
-3.75,20,1.709015
-12.05,8,1.715737
-10.5,4,1.719541
-14.3,17,1.762729
-22.8,46,1.889668
-14.6,12,1.928306
-11.7,5,1.93279
-21.1,30,2.016906
-16.95,64,2.185488
-10.85,3,2.187996
-10.25,3,2.218765
-10.7,2,2.220357
-11.0,6,2.225327
-11.2,5,2.228991
8.8,11,2.268009
-3.5,9,2.30347
-14.75,23,2.353988
-11.8,4,2.35774
-12.3,5,2.391241
-14.05,14,2.402624
-13.1,13,2.443312
-10.6,62,2.610243
-3.55,19,2.654143
-10.45,2,2.656265
-13.4,9,2.692692
-10.55,3,2.695126
-10.85,3,2.697934
-13.15,12,2.736658
-15.9,18,2.781165
-11.5,5,2.813819
-12.25,6,2.818532
-11.05,3,2.82095
-11.65,4,2.824175
-11.05,4,2.857167
-4.75,22,2.913062
-2.95,15,2.955425
-18.45,18,3.001311
-13.7,10,3.039259
-12.9,13,3.078815
-11.35,7,3.085018
-13.6,18,3.132022
-11.15,7,3.16682
-11.05,4,3.170129
-11.3,5,3.174438
-12.55,7,3.210631
-11.15,3,3.213466
-11.7,12,3.22376
-10.85,3,3.256372
-11.3,4,3.259715
-10.5,2,3.261206
-15.25,15,3.302356
-13.9,17,3.345449
-12.4,8,3.386721
-14.05,19,3.43532
-10.55,2,3.436882
5.9,34,3.525511
-12.85,7,3.53171
-11.1,5,3.567727
-10.7,5,3.573438
-10.35,3,3.575898
-11.1,6,3.612082
-11.0,6,3.617753
-10.6,2,3.61958
-10.4,2,3.621342
-10.9,5,3.655248
-14.75,11,3.664928
-13.5,6,3.699475
-11.5,6,3.705101
-12.4,9,3.741904
-13.8,13,3.753158
-11.5,6,3.790236
-13.85,11,3.800318
-10.65,3,3.833663
-10.45,2,3.835464
-10.6,4,3.839223
-11.5,5,3.843484
-10.9,5,3.877897
-11.35,4,3.881463
-11.8,9,3.889538
-10.4,2,3.922035
-10.85,3,3.924502
-11.5,8,3.931953
-11.3,5,3.966159
-2.25,7,3.972409
-15.45,14,4.022848
-12.3,12,4.06481
-12.1,5,4.068923
-12.0,5,4.073847
-11.65,10,4.115283
-12.5,9,4.123726
-10.75,3,4.16047
-11.3,9,4.168169
-16.15,28,4.254482
-12.55,11,4.295324
-12.4,9,4.303282
-10.35,2,4.305378
-12.45,11,4.348051
-13.35,11,4.388769
-10.75,6,4.393756
-11.3,6,4.399479
-11.95,4,4.432001
-2.0,7,4.438623
-10.75,4,4.442637
-13.0,6,4.477216
-11.7,5,4.482145
-10.2,4,4.485273
-12.65,16,4.528916
-11.75,6,4.56379
-11.2,9,4.57196
-11.45,3,4.574394
-11.65,4,4.607299
-10.95,3,4.609776
-2.1,13,4.648648
-10.45,2,4.650305
-10.15,2,4.652071
-12.1,9,4.659972
-10.5,2,4.691228
-13.5,8,4.698127
-10.5,5,4.70217
-12.1,8,4.738149
-11.5,6,4.743009
-11.1,5,4.776093
-13.0,6,4.781506
-10.35,2,4.783089
-13.0,8,4.8181
-10.15,3,4.820695
-11.15,3,4.823539
-11.5,10,4.861019
-12.2,8,4.868023
-13.9,13,4.907216
-13.2,21,4.953424
-10.75,3,4.956288
-10.7,5,4.990279
-2.8,13,5.030771
-12.25,7,5.036546
-13.15,23,5.085547
-14.25,15,5.144568
-13.25,6,5.180579
-12.7,14,5.222102
-10.1,2,5.223813
-11.35,4,5.227015
-10.3,2,5.228643
-11.05,7,5.26361
-12.75,6,5.269134
-10.95,3,5.272183
-10.45,2,5.274308
-11.95,7,5.309515
-10.45,3,5.311865
-11.05,3,5.314792
-11.3,5,5.319581
-10.15,2,5.321675
-12.1,10,5.360115
-10.45,2,5.361746
-11.25,8,5.397904
-12.55,7,5.403639
-11.1,6,5.436904
-10.3,4,5.440699
-12.0,6,5.445603
-11.05,4,5.449132
-10.35,2,5.479711
-13.9,9,5.48787
-12.25,15,5.53071
-10.5,6,5.535466
-10.55,2,5.565369
-11.5,8,5.5723
-13.15,8,5.607677
-12.45,8,5.615087
-14.9,26,5.701372
-11.35,4,5.705433
-13.0,6,5.710686
-10.9,4,5.747085
-10.45,2,5.749035
-11.8,13,5.761847
-11.3,6,5.799815
-11.05,4,5.802994
-12.85,7,5.842105
-13.3,10,5.85144
-12.1,5,5.855929
-13.15,7,5.894053
-12.6,6,5.899618
-10.35,2,5.9014
-10.75,4,5.936939
-12.25,6,5.943592
-12.1,5,5.948745
-10.7,5,5.984616
-13.3,9,5.992994
-11.0,8,6.032108
-11.85,16,6.078868
-11.8,13,6.124118
-10.65,2,6.125843
-11.3,9,6.134147
-12.25,6,6.172925
-12.1,5,6.177634
-12.75,8,6.185111
-15.5,12,6.226475
-10.75,3,6.228894
-10.85,3,6.263063
-12.9,8,6.26991
-11.0,8,6.306958
-10.7,4,6.310258
-11.65,8,6.317292
-10.75,3,6.319904
-11.15,3,6.352421
-11.7,5,6.356886
-11.8,5,6.361109
-11.1,5,6.395306
-14.05,7,6.401445
-10.2,2,6.403061
-11.15,3,6.406108
-11.65,4,6.439388
-11.1,5,6.44363
-11.55,7,6.450115
-10.7,2,6.451745
-20.7,65,6.655428
-12.7,9,6.66385
-13.0,9,6.704573
-10.75,3,6.707863
-10.5,2,6.709998
-13.15,7,6.71666
-12.25,7,6.756001
-10.55,3,6.758412
-11.45,11,6.799121
-11.8,5,6.803318
-10.9,4,6.807325
-11.3,9,6.848216
-1.15,7,6.854547
-10.9,4,6.889524
-11.05,3,6.892008
-11.95,7,6.89819
-11.75,6,6.933326
-1.45,8,6.940461
-11.8,4,6.943981
-10.85,3,6.947099
-0.8,7,6.982043
-11.35,4,6.985442
-11.55,10,7.025513
-11.25,6,7.030656
-11.7,5,7.035078
-14.05,22,7.113543
-12.1,9,7.120774
-11.05,3,7.153686
-10.9,5,7.158775
-0.6,7,7.165311
-13.9,9,7.206845
-11.6,5,7.210834
-10.75,3,7.2141
-12.45,8,7.251335
-12.2,8,7.258954
-11.5,5,7.293518
-12.8,8,7.30053
-11.05,4,7.303736
-12.55,7,7.340002
-12.1,4,7.343267
-13.25,8,7.379598
-11.15,10,7.388656
-11.0,4,7.421333
-11.25,6,7.426658
-10.3,2,7.428635
-13.2,9,7.467764
-10.75,3,7.470379
-10.5,5,7.475307
-10.55,2,7.477056
-10.35,2,7.478657
-10.2,2,7.481133
-5.3,29,7.572208
-12.55,7,7.607284
-11.25,3,7.610024
-11.5,4,7.613184
-11.8,5,7.617423
-10.7,2,7.647686
-11.95,7,7.65353
-12.25,6,7.658982
-13.25,19,7.733303
-11.85,7,7.739494
-11.95,18,7.783943
-11.05,4,7.787274
-2.3,13,7.82636
-11.6,9,7.862121
-11.8,4,7.866145
-11.8,4,7.869675
-12.95,7,7.904659
-10.95,3,7.907113
-12.95,15,7.948407
-15.5,33,8.032451
-20.95,71,8.210779
-12.35,8,8.253093
-10.55,2,8.255356
-13.95,15,8.299666
-11.15,8,8.306682
-12.65,20,8.387192
-14.05,7,8.3936
-10.75,3,8.396254
-10.7,2,8.398425
-11.95,4,8.433769
-1.05,7,8.439915
-11.5,6,8.444822
-12.1,8,8.482544
-12.8,8,8.48983
-12.25,7,8.526381
-10.35,2,8.52803
-11.5,5,8.532799
-11.15,8,8.571009
-11.0,5,8.576016
-12.1,4,8.579371
-10.6,2,8.614138
-11.4,5,8.618659
-11.25,6,8.625305
-10.65,3,8.627719
-10.65,3,8.666308
-12.15,14,8.681524
-10.55,4,8.720475
-11.35,4,8.724956
-10.55,2,8.72654
-12.25,7,8.766509
-11.15,3,8.76924
-11.35,4,8.773582
-11.35,7,8.779124
-2.0,9,8.821137
-11.3,5,8.827543
-11.75,6,8.866141
-10.95,3,8.868475
-2.85,11,8.909874
-11.35,6,8.915998
-11.8,8,8.923278
-13.05,14,8.97028
-11.4,10,9.010875
-12.0,6,9.016979
-11.75,8,9.058416
-11.65,4,9.063076
-12.8,17,9.112345
-10.4,5,9.118234
-13.0,9,9.158792
-10.9,5,9.163698
-11.35,4,9.202559
-11.75,6,9.208545
-2.2,13,9.256581
-11.1,5,9.261506
-11.8,9,9.305464
-12.85,7,9.311608
-11.2,4,9.315922
-11.5,6,9.35297
-10.4,2,9.355678
-12.0,6,9.362132
-13.0,9,9.402705
-12.5,9,9.410785
-0.8,6,9.445459
-11.5,5,9.450156
-11.4,10,9.490025
-11.35,4,9.493323
-10.95,3,9.495812
-11.05,4,9.500032
-11.8,9,9.538944
-11.75,6,9.544105
-12.55,8,9.58105
-2.1,9,9.607325
-11.75,6,9.644035
-12.25,6,9.649854
-10.9,5,9.654043
-10.9,5,9.691223
-11.2,4,9.694699
-12.05,8,9.702562
-11.3,5,9.740294
-2.65,15,9.784018
-11.1,6,9.790357
-13.1,5,9.794288
-11.25,6,9.831897
-10.95,3,9.83441
-11.25,3,9.836976
-10.45,2,9.838927
-11.5,9,9.879013
-13.0,12,9.922714
-11.9,5,9.926802
-12.3,5,9.931694
9.7,6,9.968138
-12.0,6,9.973354
-11.85,7,9.979349
-11.0,8,10.018409
-10.4,2,10.020158
-12.1,8,10.027637
-12.3,22,10.108735
-12.1,12,10.150253
-0.55,8,10.157537
-11.35,4,10.161056
-10.55,3,10.193279
-14.35,26,10.248126
-10.55,3,10.250759
-11.7,5,10.28623
-1.15,7,10.292642
-7.5,34,10.383395
-10.75,4,10.386563
-13.4,9,10.426434
-12.1,5,10.431266
-13.25,6,10.469516
-11.7,5,10.474385
-12.2,8,10.510684
-12.5,9,10.518398
-10.5,2,10.520104
-12.0,6,10.554137
-13.15,10,10.562598
-11.7,5,10.595746
-10.25,2,10.597737
-11.0,6,10.60245
-10.95,3,10.604959
-3.2,18,10.650432
-13.0,9,10.6871
-1.95,11,10.728803
-1.4,10,10.738179
-13.5,9,10.778968
-31.4,205,11.342064
7.5,12,11.351901
-13.7,10,11.389422
-11.75,6,11.394321
-11.35,4,11.42665
-0.3,5,11.430958
-14.15,27,11.513598
-11.05,4,11.516775
-11.1,5,11.520747
-10.4,2,11.522769
-0.95,7,11.558658
-12.4,6,11.564012
-13.5,8,11.600955
-12.0,6,11.606644
-10.65,3,11.609452
-11.2,4,11.612622
-12.0,6,11.650966
-11.3,5,11.655682
-1.0,10,11.694967
-11.5,5,11.699671
-1.9,12,11.740567
-11.15,3,11.743171
-11.2,4,11.746445
-12.1,10,11.784627
-11.65,7,11.790864
-3.9,14,11.83343
-12.1,5,11.837436
-11.3,5,11.87214
-12.8,8,11.878841
-11.3,5,11.912657
-11.15,7,11.918997
-11.7,5,11.92345
-11.0,6,11.958303
-12.1,4,11.961583
-10.55,3,11.964604
-10.55,2,11.966455
-11.9,5,12.001578
-11.5,5,12.006291
-10.6,2,12.008053
-11.4,5,12.012022
-15.3,37,12.138296
-12.1,4,12.142339
-13.7,9,12.150392
-10.25,2,12.183603
-10.45,3,12.186014
-0.15,4,12.190182
-10.2,2,12.191782
-11.15,7,12.229567
-10.7,4,12.233581
-11.85,8,12.241039
-2.0,9,12.280154
-11.65,7,12.286558
-11.8,9,12.326938
-10.8,2,12.328705
-11.7,8,12.366109
-11.95,7,12.372658
-10.65,3,12.375251
-19.15,59,12.549359
-13.05,15,12.592106
-12.3,6,12.597518
-0.05,3,12.599925
-11.35,4,12.631509
-4.6,16,12.678327
-10.8,2,12.680465
-12.0,6,12.687009
-13.4,30,12.77465
-13.0,6,12.779464
-11.65,4,12.814954
-12.2,9,12.822884
-10.45,4,12.825983
-10.35,2,12.857932
-11.05,7,12.863976
-11.65,7,12.869664
-12.25,7,12.904657
-10.75,3,12.90729
-13.25,11,12.946184
-12.45,10,12.956254
-1.15,8,12.99291
-13.0,9,13.000909
