#{"t_start": 1784203062.5272164, "env_id": "snake-v0"}
r,l,t
-12.75,12,0.795576
-15.75,27,1.004141
-13.1,6,1.008781
-27.7,50,1.135402
-17.25,18,1.207581
-4.2,17,1.250192
-11.6,6,1.25516
-16.1,14,1.295553
-10.35,2,1.297274
-13.7,22,1.343457
-10.15,2,1.345221
-12.3,9,1.380975
-12.2,6,1.385428
-30.6,37,1.501512
-20.5,34,1.587164
-13.3,9,1.59514
-14.35,19,1.66774
-11.15,7,1.673763
-7.25,25,1.752196
-13.15,7,1.758027
-14.35,15,1.798911
-10.55,2,1.800402
-10.75,3,1.802556
-23.0,25,1.883402
-29.25,44,2.007605
-15.5,18,2.051921
-11.7,5,2.056314
-13.45,10,2.093112
-10.35,4,2.096924
-11.45,3,2.099684
-14.7,10,2.136092
-12.55,6,2.141135
-13.3,14,2.181831
-13.6,9,2.217684
-21.9,34,2.3031
-10.9,5,2.307424
-11.25,3,2.309686
-2.6,15,2.354183
-12.3,9,2.390876
-11.8,5,2.394752
-18.5,17,2.439173
-11.7,5,2.442974
-14.6,20,2.51775
-12.2,6,2.522891
-13.2,13,2.562759
-0.3,4,2.566097
-16.85,35,2.651284
-12.1,5,2.685122
-18.75,20,2.731005
-11.05,4,2.734043
-21.85,26,2.813558
-12.9,5,2.817421
-16.4,28,2.907073
-12.3,5,2.911962
-12.85,11,2.950591
-12.3,12,2.960814
-11.35,7,2.997636
-13.15,7,3.003281
-10.5,2,3.00537
-10.85,7,3.040474
-1.4,6,3.045768
-11.8,10,3.083006
-10.15,2,3.084731
-11.6,5,3.088947
-10.3,2,3.090652
-0.8,6,3.127117
-11.95,4,3.130911
-10.65,3,3.133385
-10.45,3,3.135708
-3.65,12,3.174982
-13.9,29,3.260092
-11.0,6,3.265372
4.7,24,3.342808
-12.4,8,3.349181
-13.85,15,3.398255
-16.7,29,3.483618
-16.15,19,3.529741
-11.95,11,3.572344
18.4,14,3.615849
-11.5,5,3.620233
-10.95,3,3.622947
-12.2,12,3.663022
-10.85,3,3.665395
-12.25,6,3.699971
-11.3,5,3.704936
-10.9,5,3.709169
-10.55,2,3.710776
-12.85,7,3.746313
-11.1,9,3.75391
-12.2,8,3.792698
-13.5,13,3.835131
-6.45,27,3.889454
-12.85,10,3.929182
-12.4,4,3.93253
-10.5,2,3.934237
-12.25,7,3.970125
-12.1,8,3.977219
-10.9,4,4.017931
-13.0,6,4.024232
-13.15,12,4.06618
-12.55,11,4.076209
-10.3,2,4.109895
-10.4,2,4.111544
-1.7,9,4.120015
-12.85,7,4.160993
-14.3,9,4.168652
-12.15,15,4.212634
0.0,2,4.21438
-1.35,8,4.252572
-11.05,4,4.256756
-12.0,9,4.295169
-13.45,10,4.304283
-11.2,4,4.340336
-14.65,10,4.349387
-11.9,5,4.353475
-10.75,7,4.39098
-11.05,3,4.393444
-13.25,8,4.430019
-11.9,5,4.434315
-11.5,12,4.475272
-12.25,6,4.481021
-10.45,3,4.483369
-10.15,2,4.484952
-13.4,9,4.523014
-13.25,10,4.560727
-13.0,10,4.569327
-12.25,6,4.604299
-16.35,35,4.691735
-11.1,5,4.696206
-11.65,4,4.699362
-11.35,4,4.731926
-10.85,3,4.734329
-13.25,6,4.739445
-12.7,12,4.778468
-12.85,7,4.78431
-10.75,3,4.787281
-11.5,6,4.82078
-10.65,3,4.823186
-13.25,10,4.860672
-10.25,2,4.86284
-10.65,2,4.864539
-11.0,6,4.869454
-10.5,2,4.871434
-11.15,3,4.901896
-11.55,6,4.906975
-13.1,13,4.946564
-10.75,3,4.949056
-11.2,4,4.952315
-11.95,7,4.988304
-12.5,13,4.999807
-10.75,4,5.032114
-11.75,8,5.0394
-10.55,3,5.041774
-11.35,4,5.074619
-11.35,7,5.080498
-10.75,4,5.083586
-14.05,11,5.121477
-11.5,9,5.177567
