#{"t_start": 1784201098.14081, "env_id": "snake-v0"}
r,l,t
-23.0,3,0.752852
-258.0,24,0.922724
-17.0,2,0.924219
-341.0,67,1.086936
-41.0,12,1.123879
-98.0,12,1.160396
0.0,2,1.16194
-61.0,7,1.195038
-55.0,11,1.203921
-308.0,53,1.355321
-136.0,10,1.363327
-301.0,31,1.44237
-149.0,16,1.482781
-68.0,14,1.520916
-48.0,5,1.524851
-63.0,16,1.565078
-17.0,2,1.566719
-152.0,18,1.63525
-53.0,15,1.647509
-15.0,4,1.677731
-284.0,60,1.808641
-125.0,11,1.845269
-33.0,7,1.877647
-33.0,7,1.883245
-33.0,10,1.91884
-46.0,6,1.923655
-19.0,3,1.925883
-46.0,4,1.92891
-70.0,9,1.965105
-17.0,2,1.96666
-45.0,6,1.99872
-47.0,6,2.003283
-77.0,18,2.044932
-64.0,10,2.080258
-24.0,4,2.083446
-207.0,36,2.16759
-36.0,5,2.171692
