#{"t_start": 1784201098.1402082, "env_id": "snake-v0"}
r,l,t
-65.0,15,0.762869
-352.0,44,1.00316
-156.0,30,1.082258
-379.0,40,1.195596
-25.0,2,1.197435
-38.0,4,1.200673
-23.0,2,1.202235
-71.0,16,1.242343
-71.0,6,1.24734
-271.0,46,1.365805
-167.0,31,1.444446
-112.0,9,1.478982
-96.0,13,1.516926
-83.0,11,1.525417
-73.0,7,1.558438
-344.0,37,1.642416
-56.0,17,1.682885
-94.0,24,1.757942
-50.0,6,1.762432
-148.0,13,1.800257
-11.0,2,1.801841
-21.0,2,1.803413
-16.0,5,1.807721
-23.0,3,1.837507
-40.0,5,1.841856
-105.0,28,1.918581
-272.0,30,1.971292
-46.0,4,2.001493
-66.0,8,2.008011
-49.0,6,2.040061
-25.0,4,2.043184
-184.0,26,2.091249
-56.0,14,2.130106
-58.0,5,2.161141
-31.0,7,2.16739
-72.0,5,2.171202
