#{"t_start": 1784201098.1419363, "env_id": "snake-v0"}
r,l,t
-15.0,2,0.750922
-67.0,6,0.755826
-47.0,6,0.760402
-146.0,38,0.99628
-60.0,9,1.003139
-84.0,13,1.041187
-63.0,14,1.079827
-52.0,5,1.083439
-23.0,2,1.08499
-320.0,57,1.239919
-143.0,18,1.281267
-70.0,14,1.319787
-84.0,16,1.359532
-38.0,5,1.364147
-93.0,10,1.398924
-76.0,13,1.43639
-22.0,2,1.438192
-33.0,11,1.474076
-148.0,17,1.515283
-73.0,15,1.554373
-46.0,6,1.55927
-22.0,9,1.566453
-286.0,33,1.674251
-125.0,16,1.714028
-32.0,8,1.720454
-75.0,10,1.757064
-121.0,15,1.796355
-29.0,3,1.798625
-33.0,6,1.803697
-81.0,22,1.875776
-210.0,45,1.968063
-142.0,17,2.008599
-40.0,4,2.039223
-16.0,2,2.040731
-80.0,8,2.047395
-30.0,9,2.081542
-84.0,12,2.118508
-85.0,23,2.16494
