#{"t_start": 1784226672.8130748, "env_id": "snake-v0"}
r,l,t
-12.1,13,0.763913
-10.35,3,0.766377
-1.1,6,0.925492
-17.2,20,0.968564
-11.45,7,1.00148
-14.65,11,1.010021
-7.3,27,1.086194
-18.1,25,1.133041
-11.85,6,1.165132
-25.6,42,1.253147
-18.3,16,1.293025
-12.9,9,1.327719
-22.75,32,1.407945
-14.3,24,1.482067
-10.9,4,1.48539
-11.3,5,1.4893
-17.65,23,1.563744
-2.4,9,1.570871
-11.85,6,1.575629
-13.15,10,1.611461
-14.5,10,1.647071
-3.8,15,1.686499
-12.6,14,1.724929
-12.05,6,1.730133
-11.95,6,1.73469
-19.8,22,1.809187
-22.85,43,1.900525
-11.9,5,1.93171
-31.9,73,2.101736
-13.25,18,2.142998
-17.8,29,2.221003
-14.1,12,2.258301
-14.25,22,2.3027
-9.1,25,2.377263
-18.8,25,2.423962
-28.95,36,2.534777
-11.6,6,2.539422
-16.2,29,2.617267
-10.25,3,2.619653
-4.15,20,2.662718
-13.5,13,2.700312
-13.45,6,2.704818
-11.45,11,2.741505
2.6,70,2.93853
-18.7,32,3.018607
-11.2,8,3.025165
-10.5,2,3.026814
-10.7,5,3.030595
-15.1,10,3.065406
-11.05,3,3.0681
-34.4,60,3.224943
-11.95,7,3.230178
-13.35,15,3.269407
-12.05,6,3.302111
-14.45,15,3.342363
-10.25,3,3.344693
-14.95,10,3.380164
-16.45,23,3.425704
-11.8,9,3.460276
-11.9,10,3.46818
-12.6,10,3.50315
-12.55,10,3.511159
-18.6,17,3.552012
-18.3,24,3.625638
-13.85,15,3.66634
-10.1,2,3.667924
-11.2,9,3.704178
-14.05,19,3.746533
-15.5,13,3.784149
-13.1,13,3.794836
-12.75,6,3.826463
-15.4,17,3.869513
-14.2,10,3.87774
-13.3,12,3.915311
-11.9,6,3.94798
-13.85,8,3.95465
-14.2,13,3.9937
-13.45,14,4.033247
-11.05,7,4.03863
-12.2,9,4.074912
-1.0,9,4.08199
-13.95,15,4.122201
-13.15,10,4.159038
-11.0,5,4.163162
-10.75,3,4.165602
-11.35,7,4.199055
-12.8,8,4.205449
-14.5,13,4.244514
-10.35,2,4.246237
-11.45,7,4.279056
-10.25,3,4.28144
-10.45,2,4.283284
-11.75,6,4.288074
-12.2,9,4.323875
-10.25,2,4.325678
-10.5,5,4.329754
-3.0,14,4.368094
-12.2,9,4.402643
-0.8,3,4.405086
-10.25,3,4.407891
-11.35,3,4.41029
-11.35,4,4.441645
-14.65,15,4.482035
-15.75,20,4.525728
-12.95,11,4.563648
-14.9,16,4.604867
-1.65,8,4.611386
-10.45,4,4.614771
-10.65,3,4.617467
-11.1,5,4.648289
-11.65,7,4.653922
-11.85,8,4.68921
-11.95,11,4.698094
-12.15,11,4.735663
-10.15,2,4.737239
-10.45,2,4.738946
-10.4,5,4.772108
-12.8,8,4.778963
-11.35,4,4.78254
-10.15,2,4.811677
-11.05,4,4.814832
-10.95,6,4.834707
-11.9,8,4.871144
-10.9,4,4.874721
-12.75,6,4.879702
-12.0,6,4.911681
-11.5,4,4.914904
-10.9,5,4.918912
-12.25,7,4.953106
-11.15,8,4.959967
-10.9,5,4.964052
-10.55,2,4.99423
-10.75,4,4.997579
-10.4,4,5.000734
-12.1,8,5.034323
-10.55,2,5.035969
-12.25,6,5.040923
-10.9,4,5.04443
-10.15,2,5.046097
-11.9,9,5.081993
-10.55,3,5.084773
-11.75,6,5.117561
-12.35,7,5.123159
-11.65,4,5.126574
-11.35,7,5.161063
-14.4,13,5.199919
-10.6,2,5.20147
-0.3,5,5.205617
-10.45,3,5.208303
-13.1,9,5.243059
-12.95,7,5.248679
-10.75,6,5.281518
-10.75,3,5.284199
-11.1,5,5.288302
-11.45,8,5.323015
