#{"t_start": 1784226672.810869, "env_id": "snake-v0"}
r,l,t
-17.2,13,0.766021
-11.15,3,0.768488
-19.3,65,1.083352
-11.2,8,1.089854
-18.15,27,1.1657
-14.0,13,1.203655
-18.95,24,1.249708
-15.35,18,1.291239
-14.8,25,1.365892
-19.25,34,1.44769
-10.7,5,1.451739
-16.35,12,1.489138
6.85,19,1.532444
-12.6,54,1.658441
-11.5,13,1.696325
-12.4,10,1.732224
-15.95,19,1.775505
-17.35,12,1.813854
-24.8,29,1.894012
-5.15,11,1.902631
-16.25,27,1.978805
-11.9,10,2.013572
-10.6,4,2.016557
-14.8,20,2.062068
-5.6,30,2.1412
-26.95,44,2.258546
-10.35,3,2.261199
-12.9,9,2.295416
-13.85,8,2.301748
-16.55,18,2.34267
-11.35,4,2.345974
-10.25,2,2.375233
-10.1,2,2.376956
-10.65,3,2.379375
-12.45,7,2.384847
-7.75,32,2.464855
-21.05,27,2.54075
-12.65,7,2.546324
-11.2,5,2.577767
-14.45,15,2.616668
-20.7,26,2.664839
-11.4,10,2.699866
-30.15,59,2.861114
-14.15,10,2.869332
-19.3,34,2.950871
-9.25,39,3.063649
-13.4,9,3.070991
-10.7,4,3.100804
-13.55,12,3.110657
-10.95,4,3.141114
-9.05,31,3.220493
-16.55,27,3.269193
-14.35,8,3.303463
-11.35,7,3.30875
-12.5,6,3.342044
-11.35,8,3.348355
-13.7,10,3.383832
-1.9,10,3.391784
-11.35,7,3.424451
-25.6,36,3.507619
-10.85,3,3.510123
-15.2,17,3.550588
-11.15,3,3.55332
-10.35,3,3.582848
-13.85,6,3.587684
-18.55,19,3.630161
-13.05,11,3.667425
-10.3,2,3.669284
-13.35,8,3.676754
-10.4,6,3.709337
-10.65,3,3.711869
-14.75,19,3.754316
-12.75,7,3.787088
-12.3,12,3.796921
-18.15,16,3.836717
-10.2,2,3.867369
-10.35,3,3.870095
-14.4,21,3.915085
-19.15,26,3.992397
-10.55,6,3.997507
-11.45,8,4.03186
-14.95,19,4.07602
-10.75,3,4.078579
-10.75,4,4.081775
-11.65,7,4.114818
-12.55,7,4.121096
-12.1,10,4.157521
-13.75,12,4.167683
-11.0,6,4.200385
-10.35,2,4.202021
-11.2,9,4.209155
-11.1,5,4.241964
-12.25,7,4.247432
-13.5,13,4.285358
-12.05,7,4.291
-17.55,19,4.362106
-11.8,9,4.3694
-10.9,4,4.372481
-10.55,3,4.402377
-10.15,2,4.403935
-12.5,6,4.408808
-10.5,2,4.410799
-10.85,2,4.412357
-10.85,3,4.442796
-4.35,16,4.484094
-10.35,2,4.486142
-11.8,6,4.491043
-10.75,6,4.496041
-10.35,3,4.525262
-1.65,8,4.531713
-10.75,3,4.534241
-10.85,6,4.568554
-12.5,6,4.573331
-12.5,6,4.5784
-10.15,3,4.608593
-10.15,2,4.610393
-1.4,9,4.617673
-11.05,4,4.647945
-14.6,10,4.656002
-12.0,6,4.689703
-11.65,7,4.695382
-14.55,12,4.733323
-11.45,10,4.741833
-12.85,12,4.781041
-11.5,4,4.784565
-12.85,7,4.81784
-1.9,14,4.874079
-11.5,8,4.88095
-11.4,5,4.912208
-12.6,9,4.919502
-11.2,4,4.922676
-10.55,4,4.954396
-11.05,7,4.960435
-11.6,5,4.964557
-12.4,9,5.0005
-10.9,4,5.003652
-10.7,2,5.005429
-11.05,4,5.035597
-11.05,3,5.038075
-11.8,4,5.041454
-11.9,9,5.077675
-10.65,3,5.08009
-10.45,2,5.081717
-10.7,4,5.085175
-10.85,2,5.086844
-11.35,4,5.09016
-12.75,8,5.124421
-10.65,2,5.126084
-10.7,2,5.127819
-11.7,5,5.160756
-1.75,9,5.168362
-10.25,3,5.170749
-10.45,3,5.173127
-12.3,5,5.205148
-10.3,4,5.208514
-12.0,5,5.212689
-10.85,8,5.246791
-12.8,8,5.253434
-12.8,8,5.28792
-13.55,11,5.32512
-10.55,3,5.327873
-12.45,8,5.334282
-12.6,9,5.368827
-11.3,9,5.376064
-11.05,4,5.407875
-11.35,7,5.413653
-14.5,10,5.450247
-14.75,11,5.459269
-13.9,9,5.495352
-13.45,10,5.530469
-10.15,3,5.533012
-11.35,3,5.53582
-12.1,5,5.539747
-12.5,6,5.572735
-11.05,7,5.578638
-10.9,9,5.614028
-11.75,6,5.619322
-10.7,5,5.623334
-14.1,12,5.660431
-11.2,4,5.663624
-10.3,2,5.665374
-10.9,5,5.698266
-13.8,8,5.70517
-12.25,7,5.739162
-10.45,4,5.74237
-13.0,9,5.74996
-12.6,9,5.786015
-12.45,10,5.822443
-13.0,9,5.830331
-0.5,4,5.833608
-11.5,6,5.866494
-12.1,5,5.871631
-10.85,3,5.874151
-12.0,8,5.910216
-10.55,3,5.912882
-10.25,4,5.916187
-13.0,6,5.949106
-11.95,7,5.955294
-11.15,10,5.991406
-11.15,6,5.996667
-11.5,8,6.031059
-10.5,2,6.032721
-10.25,2,6.034514
-11.35,4,6.037834
-13.45,10,6.074694
-10.25,2,6.076697
-4.05,12,6.114248
-10.55,7,6.120325
-11.3,9,6.154921
-13.0,6,6.160089
-11.2,4,6.163316
-10.45,3,6.165708
-12.85,7,6.199831
-11.65,7,6.205825
-11.05,3,6.208204
-13.0,9,6.24425
-11.0,5,6.248259
-15.7,12,6.286707
-10.65,3,6.289034
-11.05,4,6.320668
-10.55,6,6.325729
-11.2,8,6.332524
-12.0,6,6.365605
-0.75,7,6.371518
-10.15,2,6.373172
-10.65,2,6.374859
-13.0,9,6.411066
-10.9,5,6.415073
-10.9,5,6.447462
-11.3,8,6.454584
-12.7,10,6.490617
-13.35,10,6.499135
-10.6,6,6.532382
-12.2,9,6.539879
-11.5,8,6.57438
-10.5,2,6.576092
-14.55,11,6.612303
-10.3,4,6.615615
-10.9,5,6.620084
-1.2,9,6.655549
-10.35,2,6.657243
-2.25,11,6.694554
-11.75,6,6.699481
-12.25,7,6.70522
-13.15,8,6.738795
-10.95,8,6.74542
-11.95,10,6.7819
-2.55,11,6.819628
-12.8,10,6.827909
-16.05,16,6.871054
-10.9,5,6.905629
-11.75,8,6.912633
-10.85,3,6.91508
-12.75,6,6.948194
-10.55,3,6.950717
-10.75,4,6.954381
-14.2,8,6.988946
-11.95,11,6.998281
-12.4,9,7.033911
-10.85,6,7.039135
-11.55,6,7.072233
-10.55,3,7.074551
-10.95,3,7.077154
-12.25,7,7.082813
-10.55,2,7.111479
-12.3,5,7.115532
-11.1,5,7.119625
-10.9,4,7.122851
-11.5,4,7.154838
-10.65,3,7.157099
-10.6,2,7.158787
-12.0,6,7.164105
-14.0,9,7.199695
-12.8,8,7.206263
-14.05,10,7.242981
-11.15,3,7.245528
-11.1,5,7.278378
-10.35,2,7.280031
-12.35,7,7.28615
-10.3,2,7.287731
-11.8,5,7.319843
-11.95,11,7.329182
-14.4,12,7.367172
-11.25,7,7.373256
-10.35,2,7.403358
-10.25,2,7.405014
-11.15,7,7.411107
-14.85,11,7.448519
-0.75,7,7.454525
-11.5,6,7.48731
-0.35,4,7.490575
-11.5,5,7.495148
-10.9,5,7.527153
-11.1,5,7.531222
-11.25,6,7.536306
-16.85,15,7.576175
-10.2,2,7.577962
-10.4,5,7.609532
-10.95,3,7.612106
-11.7,9,7.619793
-10.65,3,7.649993
-13.45,10,7.658265
-11.3,4,7.661924
-12.0,12,7.69901
-10.65,3,7.702425
-12.05,10,7.739851
-10.65,3,7.74236
-12.75,6,7.775839
-11.75,7,7.78192
-10.45,3,7.784438
-12.6,9,7.820805
-11.05,7,7.826856
-0.4,5,7.830996
-13.35,6,7.863163
-12.3,5,7.867219
-11.5,4,7.870943
-10.25,2,7.90093
-11.35,7,7.906832
-11.75,8,7.913644
-11.2,4,7.944835
-12.1,9,7.95225
-10.95,3,7.954692
-11.75,6,7.988573
-10.15,2,7.990268
-0.25,4,7.993799
-11.3,8,8.028426
-10.65,3,8.030834
-11.05,6,8.036084
-11.65,7,8.070223
-11.5,8,8.076991
-11.35,4,8.080299
-11.35,8,8.115383
-0.85,7,8.121447
-13.15,10,8.157877
-15.1,13,8.19672
-1.05,12,8.235302
-12.0,6,8.24062
-12.1,5,8.245694
-11.9,5,8.278149
-11.05,3,8.280475
-10.65,2,8.282095
-10.65,3,8.284563
-11.8,9,8.32075
-12.55,8,8.327379
-11.65,7,8.361534
-11.9,10,8.369879
-11.2,4,8.373033
-11.9,5,8.405645
-11.5,4,8.408891
-11.4,8,8.443621
-10.2,2,8.445258
-11.5,6,8.450042
-13.15,10,8.486171
-10.35,3,8.488631
-10.25,3,8.491076
-11.0,6,8.496319
-10.85,3,8.526953
-13.95,12,8.537113
-11.35,4,8.568895
-10.3,4,8.572281
-13.6,10,8.58058
-0.15,4,8.613194
-11.35,4,8.616464
-0.45,6,8.62206
-10.45,2,8.623768
-2.25,11,8.662327
-10.05,2,8.664017
-12.2,5,8.696578
-10.6,2,8.698203
-10.5,2,8.699791
-10.85,6,8.705097
-10.5,2,8.706655
-11.5,5,8.73898
-12.0,10,8.747456
-11.5,5,8.784368
-12.45,7,8.790463
-11.75,6,8.795551
-14.4,12,8.833928
-12.35,7,8.868477
-10.45,3,8.871535
-10.4,5,8.875807
-2.55,10,8.911999
-0.3,5,8.930039
-10.45,2,8.931928
-10.45,2,8.933678
-10.45,2,8.93555
-11.1,5,8.966467
-10.75,3,8.969264
-12.0,6,8.97428
-11.35,4,9.005442
-12.5,5,9.00967
-11.5,5,9.0137
-2.7,13,9.052946
-11.15,7,9.058738
-12.0,6,9.092251
-12.15,6,9.097531
-10.5,2,9.099161
-10.35,4,9.130533
-10.5,2,9.132199
-11.05,3,9.134722
-11.6,6,9.139735
-12.25,8,9.174552
-10.8,5,9.178877
-11.5,5,9.183022
-11.25,6,9.216417
-13.4,9,9.224017
-11.1,6,9.257035
-11.6,6,9.262164
-10.4,2,9.263776
-11.7,9,9.299221
-12.15,11,9.308594
-12.15,6,9.342115
-10.25,3,9.344728
-11.3,5,9.348976
-10.85,8,9.382372
-12.45,7,9.388445
-10.55,3,9.390911
-11.25,7,9.425024
-11.05,3,9.427899
-12.85,10,9.46422
-11.6,6,9.469767
-10.35,2,9.471393
-10.25,2,9.472954
-10.85,7,9.506506
-11.2,4,9.510322
-12.05,7,9.51618
-10.55,2,9.546151
-11.2,4,9.549629
-12.85,10,9.557796
-11.5,4,9.588816
-12.3,5,9.593033
-15.0,9,9.62844
-12.45,14,9.64032
-11.1,6,9.673446
-11.75,8,9.680205
-11.0,6,9.71227
-11.65,11,9.721339
-11.2,9,9.757164
-10.3,2,9.758875
-11.85,8,9.792234
-11.15,3,9.79526
-10.85,3,9.797579
-13.4,9,9.805085
-10.45,3,9.836081
-12.4,10,9.844485
-11.05,4,9.875654
-10.9,4,9.879348
-0.85,6,9.884176
-11.5,4,9.887742
-10.95,4,9.919526
-11.2,4,9.922665
-10.75,4,9.926032
-10.9,4,9.929617
-11.6,8,9.965781
-10.75,3,9.96872
-11.5,6,9.973537
-13.75,11,10.010537
-10.05,2,10.012164
-10.9,4,10.044039
-14.0,14,10.055396
-11.1,6,10.088867
-11.0,6,10.093884
-10.45,3,10.096326
-12.55,7,10.130726
-10.85,8,10.13762
-11.8,4,10.168716
-13.9,13,10.179651
-12.9,9,10.215704
-11.8,5,10.220127
-10.4,2,10.221724
-11.05,3,10.252168
-10.6,2,10.25378
-1.2,10,10.262177
-10.25,3,10.264607
-11.85,10,10.301105
-10.9,5,10.305367
-11.05,3,10.335543
-12.3,12,10.345414
-11.8,10,10.38145
-12.5,5,10.38555
-10.45,3,10.387849
-10.9,5,10.420441
-10.15,2,10.422102
-13.15,7,10.428076
-11.6,6,10.459699
-14.05,12,10.470155
-2.4,10,10.506526
-12.95,15,10.547752
-12.6,12,10.585778
-11.55,11,10.595109
-11.7,6,10.628817
-1.6,7,10.634488
-12.65,10,10.672024
-10.75,7,10.678566
-10.95,6,10.711474
-10.7,2,10.713078
-10.7,4,10.71628
-12.0,6,10.7213
-10.55,4,10.753199
-10.8,5,10.75715
-12.1,8,10.791708
-10.45,3,10.794562
-12.45,10,10.802846
-12.65,19,10.874084
-10.35,2,10.875746
-12.0,5,10.880195
-12.25,7,10.886263
-12.8,10,10.922119
-11.05,3,10.924467
-11.05,3,10.927243
-3.35,12,10.966139
-11.65,11,11.003223
-10.65,3,11.005574
-3.35,12,11.044097
-11.65,8,11.050566
-10.95,3,11.053063
-12.4,10,11.089692
-10.95,3,11.092296
-11.35,4,11.123688
-13.45,12,11.133588
-13.15,10,11.170681
-13.0,13,11.210368
-10.35,2,11.211924
-10.95,3,11.214411
-10.45,2,11.215982
-10.2,2,11.21776
-0.95,7,11.252068
-10.5,5,11.256049
-11.4,8,11.290528
-10.35,2,11.292187
-13.2,12,11.30245
-11.95,4,11.333655
-11.05,7,11.339588
-12.1,6,11.344748
-11.5,5,11.377325
-11.8,9,11.384479
-11.6,4,11.414951
-10.3,2,11.416596
-12.2,9,11.424855
-10.55,3,11.427657
-2.6,9,11.462639
-11.5,5,11.466637
-10.85,4,11.498302
-11.35,4,11.501473
-10.55,4,11.504804
-10.7,5,11.509199
-1.6,10,11.546053
-1.35,7,11.552068
-12.0,6,11.58472
-10.65,3,11.587422
-11.75,8,11.622498
-10.7,5,11.626921
-13.6,10,11.635407
-10.35,3,11.667521
-11.5,6,11.672707
-13.25,12,11.71122
-12.35,7,11.716816
-12.3,8,11.752221
-12.45,8,11.758896
-12.1,6,11.791515
-10.95,3,11.794138
-1.5,7,11.799792
-12.1,8,11.834711
-13.7,12,11.845502
-10.05,2,11.874727
-12.8,9,11.882163
-12.25,6,11.915371
-1.25,7,11.921517
-10.35,2,11.923176
-12.0,6,11.928205
-10.65,2,11.958296
-10.5,2,11.960365
-12.3,5,11.964561
-13.3,12,12.00462
