#{"t_start": 1784226672.8114715, "env_id": "snake-v0"}
r,l,t
-13.2,6,0.760168
-10.65,3,0.762417
-4.6,26,0.964563
-17.85,26,1.012358
-14.7,49,1.132802
3.75,30,1.211745
-13.1,12,1.248362
-11.65,46,1.366813
-15.65,12,1.40396
-11.9,5,1.407695
-13.95,11,1.443834
-12.0,9,1.451185
-12.65,39,1.566107
-7.95,47,1.686473
-24.6,53,1.813307
-2.25,15,1.853124
-11.35,3,1.855388
-13.0,10,1.892616
-12.5,6,1.897161
-13.6,13,1.935075
-21.35,34,2.01602
-10.55,2,2.018052
-11.05,4,2.021077
-10.45,4,2.053308
-20.9,45,2.144539
-11.75,11,2.180889
-19.75,26,2.256369
-10.3,2,2.257991
-20.1,40,2.343822
-11.7,5,2.375465
-12.55,6,2.380322
-11.5,6,2.385213
-18.5,29,2.46277
-25.15,39,2.575481
-10.95,3,2.577974
-15.45,16,2.618036
-10.55,3,2.620322
-10.7,5,2.624212
-14.55,18,2.665748
-10.45,4,2.696373
-12.1,5,2.700067
-25.75,23,2.74615
-10.75,4,2.777755
-10.45,2,2.779312
-10.35,2,2.780909
-0.05,3,2.783144
-11.3,9,2.818944
-18.75,18,2.86294
-17.5,18,2.904512
-10.45,4,2.907543
-10.75,3,2.910176
-17.75,36,3.020943
-10.4,2,3.022473
-12.55,7,3.028316
-12.1,10,3.063086
-13.15,15,3.102209
-18.7,29,3.179693
-21.15,22,3.224546
-11.15,3,3.227272
-2.25,11,3.262936
-15.4,25,3.310979
-12.45,12,3.348557
-13.4,17,3.389706
-11.55,3,3.391945
-10.6,4,3.422366
-28.55,43,3.511197
-16.7,10,3.546226
-11.1,5,3.550023
-13.95,15,3.58943
-11.85,12,3.626406
-10.25,4,3.629596
-10.15,2,3.631154
-10.75,3,3.633474
-17.7,18,3.705682
-10.6,4,3.708783
-10.65,7,3.714552
-16.05,23,3.787302
-10.85,3,3.789686
-12.35,11,3.825624
-14.6,14,3.837026
-14.0,25,3.914532
-10.65,3,3.916851
-10.45,3,3.919478
-10.9,4,3.950297
-10.05,2,3.952244
-15.4,13,3.990966
-11.2,4,3.9944
-10.95,3,3.996942
-10.85,7,4.002827
-11.5,4,4.033761
-2.8,13,4.073019
-12.75,18,4.11544
-26.45,27,4.166315
-11.9,5,4.198169
-13.85,8,4.204512
-10.8,4,4.207786
-10.65,3,4.238869
-10.6,4,4.242156
-11.35,6,4.246895
-11.0,4,4.250125
-11.35,3,4.279746
-4.45,15,4.320668
-11.85,8,4.32719
-10.6,6,4.332106
-12.05,7,4.364763
-10.2,2,4.36636
-12.85,12,4.403401
-12.55,12,4.441279
-10.65,2,4.443142
-1.0,8,4.449557
-12.6,9,4.485577
-12.25,7,4.491261
-11.25,10,4.526481
-0.8,5,4.530345
-12.05,6,4.535598
-11.1,5,4.568818
-11.65,4,4.571974
-12.0,6,4.577019
-10.9,4,4.608039
-16.05,15,4.647387
-11.05,7,4.653175
-12.5,5,4.657115
-14.05,10,4.694021
-11.3,5,4.697908
-11.6,9,4.73367
-13.25,11,4.771827
-14.3,9,4.779663
-12.1,10,4.81552
-12.9,9,4.838206
-10.85,3,4.840536
-11.9,5,4.874359
-11.35,4,4.877918
-14.25,7,4.883894
-11.35,8,4.917239
-11.6,9,4.952984
-11.3,6,4.957935
-11.5,5,4.96229
-10.5,2,4.964028
7.6,14,5.003924
-11.25,7,5.036656
-11.7,5,5.040887
-10.3,4,5.044414
-13.25,6,5.077933
-10.85,7,5.083508
-10.55,2,5.085441
-12.05,7,5.119066
-14.05,11,5.128088
-12.2,8,5.163428
-17.65,16,5.204596
-11.45,11,5.213783
-11.35,4,5.244566
-10.4,2,5.246225
-10.4,2,5.247921
-15.5,12,5.285695
-11.35,8,5.292195
-11.2,4,5.295534
-12.4,8,5.330473
-10.35,3,5.332862
-10.3,4,5.336391
-12.25,7,5.369013
-10.75,4,5.372262
-10.5,2,5.373948
-0.15,4,5.377274
-14.2,9,5.413089
-10.45,2,5.414815
-13.0,9,5.450462
-10.45,4,5.453802
-11.65,7,5.459936
-11.75,6,5.493189
-10.3,4,5.496376
-10.4,2,5.498304
-14.75,11,5.534434
-12.45,10,5.542642
-10.65,2,5.572184
-12.3,9,5.579637
-10.75,7,5.613465
-10.5,2,5.615046
-12.7,5,5.619564
-11.5,9,5.654037
-11.95,10,5.662286
-12.8,8,5.697713
-13.15,7,5.703703
-10.5,2,5.705684
-0.65,4,5.736924
-13.0,8,5.743793
-10.55,2,5.745377
-11.1,5,5.749398
-10.45,2,5.779491
-11.5,6,5.784629
-11.05,3,5.787012
-10.4,2,5.788646
-10.6,5,5.821038
-13.1,9,5.828896
-11.75,6,5.861796
-10.1,2,5.863494
-0.15,4,5.866855
-13.15,8,5.874495
-10.35,3,5.906001
-11.75,6,5.911498
-10.4,2,5.91308
-11.05,4,5.916389
-10.4,2,5.918117
-11.2,8,5.953076
-10.45,3,5.955544
-12.0,8,5.990066
-11.2,9,5.997637
-12.6,9,6.03312
-10.6,2,6.034838
-11.75,7,6.040449
-15.95,15,6.081758
-12.0,8,6.116115
-11.25,6,6.121377
-10.6,5,6.125288
-1.3,11,6.161906
-10.95,3,6.164319
-10.65,3,6.195295
-10.55,3,6.197705
-10.85,6,6.202851
-10.75,3,6.20526
-10.9,4,6.236783
-11.85,8,6.243697
-10.5,5,6.247698
-10.25,2,6.249366
-13.1,8,6.284475
-12.0,6,6.289267
-10.45,3,6.32012
-10.35,2,6.3218
-12.8,8,6.3287
-13.1,9,6.364153
-14.4,14,6.404308
-11.15,3,6.406827
-11.05,6,6.41203
-10.4,2,6.413628
-12.25,7,6.447706
-14.15,10,6.456896
-11.5,4,6.487645
-10.45,2,6.489236
-10.7,5,6.493696
-13.1,9,6.529281
-12.2,8,6.536169
-11.5,5,6.540262
-10.55,3,6.570599
-11.05,4,6.573817
-13.5,8,6.580285
-10.6,2,6.582037
-10.45,3,6.611755
-10.45,4,6.61505
-11.05,3,6.617917
-10.7,4,6.621147
-11.45,7,6.655011
-13.8,9,6.662609
-10.9,4,6.694002
-10.4,2,6.695709
-11.95,7,6.701524
-11.95,7,6.733929
-2.75,12,6.744031
-11.8,8,6.779031
-10.75,4,6.782181
-11.05,7,6.816154
-11.3,5,6.820692
-10.95,3,6.823187
-10.65,3,6.825623
-10.1,2,6.827346
-10.4,2,6.828971
-10.75,3,6.860909
-10.2,2,6.862547
-10.25,3,6.865069
-11.75,7,6.871297
-10.6,5,6.905852
-10.55,3,6.908498
-15.85,12,6.946788
-10.25,3,6.949202
-10.9,5,6.953815
-10.85,6,6.986781
-10.35,3,6.989237
-14.0,9,6.996884
-10.55,2,6.998564
-12.8,8,7.033381
-11.05,4,7.036935
-10.2,2,7.038581
-12.25,7,7.072463
-12.1,8,7.078912
-12.25,6,7.110929
-10.95,8,7.117384
-11.65,8,7.152519
-13.45,10,7.160822
-10.9,5,7.193458
-12.25,7,7.19913
-12.6,5,7.203259
-11.4,8,7.238353
-1.8,7,7.244086
-12.35,11,7.281801
-11.8,9,7.289649
-11.05,4,7.320961
-12.4,5,7.324956
-10.75,3,7.32784
-11.45,11,7.36496
-11.15,7,7.371068
-11.0,9,7.406811
-12.1,8,7.413632
-10.85,3,7.444691
-12.0,5,7.448726
-11.5,5,7.453142
-1.05,8,7.487498
-0.15,4,7.490812
-11.65,7,7.496965
-12.2,9,7.532206
-10.45,2,7.533928
-14.7,13,7.572406
-12.45,8,7.57898
-11.35,4,7.609902
-10.7,4,7.613202
-10.6,4,7.616371
-11.35,4,7.62007
-12.05,8,7.654524
-12.1,5,7.658452
-10.35,2,7.660517
-10.2,4,7.690717
-12.65,11,7.70072
-11.05,7,7.735918
-12.05,12,7.74624
-10.2,2,7.77629
-10.85,3,7.779018
-12.35,7,7.784997
-10.5,5,7.817218
-10.35,2,7.819446
-11.65,4,7.822652
-11.85,8,7.829563
-11.65,11,7.865873
-12.75,6,7.871195
-11.7,9,7.907058
-11.2,5,7.911398
-10.1,2,7.91308
-11.35,3,7.943269
-12.55,7,7.949095
-12.55,7,7.983629
-10.6,6,7.988878
-10.1,2,7.990503
-10.25,4,7.994064
-11.65,7,8.027862
-10.85,3,8.030279
-10.55,3,8.032775
-11.5,5,8.037158
-13.9,10,8.073682
-0.9,6,8.078878
-11.25,3,8.109971
-12.2,9,8.117244
-11.35,4,8.120883
-11.3,8,8.155703
-12.0,6,8.161035
-10.4,2,8.162696
-12.6,9,8.197728
-10.95,3,8.200132
-10.65,2,8.202244
-12.3,5,8.234737
-10.75,3,8.23731
-11.8,8,8.24514
-13.4,9,8.280703
-11.65,7,8.286751
-10.75,3,8.289109
-12.95,12,8.327696
-12.0,6,8.360986
-11.65,4,8.364132
-12.1,12,8.402626
-12.55,7,8.408329
-0.9,5,8.412446
-10.75,3,8.443071
