#{"t_start": 1784226672.811667, "env_id": "snake-v0"}
r,l,t
-15.9,10,0.762975
-10.45,2,0.764498
-12.45,10,0.92683
-11.5,4,0.92995
-10.45,3,0.932274
-12.1,5,0.963556
-22.4,33,1.044369
-13.4,21,1.088313
-10.1,2,1.089861
-20.15,68,1.253068
-4.3,21,1.324165
3.8,30,1.402961
6.05,24,1.449161
-11.2,4,1.45246
-11.3,4,1.483402
-14.1,9,1.490642
-12.7,9,1.526415
-14.5,21,1.57059
-16.65,27,1.647593
-18.25,19,1.690138
-14.25,14,1.729065
-17.9,28,1.779432
-12.15,15,1.820504
-10.45,2,1.849545
-11.8,5,1.853703
-6.1,19,1.897771
-1.7,9,1.932158
-14.95,16,1.972488
-15.5,13,1.982517
-14.7,9,2.01671
-10.45,2,2.018619
-14.7,16,2.060501
-14.2,16,2.101538
-4.2,17,2.14198
-13.05,19,2.184902
-16.25,18,2.226182
-15.0,32,2.306317
-26.65,95,2.545584
-13.75,10,2.580767
-19.4,32,2.660825
-5.95,28,2.738122
-13.0,14,2.777594
-10.9,5,2.781468
-20.95,42,2.900241
-18.05,18,2.942507
-13.5,18,2.983337
-15.1,21,3.028157
-2.8,16,3.067876
-19.35,24,3.141127
-10.85,6,3.145837
-4.55,15,3.185083
-11.95,7,3.19036
-10.95,3,3.220571
-4.8,10,3.228607
-13.3,10,3.263525
-10.35,2,3.264964
-12.7,8,3.27154
-13.05,11,3.307996
-12.05,14,3.347613
-15.25,23,3.39362
-12.05,12,3.430086
-11.95,8,3.463973
-13.65,19,3.506038
-18.05,19,3.548298
-15.95,15,3.587709
-11.75,11,3.623497
-10.4,5,3.627805
-13.3,10,3.664354
-10.35,3,3.666682
-11.9,12,3.705523
-13.8,9,3.712806
-11.05,3,3.715103
-13.4,9,3.749444
-11.35,8,3.755962
-1.3,9,3.790256
-15.7,21,3.834286
-10.6,6,3.868551
-13.85,8,3.874865
-11.8,12,3.912641
-10.95,3,3.915089
-11.35,4,3.918465
-10.25,3,3.948531
-10.75,3,3.951258
-10.4,5,3.955211
-12.4,13,3.994228
-14.45,11,4.031123
-10.45,4,4.03457
-10.85,7,4.039981
-11.55,7,4.074484
-13.4,10,4.082574
-15.35,12,4.120353
-10.75,4,4.123537
-11.45,8,4.158405
-11.35,6,4.163658
-13.15,16,4.20435
-12.6,9,4.240332
-13.8,9,4.247547
-11.15,3,4.249951
-13.1,9,4.284618
-10.8,6,4.289423
-11.9,5,4.322129
-11.2,4,4.325215
-10.9,4,4.328605
-10.95,3,4.331094
-11.15,3,4.360535
-10.85,7,4.366199
-10.75,3,4.368657
-13.4,17,4.410056
-11.35,4,4.441119
-10.65,2,4.442982
-10.75,3,4.445395
-10.65,3,4.447724
-14.45,11,4.485402
-11.05,7,4.491088
-12.35,10,4.526309
-0.05,3,4.528641
-12.15,7,4.534574
-12.1,5,4.567816
-12.5,13,4.606202
-12.8,8,4.61272
-12.85,6,4.618029
-10.9,4,4.647998
-10.55,4,4.65135
-11.5,6,4.656045
-11.95,7,4.690545
-11.75,6,4.695407
-11.35,4,4.698624
-16.9,16,4.740287
-11.95,11,4.778696
-12.5,6,4.783848
-11.7,5,4.815346
-13.4,9,4.838032
-11.35,6,4.87248
-11.3,5,4.876854
-12.7,17,4.917952
-11.75,6,4.922702
-11.55,8,4.957764
-11.85,6,4.963027
-12.6,9,4.998899
-11.05,7,5.004687
-14.3,9,5.03914
-13.85,8,5.045781
-12.0,6,5.079338
-10.25,3,5.081823
-11.65,4,5.085269
-10.55,2,5.086953
-13.9,9,5.122119
-11.05,3,5.124493
-10.85,3,5.127096
-10.4,4,5.130305
-13.5,8,5.165753
-12.35,7,5.171495
-10.1,2,5.201249
-13.7,9,5.208598
-11.95,6,5.21362
-10.75,4,5.244409
-12.85,10,5.252693
-10.4,2,5.254216
-10.75,4,5.285534
-10.75,8,5.292032
-11.75,8,5.327119
-1.25,7,5.33269
-13.5,8,5.366205
-11.5,6,5.371264
-11.45,7,5.377111
-10.3,2,5.407138
-10.55,2,5.408834
-11.95,7,5.414654
-10.1,2,5.416211
-1.7,10,5.452788
-10.8,6,5.457744
-1.35,5,5.490049
-11.6,9,5.498129
-10.65,3,5.5005
-10.65,3,5.529749
-12.1,10,5.538173
-10.45,3,5.540659
-10.15,2,5.542469
-11.35,4,5.573615
-12.05,8,5.580255
-10.25,3,5.5827
-10.35,3,5.613292
-10.25,3,5.615867
-2.65,12,5.65297
-10.25,3,5.655442
-11.35,7,5.66124
-10.75,3,5.663714
-10.2,2,5.665363
