#{"t_start": 1784226672.812674, "env_id": "snake-v0"}
r,l,t
-10.15,3,0.756327
-15.0,18,0.925092
-10.55,3,0.927483
-13.7,10,0.962612
-11.45,4,0.965614
-13.45,7,0.971165
-12.25,11,1.007072
-19.25,43,1.123112
-22.9,28,1.172493
-36.25,75,1.369101
-4.05,13,1.406553
-12.2,8,1.412866
-11.2,4,1.443547
-18.7,13,1.453822
-23.75,55,1.609715
-11.8,5,1.613427
-24.35,36,1.696872
-16.3,21,1.769991
-10.35,3,1.772296
-11.5,4,1.775596
-10.85,7,1.809541
-7.65,41,1.899183
-33.4,49,2.019926
-11.3,5,2.052983
-10.25,2,2.054567
-31.65,50,2.177567
-14.75,24,2.223592
-12.0,5,2.255248
-12.3,8,2.261679
-12.25,16,2.301627
-16.15,14,2.339474
-13.45,14,2.378404
-39.4,61,2.535944
-11.4,4,2.539027
-11.75,11,2.575231
-11.9,6,2.579805
-10.4,6,2.584544
-14.9,13,2.62229
-12.1,13,2.659889
-10.95,3,2.662313
-14.75,22,2.734818
-16.35,22,2.780515
-13.6,10,2.816871
-13.2,13,2.828022
-16.65,22,2.901783
-10.65,7,2.907185
-14.15,23,2.980093
-14.65,23,3.026364
-13.15,10,3.061119
-17.95,23,3.10633
-0.4,44,3.223396
-16.55,18,3.264742
-16.4,17,3.306226
-10.8,5,3.310561
-12.65,7,3.344332
-12.25,11,3.380532
-10.8,6,3.385507
-13.5,18,3.426846
-3.0,14,3.465249
-11.35,4,3.46854
-20.3,21,3.512344
-13.4,13,3.55
-32.6,40,3.664923
-13.3,12,3.703643
-15.65,11,3.712633
-15.8,17,3.75338
-13.1,9,3.787757
-13.65,15,3.826832
-12.35,10,3.835003
-13.7,9,3.871556
-17.0,16,3.912578
-13.25,18,3.95501
-10.3,2,3.956636
-11.4,8,3.991706
-11.15,3,3.994071
-11.45,7,4.000051
-11.15,8,4.034403
-12.95,10,4.042527
-12.55,7,4.076862
-11.05,3,4.079237
-12.5,5,4.083402
-13.7,13,4.121785
-15.35,11,4.15941
-11.8,4,4.162706
-11.65,7,4.196189
-15.65,11,4.205067
-18.3,17,4.247423
-11.2,5,4.278624
-10.8,2,4.280228
-12.1,8,4.286733
-11.0,4,4.318694
-10.45,4,4.321946
-12.1,5,4.326038
-10.8,4,4.329355
-13.4,9,4.363622
-10.8,5,4.367695
-13.75,12,4.404644
-10.85,7,4.410651
-12.6,9,4.445916
-10.8,5,4.450302
-11.9,5,4.482408
-11.1,5,4.486858
-10.75,6,4.492022
-2.4,15,4.530914
-10.75,3,4.533622
-11.75,6,4.56768
-10.75,4,4.570822
-11.3,9,4.606066
-10.55,2,4.607778
-11.6,5,4.611759
-10.4,4,4.615136
-14.05,11,4.65122
-11.5,4,4.654295
-13.0,9,4.690366
-11.4,9,4.697658
-1.0,9,4.733673
-12.35,10,4.770694
-11.0,6,4.776163
-11.5,4,4.779337
-10.35,3,4.781896
-12.85,7,4.815202
-10.85,3,4.817752
-10.75,3,4.83508
-12.5,9,4.872361
-10.4,2,4.874033
-12.45,8,4.880898
-12.95,7,4.913809
-10.9,4,4.916988
-12.55,7,4.922521
-10.35,3,4.953463
-11.75,6,4.958718
-10.95,3,4.961148
-12.25,6,4.994602
-0.55,4,4.99795
-12.85,11,5.033878
-16.5,14,5.045655
-11.35,7,5.080024
-10.3,4,5.083471
-11.85,10,5.119551
-11.6,6,5.124367
-10.55,3,5.126949
-11.35,7,5.161425
-2.4,13,5.200287
-12.35,6,5.205257
-14.35,10,5.240581
-10.3,2,5.242637
-11.7,5,5.246779
-10.7,4,5.250124
-10.6,6,5.282686
-13.85,8,5.289461
-12.6,9,5.325337
-12.65,7,5.330905
-12.9,10,5.366059
-11.35,7,5.372022
-10.55,3,5.374358
-12.1,9,5.410301
-10.9,4,5.41369
-11.1,5,5.417904
-10.75,3,5.448517
-1.0,6,5.453485
-10.6,6,5.458802
-10.75,4,5.489867
-10.5,5,5.49442
-10.65,2,5.496082
-13.5,8,5.529637
-10.25,3,5.53216
-11.15,3,5.534852
-13.8,8,5.541502
-10.1,2,5.571034
-10.85,4,5.57435
-11.95,4,5.577673
-11.9,5,5.581746
-11.15,7,5.615709
-11.05,6,5.620758
-10.35,3,5.623224
-12.95,12,5.660287
-14.2,9,5.69656
-10.7,5,5.700982
-11.5,4,5.704561
-10.75,2,5.706347
-11.7,5,5.738225
-11.65,4,5.741784
-12.85,12,5.779896
-10.6,2,5.781622
-15.35,11,5.819024
-10.15,2,5.820727
-10.15,2,5.822346
-11.65,7,5.828596
-11.9,5,5.860659
-13.2,9,5.868882
-13.1,9,5.905701
-15.25,12,5.916088
-11.8,5,5.94839
-12.35,6,5.953588
-11.5,8,5.988113
-10.45,4,5.991648
-11.8,4,5.994948
-10.55,2,5.996512
-11.05,3,5.999049
-13.3,10,6.035301
-11.4,9,6.071335
-12.5,6,6.076542
-12.7,10,6.112534
-10.65,3,6.114978
-10.5,5,6.119424
-10.3,2,6.120983
-15.0,9,6.155608
-13.4,9,6.163182
-12.4,9,6.199023
-15.9,13,6.238048
-12.8,8,6.244894
-10.6,4,6.248223
-10.5,2,6.278136
-11.05,6,6.283322
-12.8,10,6.319814
-12.9,9,6.32756
-10.7,5,6.331622
-10.55,4,6.363016
-11.35,4,6.366663
-11.5,4,6.369796
-10.9,5,6.402295
-10.55,2,6.403971
-12.55,7,6.410096
-10.5,5,6.414295
-11.1,5,6.446568
-10.8,5,6.451212
-10.45,3,6.453918
-10.6,4,6.457368
-11.6,5,6.488912
-11.85,6,6.494087
-10.6,5,6.498238
-13.4,8,6.533376
-11.15,3,6.535784
-10.9,5,6.539934
-11.6,8,6.5744
-12.1,8,6.580917
-10.3,2,6.609758
-11.25,3,6.612277
-15.0,9,6.619995
-2.35,7,6.653872
-11.05,4,6.657232
-14.2,8,6.692001
-10.3,2,6.693703
-12.4,8,6.700387
-11.6,6,6.73194
-11.2,9,6.739521
-10.45,4,6.742894
-12.45,8,6.77788
-11.3,5,6.781857
-10.75,3,6.784517
-11.05,3,6.815035
-10.8,6,6.820371
-12.35,11,6.858858
