#{"t_start": 1784203429.0309997, "env_id": "snake-image-v0"}
r,l,t
-22.8,34,0.843379
-10.4,2,0.845069
-10.95,8,0.850646
-21.0,29,0.871122
-11.3,5,0.874524
-13.0,9,0.881025
-17.7,28,0.901953
-12.15,14,1.207868
-11.4,9,1.214947
-13.15,11,1.224182
-13.45,18,1.238398
-16.9,37,1.264518
-11.8,4,1.267301
-16.7,17,1.279206
-12.05,10,1.286593
-12.8,12,1.295247
-1.7,10,1.44088
-13.45,10,1.447867
-11.3,8,1.453506
-16.15,18,1.466208
-11.3,5,1.470031
-11.65,7,1.474948
-1.3,10,1.481934
-12.1,5,1.485357
-17.8,21,1.499801
9.0,13,1.509442
-15.95,23,1.525468
-13.95,16,1.67408
-19.4,62,1.718129
-11.7,5,1.721786
-15.95,16,1.7335
-14.65,11,1.741476
-5.95,26,1.899524
-10.95,6,1.904174
-11.4,5,1.907825
-20.8,25,1.925941
-19.0,32,1.948292
-10.9,4,1.950992
-32.25,50,1.986726
-16.7,13,2.133202
-15.85,15,2.143762
-25.0,50,2.178856
-15.65,15,2.189378
-11.25,7,2.194377
-11.8,5,2.197699
-20.45,22,2.21344
-15.35,15,2.362319
-11.8,4,2.365103
-12.75,7,2.370103
-12.7,12,2.379011
-16.15,11,2.386724
-14.95,14,2.396384
-11.8,10,2.403609
-10.9,4,2.40646
-13.15,8,2.412307
-11.9,9,2.418704
-11.75,6,2.423075
-14.95,27,2.441843
-17.15,31,2.601585
-3.15,15,2.612739
-10.4,2,2.614253
-10.65,3,2.616306
-14.75,11,2.624073
-18.5,20,2.638268
-12.75,8,2.643767
-25.5,54,2.820545
-13.2,12,2.829263
-11.85,10,2.836231
-14.45,16,2.847494
-11.85,11,2.855523
-14.05,12,2.863994
-0.6,5,2.867397
-12.55,20,2.881628
-11.8,4,2.884354
-9.5,26,2.903045
-11.8,4,3.042783
-12.2,12,3.051846
-11.25,7,3.056796
-10.85,3,3.059069
-11.65,3,3.061238
-12.75,8,3.067323
-10.85,4,3.070359
-13.3,9,3.076615
-11.65,4,3.079583
-14.05,11,3.087736
-5.7,25,3.106149
-7.45,27,3.125081
-27.95,50,3.299392
-11.5,5,3.302923
-2.1,12,3.311293
-15.25,11,3.31882
-12.25,7,3.323713
-10.5,5,3.327132
-10.25,4,3.330056
-13.35,15,3.340449
-10.55,3,3.342492
-11.45,7,3.347806
-1.1,5,3.351731
-11.55,7,3.357812
-11.65,7,3.362885
-1.55,13,3.509109
-0.35,3,3.511762
-13.4,13,3.520943
-11.75,7,3.525625
-13.8,17,3.537639
-0.3,5,3.541219
-13.4,8,3.547288
-11.8,10,3.554358
-11.35,4,3.557021
-10.65,3,3.559067
-10.35,3,3.561269
-11.1,5,3.564564
-1.75,7,3.569785
-10.25,3,3.571747
-16.85,16,3.583104
-12.05,7,3.588345
-12.25,10,3.734333
-12.55,7,3.739822
-11.95,4,3.742738
-12.6,9,3.749449
-10.65,2,3.750844
-11.75,6,3.755519
-14.35,18,3.76821
-10.2,2,3.769866
-13.0,9,3.776184
-10.8,5,3.779848
-13.75,11,3.78763
-15.55,32,3.810448
-10.45,4,3.81331
-11.25,6,3.817606
-11.35,4,3.820637
-10.25,2,3.821979
-14.7,17,3.969957
-12.5,6,3.974114
-14.25,11,3.981966
-13.7,20,3.996849
-11.35,4,3.999584
-13.4,16,4.01131
-16.2,22,4.02669
-11.7,5,4.030428
-12.5,6,4.034624
-1.6,10,4.041809
-10.7,5,4.045532
-11.35,8,4.051066
-11.15,3,4.053379
-13.4,9,4.199395
-11.1,5,4.202928
-12.6,9,4.209142
-12.0,6,4.213543
-11.15,8,4.219713
-10.75,6,4.223783
-10.4,5,4.227465
-8.4,28,4.24752
-11.2,5,4.250844
-11.55,11,4.259064
-10.95,3,4.261436
-11.9,5,4.264893
-11.25,6,4.269531
-11.75,6,4.273855
-17.15,24,4.427955
-12.5,20,4.442536
-10.8,6,4.446867
-3.1,17,4.459009
-10.75,4,4.461905
-10.9,4,4.464701
-13.15,10,4.472192
-12.55,10,4.479285
-14.0,9,4.485519
-11.95,7,4.490732
-12.1,10,4.498064
7.75,37,4.662765
