#{"t_start": 1784203429.0301046, "env_id": "snake-image-v0"}
r,l,t
-29.35,55,0.859047
-15.15,19,0.872675
-14.05,16,0.883907
-10.6,5,0.887681
-12.5,6,0.892088
-23.9,37,1.215777
-16.6,22,1.234121
-15.75,24,1.251288
-12.4,10,1.258516
-14.1,21,1.27297
-10.45,4,1.275748
9.25,9,1.282335
-14.0,50,1.456439
-16.7,25,1.474227
-13.2,20,1.488392
-1.8,57,1.528582
-11.35,11,1.673489
-17.7,25,1.691146
-10.85,7,1.696079
-12.75,8,1.701521
-12.15,12,1.710173
-12.95,7,1.715408
-17.2,25,1.733667
-10.7,5,1.737369
-13.9,12,1.746281
-12.5,6,1.750353
-10.4,2,1.751792
-14.85,34,1.915992
-16.8,14,1.925832
-14.5,10,1.932989
-17.5,36,1.958348
-10.1,2,1.959905
-10.75,3,1.962204
-11.2,5,1.965515
-19.8,33,1.988929
-30.65,79,2.181771
-24.95,39,2.209058
-10.4,5,2.212982
-15.3,24,2.367993
-11.65,4,2.370956
-17.45,19,2.384471
-11.1,4,2.387565
-10.85,8,2.393011
-10.65,7,2.397944
-31.75,54,2.436179
-12.45,11,2.444054
-20.7,45,2.614305
-10.95,3,2.616482
-13.6,10,2.623533
-1.7,14,2.633473
-24.9,46,2.666241
-15.95,15,2.676498
-30.9,49,2.849741
-3.05,12,2.858555
-15.45,19,2.871904
-12.55,15,2.882455
-11.55,6,2.886949
-11.65,8,2.892281
-6.45,27,3.049234
-11.35,3,3.051247
-10.6,2,3.052665
-16.5,24,3.070491
-11.05,4,3.073473
-15.55,18,3.086211
-13.5,6,3.09077
-16.7,28,3.111225
-14.1,12,3.11958
-12.2,5,3.123201
-10.85,3,3.125259
-9.5,34,3.288396
-11.9,4,3.291277
-11.2,9,3.297569
-14.2,17,3.309106
-20.05,31,3.330883
-13.35,15,3.341276
-10.5,6,3.345876
-10.3,2,3.347294
-13.4,10,3.355289
-10.55,3,3.357768
-14.2,18,3.507945
-13.2,9,3.514678
-10.3,4,3.517467
-10.55,6,3.52177
-10.3,2,3.523177
-14.15,12,3.531503
-13.0,9,3.53776
-10.35,3,3.540026
-11.35,7,3.544921
-11.05,3,3.547211
-11.35,3,3.549492
-11.6,8,3.555203
-28.05,46,3.587713
-12.65,11,3.73407
-12.25,6,3.739132
-10.6,2,3.740634
-0.9,9,3.747534
-11.45,4,3.750293
-10.65,3,3.752403
-10.3,2,3.754325
-18.35,27,3.773424
-10.5,5,3.777026
-15.25,23,3.79347
-10.6,4,3.796666
-14.9,17,3.808476
-11.9,5,3.812143
-10.65,7,3.817147
-10.8,5,3.820775
-13.75,10,3.963458
-13.15,8,3.969143
-10.75,6,3.973593
-11.3,4,3.976364
-1.2,9,3.982808
-12.9,9,3.989653
-1.05,8,3.995552
-14.35,7,4.000427
-11.95,7,4.005659
-16.5,13,4.014882
-10.3,2,4.016227
-11.35,6,4.020735
-14.8,18,4.033431
-12.25,4,4.036192
-11.85,11,4.044012
-13.75,7,4.049245
-13.15,8,4.194207
-12.1,8,4.200237
-15.8,17,4.212379
-10.7,5,4.216041
-1.25,11,4.223943
-10.3,2,4.225346
-10.2,2,4.226871
-10.7,5,4.230527
-10.3,4,4.233233
-10.35,3,4.235315
-4.7,18,4.248363
-12.6,12,4.257193
-12.55,10,4.264354
-10.55,6,4.268531
-11.95,7,4.273976
-10.8,6,4.278679
-10.25,2,4.280085
-11.1,6,4.284327
-10.35,2,4.285691
-10.75,3,4.424273
-10.3,2,4.425771
-12.0,6,4.430181
-14.35,16,4.441773
-22.9,40,4.470973
-14.35,19,4.484382
-10.4,5,4.488098
-11.35,7,4.493058
-14.6,9,4.499623
-10.65,3,4.501661
-11.5,6,4.505911
-10.9,4,4.508764
-11.1,5,4.512658
-11.2,4,4.515392
-10.95,3,4.655372
-11.5,4,4.65833
-12.3,10,4.665929
-10.75,7,4.671174
-11.5,6,4.675635
-12.0,13,4.685096
-11.05,4,4.688453
-13.95,18,4.701492
-11.8,4,4.704563
-11.75,6,4.708768
-10.85,7,4.714017
-3.05,13,4.723306
-13.2,9,4.729998
-10.35,2,4.731434
-14.55,15,4.74202
-10.25,3,4.744156
-12.85,10,4.887442
-10.75,2,4.888932
-11.15,7,4.893887
-11.5,5,4.897731
-10.2,2,4.899057
-13.3,16,4.910727
-11.1,5,4.914473
-11.7,5,4.917959
-14.15,15,4.928924
-10.5,2,4.930536
-11.1,5,4.933969
-10.4,2,4.93558
-10.2,2,4.937127
-14.0,13,4.946434
-11.95,4,4.94909
-11.2,4,4.951993
-17.2,18,4.964936
-13.15,8,4.971182
-11.35,7,4.975978
-12.75,6,5.1164
-10.65,2,5.117751
-11.35,7,5.1232
-10.65,3,5.125515
-14.7,12,5.134235
-0.15,4,5.137509
-15.8,17,5.150751
-13.3,12,5.159588
-12.7,5,5.163451
-11.15,3,5.165752
-13.75,7,5.171126
-10.45,4,5.17424
-11.5,9,5.18109
-10.65,3,5.183182
-13.45,7,5.18885
-10.6,6,5.19318
-15.2,12,5.201718
-12.1,12,5.347814
-13.25,11,5.35572
-12.75,11,5.363582
-10.95,3,5.365609
-1.4,9,5.371968
-12.5,9,5.378309
-12.7,9,5.384858
-12.45,8,5.390763
-1.55,8,5.396781
-11.1,5,5.400181
-12.8,8,5.405862
-1.4,9,5.412494
-12.1,6,5.416831
-11.5,4,5.419563
-13.05,16,5.431664
-11.25,8,5.437462
-11.65,7,5.582943
-11.75,8,5.588791
-11.5,5,5.592174
-14.35,15,5.603326
-11.95,4,5.606208
-11.95,7,5.611152
-16.1,10,5.618408
-10.65,3,5.620761
-12.7,13,5.630019
-11.1,5,5.633589
-12.3,5,5.637577
-10.25,2,5.638958
-10.15,2,5.640305
-11.8,9,5.646915
-10.25,2,5.648653
-10.75,6,5.652921
-12.3,9,5.659872
6.75,20,5.812077
-11.9,5,5.815649
-13.15,10,5.82305
-12.25,6,5.827865
-10.55,3,5.830167
-11.45,10,5.837434
-11.9,9,5.843959
-11.45,7,5.849121
-11.65,7,5.85435
-10.35,3,5.856454
-11.3,5,5.86029
-10.35,2,5.862048
-11.1,6,5.866197
-11.9,12,5.874777
-10.15,3,5.876887
-12.1,5,5.880708
-11.3,5,5.884242
-10.45,2,5.885796
-14.25,8,5.891786
-10.25,3,5.893825
-13.8,9,5.90056
-23.3,33,6.060986
-12.85,7,6.066169
-12.1,8,6.0719
-10.75,3,6.073965
-12.85,6,6.078714
-12.85,7,6.083792
-11.35,4,6.086673
-10.75,6,6.091084
-16.05,12,6.099854
-11.0,5,6.10377
-10.35,3,6.105815
-11.8,4,6.108591
-13.4,9,6.114984
-10.35,2,6.11638
-10.45,2,6.117778
-11.7,5,6.121578
-10.55,3,6.124007
-10.15,3,6.126344
-10.9,4,6.129442
-3.3,13,6.277534
-12.25,7,6.282598
-10.4,2,6.28412
-11.2,5,6.287781
-13.2,22,6.303336
-11.6,9,6.309738
-16.05,12,6.318552
-11.3,9,6.324941
-10.4,2,6.326473
-11.15,3,6.328909
-12.0,6,6.333154
-12.1,8,6.338946
-12.5,6,6.34312
-10.45,2,6.344628
-10.25,3,6.347107
-12.45,8,6.352587
-12.1,8,6.358362
-10.7,5,6.362216
-16.0,16,6.509954
-11.65,7,6.51544
-10.75,4,6.518184
-12.2,8,6.524081
-14.5,10,6.531555
-13.6,10,6.538898
-11.75,6,6.569488
-13.75,11,6.577849
-10.55,2,6.579485
-1.75,10,6.586965
-13.8,9,6.593244
-10.6,5,6.597533
-10.25,2,6.598923
-11.7,5,6.60238
-10.15,2,6.604301
-12.8,8,6.609859
-10.45,2,6.611391
-10.5,6,6.615746
-12.5,5,6.619208
-13.85,11,6.766836
-11.4,5,6.770763
-12.0,6,6.774952
-12.25,6,6.77935
-10.4,5,6.782799
-12.85,7,6.788159
8.35,13,6.797493
-10.25,4,6.800335
-11.2,4,6.803091
-10.35,3,6.805683
-12.5,6,6.809856
-11.15,3,6.812449
-11.0,9,6.818856
-10.35,2,6.820526
-11.9,5,6.824
-12.75,6,6.828748
-11.7,9,6.835139
-12.0,9,6.841738
-11.65,4,6.844536
-11.0,6,6.849225
-10.75,3,6.851321
-14.2,9,6.995623
-10.15,2,6.997012
-11.6,6,7.001467
-11.7,5,7.005321
-14.05,12,7.014243
-11.35,4,7.017022
-13.8,9,7.023747
0.0,2,7.025139
-10.9,4,7.028035
-10.85,7,7.032975
-13.4,9,7.039871
-10.45,3,7.042112
-10.85,3,7.044185
-12.85,7,7.049552
-12.05,8,7.055601
-11.0,6,7.059739
-10.85,3,7.062184
-11.35,4,7.064993
-10.45,3,7.067076
-10.35,3,7.069381
-10.75,6,7.073845
-2.6,9,7.080596
-10.4,2,7.081971
-10.85,3,7.084298
-10.15,2,7.085685
-1.55,6,7.226575
-11.05,3,7.229027
-10.35,2,7.230484
-12.4,9,7.237236
-11.0,4,7.240019
-12.3,12,7.248862
-10.55,3,7.251134
-11.35,7,7.256493
-10.5,2,7.257839
-11.7,5,7.26125
-13.85,8,7.267267
-11.5,6,7.271955
-11.95,7,7.276781
-11.1,5,7.280575
-11.35,8,7.286316
-11.0,5,7.290025
-12.45,8,7.295953
-10.5,2,7.297412
-11.75,7,7.302363
-11.25,3,7.304696
-10.9,4,7.30762
-13.15,8,7.313594
-11.35,4,7.316378
-11.8,5,7.459115
-11.35,8,7.465054
-12.55,7,7.470017
-0.15,4,7.473603
-13.5,8,7.479561
-11.25,6,7.48366
-10.95,3,7.485937
-11.05,7,7.491043
-11.45,3,7.493229
-11.3,5,7.496992
-11.75,7,7.501955
-12.2,9,7.508748
-12.2,9,7.515657
-10.4,2,7.517065
-11.0,6,7.521622
-10.6,4,7.524374
-10.9,5,7.527947
-10.75,6,7.53237
-12.0,9,7.53907
-11.05,4,7.542027
-12.2,9,7.548512
-13.15,8,7.691886
-11.6,9,7.699138
-10.45,3,7.701446
-11.0,8,7.707324
-10.65,3,7.709829
-11.95,7,7.715094
-11.05,3,7.717126
-11.2,9,7.723618
-10.85,3,7.725861
-11.35,3,7.727978
-11.45,7,7.733187
-10.85,3,7.735263
-11.2,4,7.738471
-10.45,2,7.739887
-12.55,7,7.745438
-11.0,6,7.749872
-10.2,2,7.751349
-10.1,2,7.752818
-12.45,8,7.759006
-13.0,9,7.765916
-12.1,9,7.772574
-11.05,7,7.777323
-11.5,6,7.781743
-11.5,9,7.925421
-11.05,4,7.928401
-11.75,6,7.932846
-10.45,4,7.935627
-10.3,2,7.937484
-11.05,7,7.942251
-11.0,6,7.94685
-10.85,3,7.949005
-11.35,4,7.951845
-12.3,9,7.958328
-11.5,4,7.961095
-10.65,3,7.963366
-10.65,3,7.965448
-10.15,3,7.967554
-12.3,9,7.973994
-11.9,5,7.97767
-11.45,3,7.980346
-12.05,8,7.98585
-1.05,8,7.991622
-13.05,12,8.000486
-11.9,8,8.006214
-10.8,5,8.009887
-10.6,4,8.01288
-12.75,11,8.15669
-12.5,6,8.160958
-13.75,7,8.166099
-10.55,3,8.168458
-10.15,2,8.17008
-12.45,8,8.175861
-1.75,8,8.181857
-11.9,5,8.185707
-13.0,9,8.192175
-10.95,8,8.198219
-10.25,2,8.199613
-10.35,3,8.201709
-13.4,9,8.208162
-12.2,8,8.213969
-11.75,6,8.218162
-11.15,3,8.220492
-10.55,2,8.221827
-11.9,5,8.225286
-10.15,2,8.226957
-11.5,5,8.230914
-11.25,6,8.234964
-0.75,7,8.239949
-12.8,8,8.245616
-10.8,5,8.387127
-12.1,8,8.392925
-12.55,7,8.398335
-13.1,13,8.408157
-13.8,9,8.415075
-10.55,4,8.418274
-11.05,7,8.423897
-12.55,7,8.429245
-12.25,7,8.434338
-12.75,8,8.440424
-10.65,3,8.442623
-12.0,6,8.447798
-10.65,3,8.449863
-10.5,2,8.451323
-13.8,9,8.458228
-12.25,7,8.463668
-10.65,3,8.466032
-11.1,5,8.469489
-11.9,5,8.473325
-10.4,2,8.474756
-11.05,3,8.476976
-12.6,9,8.642312
-10.3,4,8.645703
-10.35,2,8.647596
-10.55,4,8.650382
-10.9,4,8.653913
-11.3,6,8.658364
-12.8,8,8.664678
-10.85,3,8.666725
-11.8,6,8.671348
-10.55,3,8.673506
-11.1,5,8.677044
-10.35,2,8.678977
