#{"t_start": 1784203429.0305524, "env_id": "snake-image-v0"}
r,l,t
-3.9,22,0.83562
-20.65,16,0.846844
-14.05,8,0.852483
-17.55,14,0.862304
-10.45,2,0.86376
-10.4,2,0.865095
-14.85,19,0.878732
-10.55,2,0.880099
-5.95,30,0.90236
-15.7,17,1.21061
-13.0,13,1.221148
-17.3,28,1.242896
-10.6,4,1.246157
-3.1,20,1.260096
-11.05,3,1.262324
-24.1,37,1.288406
-12.55,7,1.293084
-10.8,6,1.29775
-17.15,23,1.452271
-10.85,3,1.454652
-11.15,3,1.456699
-22.45,54,1.494809
-34.1,85,1.692116
-11.9,5,1.695673
-13.0,9,1.70178
-10.25,3,1.704106
-13.05,6,1.708151
-12.2,9,1.715002
-11.1,5,1.718537
-14.45,19,1.732318
-18.25,23,1.749221
-10.7,6,1.754017
-14.3,21,1.908228
-10.2,2,1.909649
-10.9,5,1.91342
-15.1,13,1.922783
-11.5,5,1.926349
-13.25,6,1.930602
-13.5,8,1.936109
-13.05,7,1.940952
-20.4,33,1.964384
-11.95,4,1.967047
-20.35,31,1.989357
-0.9,9,2.132947
-13.7,24,2.149817
-11.05,7,2.154639
-14.8,17,2.166217
-13.65,7,2.171411
-11.4,5,2.174799
-4.65,19,2.188447
-12.5,5,2.191857
-11.95,7,2.196796
-10.25,3,2.198839
-11.55,4,2.201528
-10.5,2,2.203175
-16.3,28,2.361065
-12.7,14,2.371252
-10.35,2,2.372642
-24.15,31,2.394816
-11.8,9,2.401185
-15.25,23,2.417691
-10.45,2,2.419108
-13.6,9,2.425473
-18.7,34,2.586867
-10.35,4,2.589581
-14.0,14,2.599777
-10.95,3,2.60197
-14.2,12,2.610876
-15.15,28,2.631014
-2.4,14,2.64072
-10.3,2,2.642161
-10.45,4,2.644985
-14.55,11,2.653179
-13.4,9,2.659368
-11.6,13,2.668472
-15.3,21,2.821683
-13.55,10,2.828846
-10.6,4,2.831716
-13.7,17,2.843608
-12.85,10,2.85075
-11.9,5,2.854532
3.8,14,2.864403
-10.45,4,2.867123
-20.4,21,2.882047
-10.65,3,2.884062
-10.35,3,2.886541
-10.25,3,2.888512
-23.3,36,3.051499
-10.6,6,3.055869
-12.65,7,3.060833
-10.95,6,3.065055
-10.35,2,3.067041
-19.05,28,3.087462
-4.25,24,3.105219
-14.15,16,3.11642
-12.25,11,3.12414
-5.45,12,3.132442
-13.7,14,3.28153
-14.95,12,3.29009
-26.3,33,3.313074
-14.75,14,3.322737
-12.3,6,3.326889
-11.45,7,3.331814
-11.3,5,3.335123
-19.05,24,3.353209
-11.35,7,3.358979
-10.55,3,3.361167
-10.65,2,3.362641
-11.75,8,3.505473
-3.65,12,3.514293
-10.15,3,3.516349
-11.15,3,3.518456
-12.2,5,3.522055
-12.1,6,3.526031
-11.15,4,3.529005
-10.45,3,3.531096
-11.35,7,3.535827
-10.5,2,3.537354
-11.95,4,3.540277
-10.45,4,3.543009
-12.05,11,3.551086
-24.25,34,3.575033
-15.1,13,3.584235
-14.3,14,3.594231
-16.2,13,3.743144
-10.5,5,3.747127
-11.1,6,3.751252
-15.1,22,3.767261
7.1,15,3.778204
-10.6,4,3.780965
-10.8,6,3.785124
-1.75,9,3.791705
-19.5,38,3.818753
-14.65,15,3.965381
-12.0,6,3.969563
-10.75,4,3.972447
-10.95,8,3.978208
-15.25,20,3.992794
-10.95,3,3.995144
-10.25,3,3.997252
-12.3,14,4.007303
-10.7,5,4.010651
-19.2,32,4.03369
-10.3,2,4.035033
-12.1,5,4.038866
-10.8,5,4.042217
-10.9,4,4.045212
-12.55,8,4.050822
-12.3,6,4.194888
-10.7,5,4.198328
-14.55,11,4.206175
-15.25,15,4.216966
-12.55,10,4.224191
-1.4,9,4.230793
-11.7,13,4.239978
-11.05,3,4.242293
-14.5,16,4.253685
-10.45,3,4.25596
-10.3,2,4.257442
-13.15,7,4.262559
-13.45,7,4.267297
-13.4,10,4.27519
-12.35,8,4.281025
-10.75,4,4.283934
-10.5,2,4.285288
-15.7,12,4.430473
-2.95,15,4.441367
-10.1,2,4.442955
-18.25,27,4.462313
-13.75,12,4.471231
-11.45,4,4.47398
-10.6,2,4.475373
-10.35,3,4.477424
-12.3,5,4.481094
-10.25,3,4.483136
-15.2,13,4.492651
-13.45,14,4.502587
-10.45,4,4.505503
-15.9,25,4.661765
-13.8,9,4.668345
-10.9,4,4.671593
-10.5,2,4.673012
-12.25,4,4.67595
-14.2,9,4.682549
-10.1,2,4.683961
-10.45,3,4.686573
-10.55,2,4.688049
-12.1,8,4.69385
-16.9,14,4.704154
-14.05,19,4.717789
-14.85,14,4.728219
-12.5,6,4.732381
-12.1,8,4.738085
-12.0,6,4.742379
-11.25,6,4.746771
-11.2,5,4.88582
-10.4,2,4.887783
-10.3,2,4.889225
-10.35,2,4.89066
-11.05,3,4.892628
-10.6,2,4.894156
-13.75,7,4.899328
-11.45,7,4.904536
-11.75,8,4.91032
-11.75,6,4.914813
-11.15,4,4.917551
-11.95,4,4.920558
-16.65,23,4.937433
-10.45,2,4.938807
-12.1,8,4.944515
-12.25,6,4.948684
-10.25,2,4.950159
-12.05,6,4.95454
-11.2,9,4.960876
-2.5,10,4.96826
-11.4,5,4.972079
-11.05,7,5.113088
-16.25,11,5.121087
-11.35,7,5.126517
-10.6,4,5.129745
-11.2,9,5.135969
-10.55,4,5.13933
-11.6,5,5.143648
-10.65,3,5.146103
-12.3,5,5.149592
-12.1,9,5.156155
-11.25,3,5.158362
-10.75,3,5.16056
-10.3,2,5.162336
-11.85,8,5.16811
-11.3,5,5.172381
-17.9,17,5.185354
-16.45,24,5.202864
-13.75,11,5.348062
-13.8,14,5.357976
-0.3,5,5.361747
-11.4,8,5.367229
-10.3,4,5.370131
-11.5,5,5.373672
-12.85,7,5.378742
-10.55,3,5.380954
-11.0,6,5.385133
-10.55,3,5.387657
-13.45,7,5.392328
-13.0,9,5.399061
-10.75,3,5.401177
-13.15,8,5.406815
-13.85,7,5.412103
-11.65,10,5.419155
-13.25,12,5.428479
-10.65,3,5.430562
-10.45,3,5.432642
-11.75,6,5.437054
-14.55,8,5.583193
-3.0,13,5.592493
-15.7,13,5.601961
-13.85,14,5.612399
-10.5,5,5.615839
-0.75,7,5.621037
-14.55,8,5.626524
-10.55,3,5.6289
-11.75,6,5.633182
-13.75,10,5.640589
-12.7,9,5.647294
-12.8,14,5.65787
-14.6,9,5.665
-2.25,8,5.670711
-12.0,9,5.814504
-12.3,9,5.821227
-10.7,5,5.825107
-13.7,10,5.832707
-10.3,4,5.835472
-12.1,8,5.841468
-10.5,2,5.84284
-11.35,4,5.845935
-13.35,11,5.853943
-10.55,3,5.856045
-13.7,9,5.863025
-11.7,5,5.866483
-13.6,10,5.873651
-15.4,13,5.882953
-10.45,3,5.885377
-11.7,8,5.891381
-11.3,5,5.895354
-10.6,5,5.898805
-11.8,4,5.901757
-12.85,11,6.046453
-11.95,7,6.051266
-10.35,3,6.053478
-12.0,8,6.059137
-14.6,9,6.065761
-11.25,3,6.067956
-12.75,8,6.073556
-12.4,8,6.079748
-10.2,2,6.081147
-11.9,5,6.08472
-10.5,2,6.086266
-12.25,6,6.090675
-10.6,2,6.092085
-12.35,12,6.10082
-12.9,9,6.107485
-12.2,9,6.113867
-10.8,5,6.117369
-13.0,9,6.124428
-10.25,4,6.127283
-11.05,3,6.12972
-10.25,2,6.131203
-12.25,7,6.274755
-11.7,8,6.280794
-10.75,3,6.282895
-10.75,4,6.285727
-13.15,10,6.292997
-11.05,4,6.2959
-14.15,11,6.303752
-13.4,9,6.309983
-13.3,13,6.319588
-12.55,7,6.324524
-11.75,8,6.33058
-11.4,10,6.337797
-10.75,3,6.339929
-10.45,3,6.341957
-11.3,5,6.345957
-16.55,15,6.356566
-12.25,7,6.361809
-12.0,6,6.501925
-10.75,3,6.504434
-11.85,8,6.510214
-12.8,10,6.517777
-14.05,14,6.528322
-10.5,5,6.531839
-10.15,3,6.534078
-10.5,5,6.537747
-10.15,2,6.539167
-10.55,4,6.568323
-11.05,4,6.571429
-12.1,8,6.577442
-12.55,11,6.585492
-11.15,3,6.5879
-13.8,9,6.594215
-13.05,12,6.603883
-11.2,4,6.60662
-0.3,4,6.609452
-10.6,2,6.610999
-10.6,2,6.612526
-10.15,3,6.614626
-13.25,11,6.622452
-15.05,15,6.773091
-10.5,2,6.774544
-12.1,8,6.780367
-10.85,3,6.782407
-11.15,3,6.784659
-12.3,5,6.788443
-10.85,6,6.792708
-11.15,3,6.794974
-11.85,6,6.799216
-0.7,4,6.801968
-10.9,5,6.805952
-10.35,2,6.807349
-10.25,2,6.808733
-13.45,10,6.816186
-13.15,7,6.821498
-11.35,4,6.824325
-10.85,3,6.826648
-11.5,8,6.83268
-10.35,2,6.834008
-10.9,4,6.837077
-12.4,8,6.842731
-15.4,10,6.850176
-11.7,9,6.994242
-10.85,7,6.999627
-10.35,2,7.001073
-12.75,6,7.005612
-11.3,8,7.011312
-11.55,6,7.015904
-13.45,7,7.021234
-13.8,9,7.027627
-12.6,9,7.034152
-11.05,7,7.039462
-12.75,8,7.045446
-10.65,2,7.046828
-10.85,7,7.051949
-2.1,10,7.05933
-10.45,2,7.060682
-11.75,8,7.066669
-13.85,8,7.072698
-11.5,6,7.077083
-12.1,8,7.083146
-11.35,7,7.088199
-11.05,7,7.230077
-11.05,4,7.232896
-13.6,8,7.238857
-10.6,5,7.242339
-10.4,2,7.243977
-10.85,7,7.249276
-13.7,12,7.258091
-13.8,9,7.264774
-10.95,3,7.266858
-10.35,2,7.26826
-12.9,9,7.274951
-11.7,9,7.281563
-11.15,7,7.286814
-10.7,5,7.290279
-11.1,5,7.293853
-12.5,13,7.303509
-11.35,4,7.306502
-0.6,6,7.310698
-14.6,10,7.318045
-15.4,10,7.464648
-10.85,7,7.469609
-13.0,6,7.474596
-13.0,12,7.483253
-10.9,8,7.489212
-12.35,8,7.495144
-1.4,6,7.499449
-11.35,4,7.502192
-11.05,4,7.505326
-0.9,7,7.510391
-13.55,12,7.519359
-11.35,7,7.524625
-11.85,6,7.529213
-11.3,5,7.53266
-11.0,8,7.538662
-11.9,10,7.546026
-11.25,6,7.550186
-12.7,8,7.693877
-12.7,5,7.697907
-11.5,8,7.704052
-10.85,3,7.706192
-10.45,2,7.70792
-11.05,7,7.713135
-11.65,8,7.718844
-10.75,4,7.721798
-10.95,3,7.724002
-2.65,12,7.732778
-12.0,6,7.737352
-11.3,8,7.743258
-10.45,4,7.746369
-10.55,2,7.74778
-10.35,3,7.75013
-11.9,5,7.754001
-10.75,3,7.756555
-10.9,5,7.759976
-10.65,3,7.762397
-11.05,7,7.767542
-11.3,5,7.771435
-12.2,8,7.776916
-10.75,3,7.77919
-11.65,4,7.782018
-11.15,3,7.784236
-10.5,2,7.785628
-11.35,7,7.927994
-11.15,3,7.930252
-11.5,6,7.934462
-11.35,4,7.937796
-11.35,8,7.943202
-11.1,5,7.947181
-10.5,5,7.950653
-11.95,7,7.955777
-11.3,5,7.959262
-3.2,9,7.96577
-13.0,9,7.972228
-10.75,7,7.977281
-12.05,7,7.982646
-10.45,2,7.984063
-14.6,9,7.9905
-11.75,7,7.995878
-11.5,5,7.999299
-10.25,3,8.001467
-10.1,2,8.002956
-12.45,8,8.008698
-15.45,18,8.157692
-13.05,8,8.163589
-0.5,6,8.168052
-10.4,2,8.169673
-14.0,9,8.176159
-12.3,5,8.179827
-11.1,5,8.183837
-10.7,5,8.187654
-11.1,5,8.191049
-10.9,8,8.197101
-11.35,7,8.20201
-13.15,8,8.207759
-12.45,8,8.213552
-11.7,5,8.217041
-13.5,8,8.2228
-12.3,5,8.226549
-10.9,4,8.229768
-11.05,7,8.234555
-1.3,8,8.24022
-11.4,8,8.38346
0.0,2,8.384926
-10.75,4,8.388134
-13.4,8,8.39389
9.45,8,8.399969
-10.3,4,8.403098
-12.3,9,8.410054
-11.9,10,8.417866
-11.05,7,8.423491
-10.45,3,8.425524
-10.45,3,8.427618
-1.15,8,8.433932
-10.45,3,8.436059
-11.2,5,8.440036
-10.7,2,8.441491
-0.15,4,8.444978
-11.0,5,8.448733
-11.95,7,8.454177
-10.25,3,8.456333
-13.1,9,8.463281
-11.1,5,8.466984
-10.25,3,8.469072
-10.75,6,8.47361
-12.25,6,8.478519
-10.5,2,8.480073
-11.7,9,8.645308
-11.9,9,8.652066
-10.25,3,8.655075
-11.5,5,8.658645
-11.75,6,8.663506
-10.5,2,8.66493
-13.15,8,8.670941
-13.45,7,8.675881
-11.05,3,8.678569
-11.5,8,8.684154
-12.85,10,8.691903
-11.35,8,8.698202
-11.65,8,8.70529
-11.35,8,8.712462
-12.2,10,8.720658
-10.55,2,8.722378
-10.6,4,8.725355
-10.35,2,8.727123
-10.7,2,8.729315
-11.7,5,8.734248
-10.25,2,8.736134
-11.5,4,8.739742
-12.1,8,8.886593
-11.0,8,8.892392
-12.0,6,8.897384
-12.0,9,8.9041
-11.1,5,8.907649
-10.75,4,8.910673
-11.35,4,8.913966
-11.65,4,8.916772
-13.15,7,8.922182
-13.05,8,8.92788
-11.8,9,8.934733
-11.3,5,8.939051
-11.45,11,8.947226
-10.25,3,8.949354
-10.6,6,8.954118
-11.0,6,8.958463
-12.8,8,8.964501
-10.2,2,8.966189
-11.95,7,8.971412
-11.35,7,8.976422
-12.25,7,9.123213
-11.7,5,9.127134
-12.2,8,9.133532
-11.9,5,9.137579
-10.7,4,9.140851
-15.0,9,9.147736
-12.0,6,9.152153
-10.85,7,9.157815
-12.1,8,9.16409
-12.55,7,9.169224
-12.25,6,9.174466
-11.35,8,9.182099
-10.5,2,9.183482
-12.35,6,9.188646
-11.6,9,9.196111
-11.75,8,9.201825
-10.6,4,9.20507
-10.85,3,9.207215
-10.45,2,9.208747
-12.2,9,9.215665
-10.55,2,9.217016
-12.3,5,9.221005
-10.75,3,9.223267
-11.05,6,9.389521
-10.45,4,9.39256
-11.15,3,9.395905
-12.85,7,9.401177
-10.4,2,9.402602
-12.8,8,9.409318
-11.5,5,9.413786
-12.55,8,9.420228
-12.45,8,9.426559
-10.85,3,9.42886
-10.85,3,9.431371
-12.1,4,9.434154
-10.45,4,9.437433
-10.9,4,9.440513
-12.8,8,9.446971
-11.05,4,9.44977
-12.45,8,9.456354
-0.8,8,9.462908
-10.2,2,9.464314
-10.6,4,9.467336
-0.5,6,9.471872
-11.0,4,9.474981
-13.8,9,9.48238
-11.0,6,9.487012
-11.05,4,9.639929
-11.15,8,9.646322
-10.25,3,9.6484
-10.5,2,9.649873
-11.2,4,9.653027
-11.8,4,9.65594
-10.4,2,9.657356
-11.85,8,9.663544
-11.1,5,9.666988
-11.05,3,9.669553
-10.7,5,9.67307
-10.55,2,9.674713
-10.6,4,9.677947
-10.2,2,9.679456
-0.3,5,9.683324
-12.6,9,9.690178
-10.65,2,9.691643
-12.9,8,9.697793
-12.45,8,9.703901
-10.65,3,9.705981
-10.65,3,9.708074
-10.5,2,9.709546
-12.1,9,9.71666
-10.85,4,9.719853
-12.45,8,9.72608
-10.65,2,9.727926
-11.25,6,9.732331
-10.65,2,9.733743
-11.5,5,9.87781
-11.2,9,9.884554
-12.45,8,9.890803
-12.55,7,9.895878
-12.5,6,9.900165
-12.45,8,9.906376
-11.95,4,9.909224
-13.0,9,9.916126
-14.05,7,9.921708
-10.35,2,9.923907
-12.5,6,9.929275
-11.7,5,9.93288
-12.1,6,9.937522
-10.3,2,9.939162
-12.35,10,9.946709
-11.75,8,9.952326
-14.2,8,9.958156
-11.65,7,9.963707
-13.0,13,10.109925
-10.85,7,10.115304
-10.35,2,10.116693
-11.25,6,10.121236
-11.7,5,10.124684
-10.5,2,10.126078
-10.6,2,10.127737
-11.5,6,10.131885
-10.9,4,10.134891
-10.85,6,10.139309
-10.45,2,10.140662
-11.35,4,10.143458
-11.0,8,10.149395
-13.25,8,10.155947
-10.4,2,10.15739
-12.85,7,10.16279
-10.55,3,10.164903
-15.25,15,10.176056
-10.85,3,10.178492
-12.0,9,10.184906
-12.3,9,10.192042
-10.9,4,10.195313
-10.35,2,10.196793
