#{"t_start": 1784226815.7651827, "env_id": "snake-v0"}
r,l,t
-10.11,12,0.772032
-10.24,25,0.975802
-10.12,13,1.0138
-10.04,5,1.017534
-10.02,3,1.020107
-10.07,8,1.054021
-10.2,21,1.098016
-10.02,3,1.100351
-10.03,4,1.103605
-10.02,3,1.134957
-10.19,20,1.179733
-10.13,14,1.219111
-10.31,32,1.299556
-10.04,5,1.303433
-10.33,34,1.385216
-10.55,56,1.547243
-10.09,10,1.555733
-10.03,4,1.55864
-0.01,3,1.591423
-10.32,33,1.675547
-10.24,25,1.725365
-10.29,30,1.805978
-11.14,115,2.098847
-10.14,15,2.141599
-10.64,65,2.315206
-12.0,201,2.841034
-11.36,137,3.186668
-10.28,29,3.264309
-2.1,212,3.848549
-2.32,234,4.43352
-12.0,201,5.313272
8.92,111,5.592936
-1.77,179,6.043375
-12.0,201,6.54664
-12.0,201,7.076739
19.53,51,7.200335
-0.27,29,7.279021
-12.0,201,7.823684
-1.23,125,8.120872
-12.0,201,8.638939
-12.0,201,9.123048
-2.28,230,10.054262
-12.0,201,10.54667
-0.36,38,10.657889
6.69,334,11.506506
-10.77,78,11.70347
-12.0,201,12.197481
-12.0,201,12.720745
-10.47,48,12.8407
-12.0,201,13.328736
18.77,127,13.988111
-11.94,195,14.469548
7.01,302,15.22805
-12.0,201,15.748541
-12.0,201,16.234534
-12.0,201,16.749976
7.45,258,17.391958
-10.07,8,17.426283
-12.0,201,18.248069
-12.0,201,18.758823
18.01,203,19.24868
-12.0,201,19.762937
-12.0,201,20.250242
-12.0,201,20.765804
-3.63,365,21.686103
-12.0,201,22.458346
-12.0,201,22.972537
-10.09,10,23.008284
19.53,51,23.130497
-12.0,201,23.63006
-1.61,163,24.082476
8.86,117,24.368581
9.59,44,24.487157
-12.0,201,24.980055
-0.6,62,25.141125
-2.47,249,25.783968
-11.86,187,26.233186
-12.0,201,27.029977
7.63,240,27.626056
7.44,259,28.269477
-10.31,32,28.349606
-10.15,16,28.389895
-10.14,15,28.42984
18.72,132,28.752507
-2.05,207,29.267717
-2.28,230,29.859888
-12.0,201,30.348989
19.0,104,30.976883
9.15,88,31.196019
-10.51,52,31.325369
17.77,227,31.917499
8.47,156,32.28823
18.33,171,32.722751
-12.0,201,33.237265
-12.0,201,33.723333
-10.25,26,33.798369
-0.14,16,33.838465
6.95,308,34.602063
-12.0,201,35.488189
-2.15,217,36.013829
-10.17,18,36.056072
-12.0,201,36.569425
-10.09,10,36.576816
-12.0,201,37.093842
-10.02,3,37.096446
-2.68,270,37.776624
19.72,32,37.856918
-2.24,226,38.427274
-3.04,306,39.53617
-12.0,201,40.050705
19.62,42,40.138703
-11.1,111,40.418334
19.69,35,40.528956
-10.29,30,40.579489
-12.0,201,41.09657
