#{"t_start": 1784226815.7642045, "env_id": "snake-v0"}
r,l,t
-10.12,13,0.773719
-10.19,20,0.973755
-10.09,10,0.981705
-10.02,3,0.98395
-10.08,9,1.018431
-10.45,46,1.139573
-10.13,14,1.179119
-10.12,13,1.189233
-10.18,19,1.260168
-10.32,33,1.341093
-10.05,6,1.345858
-0.19,21,1.390043
-10.11,12,1.426544
-10.28,29,1.509264
-10.17,18,1.555006
-10.35,36,1.64222
-10.05,6,1.676457
-10.56,57,1.808475
-10.23,24,1.882149
-10.03,4,1.885278
-10.41,42,2.005805
-10.2,21,2.050764
-10.06,7,2.056598
-0.17,19,2.133721
-2.19,221,2.685857
-12.0,201,3.221897
7.81,222,3.812658
-2.39,241,4.431535
-1.03,105,4.683725
-12.0,201,5.558567
-10.02,3,5.560967
-2.46,248,6.216432
19.19,85,6.422037
19.33,71,6.588372
-10.23,24,6.661869
19.15,89,6.905541
-11.43,144,7.274304
-12.0,201,7.790552
-12.0,201,8.315189
-12.0,201,8.804373
-12.0,201,9.655255
-2.32,234,10.222242
-2.44,246,10.867273
-10.53,54,10.991688
-12.0,201,11.508216
-12.0,201,12.000587
5.51,452,13.160691
-2.68,270,14.151422
-12.0,201,14.665057
-12.0,201,15.181298
-2.02,204,15.675133
-12.0,201,16.189758
-10.28,29,16.267574
6.71,332,17.076713
-12.0,201,17.590157
-0.63,65,17.75087
7.35,268,18.761425
6.48,355,19.64515
-12.0,201,20.159562
18.55,149,20.524689
-10.52,53,20.648546
17.82,222,21.208694
8.58,145,21.570219
-12.0,201,22.369845
9.03,100,22.613634
19.28,76,22.809679
-3.47,349,23.677125
-2.09,211,24.246968
-10.25,26,24.294911
-12.0,201,24.814035
-10.22,23,24.860128
-12.0,201,25.384247
-2.18,220,25.945125
-12.0,201,26.715774
18.47,157,27.111692
-11.75,176,27.548443
19.28,76,27.745979
19.16,88,27.952842
7.61,242,28.556241
-12.0,201,29.067113
-2.17,219,29.623563
-2.02,204,30.110884
-11.31,132,30.464351
-2.21,223,31.395416
19.21,83,31.599045
-2.73,275,32.284435
-11.39,140,32.639671
-12.0,201,33.126278
17.84,220,33.683005
-1.02,104,33.929876
-2.09,211,34.480294
-2.51,253,35.459829
28.32,173,35.896614
8.59,144,36.257541
-12.0,201,36.772718
-12.0,201,37.259924
-12.0,201,37.776823
-12.0,201,38.298707
-2.06,208,38.819285
19.5,54,38.943956
-12.0,201,39.779843
18.63,141,40.137333
-11.03,104,40.411725
17.57,247,41.019124
-12.0,201,41.533805
-12.0,201,42.02395
-10.61,62,42.182793
-11.53,154,42.594561
17.6,244,43.217369
-2.31,233,44.084768
-2.77,279,44.767678
-2.5,252,45.401214
-12.0,201,45.888636
9.39,64,46.049692
18.69,135,46.411191
-10.17,18,46.453445
-10.24,25,46.530358
-12.0,201,47.038722
-12.0,201,47.839276
-10.1,11,47.848527
18.4,164,48.298266
19.45,59,48.425616
-10.11,12,48.463561
-11.2,121,48.779295
-12.0,201,49.283198
-12.0,201,49.821556
-2.46,248,50.447532
-12.0,201,50.974522
-12.0,201,51.495283
-0.21,23,51.568611
7.37,266,52.593568
7.06,297,53.354437
18.23,181,53.80677
19.05,99,54.05066
6.83,320,54.850728
-10.61,62,55.009842
-12.0,201,55.522319
28.67,138,55.877086
-10.74,75,56.045555
-2.02,204,56.871453
-12.0,201,57.387945
-12.0,201,57.875201
-10.32,33,57.95642
18.38,166,58.391432
-2.33,235,58.957189
19.32,72,59.153492
19.16,88,59.360168
-12.0,201,59.877359
-12.0,201,60.60751
18.96,108,60.884962
-11.56,157,61.28295
18.81,123,61.600338
-12.0,201,62.089941
18.55,149,62.450846
-10.61,62,62.60799
18.74,130,62.929133
-10.29,30,63.007799
-10.14,15,63.045593
18.43,161,63.446666
-12.0,201,63.961096
-12.0,201,64.457864
-2.17,219,65.357178
28.78,127,65.67667
-0.12,14,65.715207
-10.27,28,65.791418
-12.0,201,66.277848
-12.0,201,66.792238
18.31,173,67.236635
19.41,63,67.395588
-12.0,201,67.886008
-11.54,155,68.283771
7.64,239,69.08111
-11.4,141,69.438182
-12.0,201,69.924675
7.68,235,70.522009
-1.99,201,71.008999
19.51,53,71.16193
17.12,292,71.883394
19.27,77,72.083137
28.2,185,72.528821
28.8,125,72.850018
-12.0,201,73.739399
17.7,234,74.307005
-1.99,201,74.824171
28.24,181,75.271761
19.23,81,75.475559
38.74,132,75.825144
7.3,273,76.509187
9.11,92,76.722708
19.39,65,76.883551
-12.0,201,77.702979
7.73,230,78.270528
18.7,134,78.624614
28.24,181,79.068121
29.44,61,79.225667
-3.67,369,80.146391
-10.27,28,80.224442
28.86,119,80.510283
17.23,281,81.22344
-10.07,8,81.229394
19.15,89,81.797861
19.57,47,81.917691
-2.97,299,82.648596
-2.61,263,83.321023
19.27,77,83.519636
18.35,169,83.924709
-12.0,201,84.439632
-2.06,208,84.95997
-11.53,154,85.327369
17.94,210,86.155787
-10.15,16,86.195889
-2.63,265,86.871703
-2.01,203,87.391533
18.52,152,87.7591
19.02,102,88.031556
36.93,313,88.799215
19.54,50,88.919428
19.09,95,89.159394
19.61,43,89.275667
-12.0,201,89.763545
-10.15,16,89.803513
17.05,299,90.774028
28.34,171,91.210799
18.69,135,91.540007
19.06,98,91.78106
29.46,59,91.936
17.42,262,92.592299
-12.0,201,93.103805
-12.0,201,93.618401
7.1,293,94.664219
39.01,105,94.911076
-12.0,201,95.427591
19.11,93,95.667558
28.67,138,95.993876
17.76,228,96.586028
7.58,245,97.190463
7.72,231,97.760967
6.47,356,98.996123
-10.96,97,99.238893
18.56,148,99.599566
-0.4,42,99.715173
38.97,109,99.966449
29.28,77,100.163688
19.04,100,100.43346
-10.4,41,100.519728
-2.95,297,101.274658
-2.0,202,101.769605
7.0,303,102.783928
19.36,68,102.959129
9.39,64,103.118352
29.23,82,103.349697
-12.0,201,103.848975
28.89,116,104.142185
18.73,131,104.493738
-12.0,201,105.000475
-12.0,201,105.516441
-0.41,43,105.604008
27.36,269,106.280281
28.31,174,106.955012
-0.33,35,107.037556
-0.94,96,107.279136
19.29,75,107.476227
38.07,199,107.963176
-1.07,109,108.241338
-0.27,29,108.319474
-10.13,14,108.357495
18.56,148,108.72146
-2.16,218,109.278039
17.5,254,109.919629
17.35,269,110.570744
19.21,83,110.800268
-2.25,227,111.764063
-12.0,201,112.254714
19.31,73,112.449987
37.03,303,113.214311
19.05,99,113.456754
7.21,282,114.170246
-12.0,201,114.656477
-2.62,264,115.685241
16.37,367,116.605255
-10.18,19,116.64832
19.56,48,116.769373
7.36,267,117.449582
17.65,239,118.058378
18.49,155,118.430359
46.44,363,119.349554
-0.82,84,119.818299
28.62,143,120.179144
39.08,98,120.419934
38.73,133,120.772413
-12.0,201,121.264481
18.79,125,121.584968
7.37,266,122.262688
29.3,75,122.432811
19.31,73,122.626913
9.42,61,122.78629
19.73,31,122.865522
19.46,58,122.993412
29.45,60,123.151801
19.34,70,123.316111
18.38,166,124.096928
-12.0,201,124.58355
19.21,83,124.785924
-12.0,201,125.302413
-2.31,233,125.895121
18.71,133,126.219565
-12.0,201,126.706993
-12.0,201,127.223167
19.48,56,127.348892
-12.0,201,127.86837
-12.0,201,128.727481
-1.55,157,129.095752
-0.33,35,129.206923
-11.36,137,129.533104
-2.32,234,130.131054
-0.6,62,130.289005
7.35,268,130.939955
38.28,178,131.416461
7.62,241,132.022401
-0.61,63,132.553713
-10.08,9,132.560458
19.23,81,132.761017
96.96,316,133.561395
39.44,62,133.721068
36.57,349,134.604663
28.86,119,134.890575
-10.16,17,134.931525
19.29,75,135.127681
7.86,217,135.655792
-2.36,238,136.25719
27.89,216,137.136992
-12.0,201,137.62518
57.37,271,138.305696
7.84,219,138.860858
95.91,421,139.908602
47.71,236,140.51337
19.12,92,141.155643
-12.0,201,141.66674
-10.34,35,141.749363
27.28,277,142.461371
18.24,180,142.905277
18.81,123,143.221561
57.22,286,143.94361
67.35,274,144.629929
17.16,288,145.726944
77.11,299,146.457113
19.77,27,146.533601
28.13,192,147.015923
77.9,220,147.576215
16.97,307,148.34227
37.21,285,149.058007
26.52,353,150.349017
87.72,239,150.951349
7.88,215,151.475723
7.27,276,152.193079
7.68,235,152.763845
