#{"t_start": 1784226815.7635036, "env_id": "snake-v0"}
r,l,t
-10.06,7,0.769588
-10.22,23,0.943276
-10.56,57,1.099606
-10.32,33,1.183667
-10.09,10,1.219538
-10.04,5,1.223863
-10.03,4,1.22687
-10.11,12,1.264287
-10.02,3,1.266655
-10.01,2,1.268162
-10.03,4,1.271526
9.72,31,1.35037
-10.1,11,1.386809
-10.23,24,1.460174
-0.78,80,1.675637
-10.18,19,1.721148
-0.34,36,1.805648
-10.1,11,1.841947
-10.03,4,1.844885
-12.0,201,2.389358
-0.14,16,2.43177
-1.99,201,2.930534
-3.71,373,3.901265
-1.26,128,4.232472
-11.55,156,4.640097
-1.41,143,5.359127
-2.1,212,5.882021
9.25,78,6.094246
-1.21,123,6.421235
-12.0,201,6.918299
-11.98,199,7.441091
7.67,236,8.073105
-2.1,212,8.600383
-12.0,201,9.085082
-10.3,31,9.164398
-2.12,214,10.055073
-0.2,22,10.099365
-0.32,34,10.180909
-0.63,65,10.343215
-11.7,171,10.78403
-10.24,25,10.86577
18.49,155,11.234071
6.19,384,12.201239
7.58,245,12.84141
-2.08,210,13.363805
-12.0,201,14.19038
-3.93,395,15.187294
-12.0,201,15.707244
-12.0,201,16.193379
-11.01,102,16.439455
-10.18,19,16.508619
-10.14,15,16.547981
-10.71,72,16.714473
7.51,252,17.349665
17.22,282,18.373006
-12.0,201,18.884884
-2.39,241,19.488383
-10.92,93,19.724371
-12.0,201,20.21154
-12.0,201,20.727525
19.21,83,20.930092
6.71,332,21.767849
-2.24,226,22.616464
-10.07,8,22.649777
-2.03,205,23.1397
-12.0,201,23.670715
18.77,127,24.007288
-2.85,287,24.732108
-10.27,28,24.811181
-2.36,238,25.392615
-12.0,201,25.910685
-12.0,201,26.709617
18.67,137,27.035163
-12.0,201,27.546168
-12.0,201,28.034203
-2.05,207,28.555403
-10.39,40,28.668368
6.99,304,29.424156
18.93,111,29.705172
-11.56,157,30.072795
16.85,319,31.245833
9.45,58,31.402236
-12.0,201,31.919899
-10.19,20,31.963578
-10.22,23,32.008387
18.23,181,32.480304
-12.0,201,32.966547
19.0,104,33.240383
-12.0,201,33.726398
29.34,71,33.920664
-0.3,32,33.999703
6.99,304,35.130371
-2.97,299,35.857537
-12.0,201,36.374219
7.4,263,37.019342
-12.0,201,37.534693
18.48,156,37.934505
-10.2,21,37.978078
-10.07,8,37.984388
-10.26,27,38.060794
-12.0,201,38.583205
19.17,87,38.787442
-12.0,201,39.650869
-2.63,265,40.29863
-12.0,201,40.814132
-12.0,201,41.301787
-10.23,24,41.376721
-2.25,227,41.941278
7.57,246,42.563084
-2.88,290,43.332305
18.15,189,44.053878
-0.22,24,44.127475
-10.35,36,44.2117
9.74,29,44.290064
19.01,103,44.535986
7.04,299,45.286814
-11.24,125,45.603406
17.38,266,46.284726
-10.29,30,46.336351
-12.0,201,46.871418
-12.0,201,47.393739
19.75,29,47.443476
19.51,53,47.884004
-2.43,245,48.50267
-10.08,9,48.537556
-12.0,201,49.036099
-0.55,57,49.195281
-12.0,201,49.70611
-12.0,201,50.235424
-12.0,201,50.734019
-12.0,201,51.285208
-2.18,220,51.851492
-12.0,201,52.716351
-11.04,105,52.993343
-10.42,43,53.081591
-12.0,201,53.600863
7.29,274,54.286951
-12.0,201,54.802349
-10.09,10,54.810002
18.77,127,55.130363
7.88,215,55.679689
19.39,65,55.840792
-12.0,201,56.63487
-12.0,201,57.153357
-11.56,157,57.551402
19.29,75,57.720255
29.41,64,57.879503
7.49,254,58.519
-2.29,231,59.114082
19.42,62,59.273138
16.95,309,60.041488
-2.62,264,60.92954
-12.0,201,61.444772
-2.11,213,61.96814
7.31,272,62.648244
18.77,127,62.967458
-10.46,47,63.085855
28.9,115,63.368352
18.6,144,63.725867
-0.39,41,63.841063
-11.5,151,64.215816
27.1,295,65.311065
7.67,236,65.910248
8.53,150,66.274168
19.3,74,66.469772
19.41,63,66.600677
28.75,130,66.950088
-0.35,37,67.034182
19.29,75,67.236378
38.91,115,67.520742
9.55,48,67.641619
9.44,59,67.769736
-10.1,11,67.805926
28.6,145,68.169537
18.18,186,68.643094
-2.34,236,69.438823
28.75,130,69.760581
-2.03,205,70.279194
-10.16,17,70.319682
19.66,38,70.403937
19.49,55,70.529331
-12.0,201,71.044516
19.62,42,71.16114
9.45,58,71.289979
19.27,77,71.484795
28.28,177,71.926198
28.63,142,72.285824
9.03,100,72.528031
8.84,119,72.844414
18.74,130,73.541148
18.57,147,73.902761
19.48,56,74.028552
-10.98,99,74.299388
-12.0,201,74.788469
28.57,148,75.150149
-2.15,217,75.711891
-2.34,236,76.312104
-12.0,201,76.803193
7.88,215,77.661973
-12.0,201,78.14764
7.65,238,78.7515
-0.12,14,78.789539
-10.14,15,78.828662
-12.0,201,79.343642
18.63,141,79.675699
18.9,114,79.984256
-12.0,201,80.469897
18.47,157,80.869434
18.06,198,81.352659
38.7,136,82.03981
19.22,82,82.242025
-10.85,86,82.449049
19.65,39,82.562516
-12.0,201,83.048591
17.73,231,83.642194
29.31,74,83.80802
-3.92,394,84.803964
-12.0,201,85.318308
7.73,230,86.189796
19.41,63,86.3487
19.06,98,86.590408
18.08,196,87.075253
-2.2,222,87.638126
19.12,92,87.875675
18.25,179,88.316489
17.8,224,88.877716
7.5,253,89.517209
-12.0,201,90.213261
-10.68,69,90.405758
7.87,216,90.935453
-10.33,34,91.016334
-0.41,43,91.13327
18.85,119,91.420969
-12.0,201,91.935918
-1.86,188,92.423373
38.85,121,92.710849
19.39,65,92.871654
-10.67,68,93.060453
18.0,204,93.548276
19.43,61,93.706758
39.32,74,93.902246
-10.14,15,93.941023
6.35,368,95.184846
9.03,100,95.428229
19.29,75,95.627178
-10.11,12,95.636233
38.65,141,95.992355
19.54,50,96.114754
17.4,264,96.789979
-11.18,119,97.075144
19.42,62,97.234207
-10.43,44,97.352292
18.73,131,97.67801
18.6,144,98.04073
-12.0,201,98.875669
-12.0,201,99.365767
-12.0,201,99.879522
-0.38,40,99.965281
27.96,209,100.484089
7.57,246,101.115934
-11.8,181,101.5624
19.21,83,101.770246
19.55,49,101.895597
29.25,80,102.100679
-12.0,201,102.866534
29.3,75,103.068307
-2.22,224,103.633612
9.08,95,103.883051
-1.87,189,104.342783
17.25,279,105.076656
8.91,112,105.358067
18.88,116,105.639374
37.64,242,106.239415
19.0,104,106.520437
-2.29,231,107.31787
7.47,256,107.960254
-0.6,62,108.119494
-10.11,12,108.155938
-2.22,224,108.717005
19.4,64,108.876783
38.51,155,109.245679
19.08,96,109.486496
17.91,213,110.041327
-10.47,48,110.160301
-2.16,218,110.688993
18.6,144,111.452648
18.4,164,111.883478
9.38,65,112.043707
7.83,220,112.57769
17.76,228,113.17226
-0.57,59,113.299631
18.84,120,113.614816
-10.02,3,113.617377
19.64,40,113.730184
18.66,138,114.057115
57.24,284,114.771767
-12.0,201,115.612768
58.01,207,116.134596
19.08,96,116.37511
-2.28,230,116.971112
7.64,239,117.571651
38.3,176,118.022063
-2.48,250,118.633291
27.44,261,119.307422
29.11,94,119.811162
-10.08,9,119.81808
-12.0,201,120.334203
19.16,88,120.538632
7.83,220,121.102017
9.62,41,121.18972
18.12,192,121.671952
19.62,42,121.789196
19.42,62,121.946087
-10.14,15,121.986367
-0.07,9,121.993207
19.46,58,122.149386
48.67,140,122.508954
28.98,107,122.786181
19.41,63,122.918183
-1.93,195,123.42867
-11.54,155,124.145593
38.22,184,124.620351
19.07,97,124.860867
39.31,75,125.059388
38.38,168,125.465506
-12.0,201,125.977143
28.32,173,126.387949
-10.69,70,126.580226
19.34,70,126.746095
-2.3,232,127.340287
-2.25,227,128.251299
39.12,94,128.490479
18.64,140,128.846663
-2.01,203,129.334994
-12.0,201,129.85108
-0.95,97,130.090513
28.51,154,130.460334
-2.2,222,131.020132
27.56,249,131.662622
27.75,230,132.603464
28.88,117,132.91647
48.42,165,133.321236
28.29,176,133.763936
8.63,140,134.121608
38.58,148,134.488718
-10.07,8,134.49507
19.16,88,134.729833
8.56,147,135.092533
77.85,225,135.654257
38.85,121,135.970257
58.45,163,136.37365
28.21,184,137.145929
68.57,152,137.54161
47.77,230,138.106701
-12.0,201,138.620467
-11.45,146,138.981922
-1.57,159,139.384711
48.03,204,139.902532
17.54,250,140.518515
-11.7,171,141.380549
-2.16,218,141.939853
18.88,116,142.222187
-12.0,201,142.709451
48.58,149,143.102873
-0.32,34,143.184005
