#{"t_start": 1784226815.7649958, "env_id": "snake-v0"}
r,l,t
-10.01,2,0.76426
-10.03,4,0.767369
-10.03,4,0.770749
-10.12,13,0.936805
-10.07,8,0.942617
-10.19,20,1.01474
-10.1,11,1.023325
-10.25,26,1.099003
-10.05,6,1.103758
-10.16,17,1.146778
-10.07,8,1.181481
-10.13,14,1.220793
-10.15,16,1.261276
-10.15,16,1.301212
-0.2,22,1.345921
-10.11,12,1.383126
-10.04,5,1.387026
-10.06,7,1.419628
-10.02,3,1.42187
-10.06,7,1.427609
-10.02,3,1.429749
-10.05,6,1.462011
-10.07,8,1.467859
-10.03,4,1.501628
18.57,147,1.881418
-0.58,60,2.044731
-11.64,165,2.475156
-10.01,2,2.476872
-12.0,201,3.010484
-10.34,35,3.097314
18.32,172,3.513101
-12.0,201,4.057608
-0.48,50,4.187202
-12.0,201,4.714193
-12.0,201,5.561098
-10.61,62,5.718896
7.17,286,6.462374
8.78,125,6.780376
-0.9,92,7.032205
8.58,145,7.396304
-10.19,20,7.43971
-2.0,202,7.989909
-12.0,201,8.480716
-12.0,201,8.994567
-12.0,201,9.819031
-12.0,201,10.334861
-0.41,43,10.425114
-11.04,105,10.702365
-12.0,201,11.224304
-2.1,212,11.747918
-12.0,201,12.241296
-12.0,201,12.764543
-10.22,23,12.809766
-12.0,201,13.325584
-3.95,397,14.662128
-12.0,201,15.150801
7.61,242,15.757091
-2.01,203,16.272956
-10.86,87,16.506404
18.68,136,16.833214
-10.85,86,17.037194
-11.17,118,17.348257
19.07,97,17.588625
-1.99,201,18.412943
17.66,238,19.008685
19.13,91,19.245274
-1.23,125,19.563663
7.09,294,20.28802
18.1,194,20.770111
-10.5,51,20.920544
9.68,35,21.001086
19.17,87,21.209371
-10.27,28,21.286078
-12.0,201,21.772435
-2.06,208,22.579894
-2.01,203,23.095862
6.77,326,23.960528
-0.24,26,24.008788
-12.0,201,24.52926
-10.34,35,24.61049
-10.56,57,24.738627
-2.1,212,25.30137
-10.97,98,25.545959
-12.0,201,26.034923
-3.77,379,27.270884
6.79,324,28.074836
19.23,81,28.274182
-2.32,234,28.869482
-2.15,217,29.421234
7.47,256,30.060586
-11.98,199,30.902991
9.07,96,31.152174
-10.12,13,31.192516
17.55,249,31.80672
-2.05,207,32.329154
-11.41,142,32.685476
-12.0,201,33.200934
-12.0,201,33.686542
-12.0,201,34.204842
-12.0,201,34.690562
-12.0,201,35.572951
-12.0,201,36.088555
28.65,140,36.418249
19.56,48,36.536698
-0.71,73,36.731724
-12.0,201,37.220905
28.99,106,37.494003
-2.1,212,38.021391
