#{"t_start": 1784226815.7659152, "env_id": "snake-v0"}
r,l,t
-10.02,3,0.76421
9.88,15,0.931778
-10.21,22,0.97773
-10.54,55,1.103744
-10.15,16,1.145918
-10.09,10,1.182184
-10.76,77,1.381475
9.67,36,1.464034
-10.02,3,1.466211
-10.05,6,1.502397
-10.53,54,1.636748
-10.63,64,1.803367
-10.32,33,1.884376
-0.6,62,2.049137
17.66,238,2.677567
-0.51,53,2.801006
-2.69,271,3.505282
-12.0,201,4.052265
-10.35,36,4.138687
-2.11,213,4.679115
-12.0,201,5.554086
-12.0,201,6.050148
-12.0,201,6.579874
-10.3,31,6.658331
-12.0,201,7.162958
-0.43,45,7.281257
-10.42,43,7.398255
-1.61,163,7.830238
-12.0,201,8.353766
7.37,266,9.001014
-2.3,232,9.932749
-0.75,77,10.130418
7.22,281,10.829682
-12.0,201,11.345733
-2.59,261,11.995905
-12.0,201,12.51919
-10.01,2,12.520826
-12.0,201,13.007506
-12.0,201,13.523076
-12.0,201,14.349977
-12.0,201,14.864856
-11.94,195,15.348443
-11.19,120,15.665947
-12.0,201,16.152226
19.28,76,16.351286
18.6,144,16.710671
-1.99,201,17.223683
-10.28,29,17.274042
-10.23,24,17.347385
-1.05,107,17.623521
-2.19,221,18.490026
-12.0,201,19.002704
18.83,121,19.289335
-12.0,201,19.804321
-2.66,268,20.482243
7.96,207,21.000226
-0.73,75,21.170173
-2.48,250,21.806137
-10.02,3,21.8083
-12.0,201,22.61041
18.0,204,23.126732
-10.53,54,23.2525
18.49,155,23.663706
-12.0,201,24.170353
19.1,94,24.409946
-2.79,281,25.135138
-10.56,57,25.26199
-2.12,214,25.823529
-1.33,135,26.148635
-2.32,234,27.025966
-10.15,16,27.066121
7.6,243,27.66465
18.26,178,28.107936
-11.19,120,28.393783
19.67,37,28.505461
19.11,93,28.743622
19.74,30,28.793624
-12.0,201,29.304777
19.23,81,29.505511
18.17,187,29.981039
7.83,220,30.866251
-12.0,201,31.399944
17.83,221,31.961276
-10.21,22,32.005298
-12.0,201,32.519866
-10.1,11,32.52817
-10.47,48,32.64766
-10.66,67,32.838341
7.59,244,33.440251
18.55,149,33.803715
-1.07,109,34.083937
-0.67,69,34.248408
-10.31,32,34.328219
-10.35,36,34.438457
-12.0,201,35.295733
