#{"t_start": 1784226815.7653718, "env_id": "snake-v0"}
r,l,t
-10.03,4,0.765545
-10.05,6,0.770416
-10.13,14,0.93724
-10.16,17,0.97908
-10.16,17,1.019943
-10.01,2,1.021493
-10.18,19,1.063847
-10.19,20,1.136775
-10.03,4,1.140055
-10.09,10,1.176091
-10.06,7,1.181893
-0.27,29,1.260942
-10.04,5,1.26488
-0.36,38,1.349317
-10.22,23,1.422283
-10.03,4,1.425436
-1.02,104,1.717701
-10.34,35,1.801189
-10.3,31,1.881077
-0.6,62,2.045939
-10.6,61,2.187107
8.58,145,2.593528
-11.77,178,3.056221
18.91,113,3.338192
-10.07,8,3.344427
-11.18,119,3.686184
-12.0,201,4.1876
-2.65,267,4.875618
-12.0,201,5.722319
-0.76,78,5.920711
6.6,343,6.819303
-3.4,342,7.702643
18.29,175,8.157675
-12.0,201,8.675501
-2.04,206,9.191516
7.24,279,10.21571
-10.5,51,10.339244
-2.37,239,10.950206
-0.77,79,11.148634
-2.11,213,11.673919
8.05,198,12.192538
-12.0,201,12.687628
-12.0,201,13.204082
16.71,333,14.381754
7.45,258,15.023613
-12.0,201,15.511913
-2.13,215,16.066923
-12.0,201,16.55506
-12.0,201,17.069823
-11.07,108,17.345689
-12.0,201,18.169665
19.21,83,18.370373
-12.0,201,18.882331
-0.72,74,19.079167
18.43,161,19.481201
-12.0,201,19.967091
-10.18,19,20.009274
-12.0,201,20.525095
9.6,43,20.641188
-0.18,20,20.684474
6.38,365,21.60454
-2.88,290,22.611756
-12.0,201,23.098384
19.17,87,23.331562
-2.49,251,24.000558
6.1,393,24.978974
18.21,183,25.458899
17.56,248,26.070102
7.18,285,27.069938
19.73,31,27.147333
18.4,164,27.548105
-12.0,201,28.0653
18.82,122,28.351679
-12.0,201,28.866089
-12.0,201,29.349257
-1.96,198,29.862329
-12.0,201,30.350945
-2.16,218,31.280121
-12.0,201,31.766326
-10.2,21,31.839308
-12.0,201,32.328825
-12.0,201,32.841825
-12.0,201,33.328372
-10.12,13,33.365565
19.19,85,33.596393
-10.6,61,33.726734
-0.72,74,33.923356
-10.33,34,34.004084
19.35,69,34.171138
-10.08,9,34.20598
