#{"t_start": 1784230683.8861885, "env_id": "snake-image-v0"}
r,l,t
-10.05,6,0.798975
-10.09,10,0.805782
-10.15,16,0.816617
-10.07,8,0.822204
-10.14,15,0.832196
-10.13,14,0.841671
-10.16,17,0.853718
-10.05,6,0.857603
-10.16,17,0.869234
-0.32,34,1.176841
-10.15,16,1.187979
-10.02,3,1.189924
-10.13,14,1.199563
-10.17,18,1.212285
-10.02,3,1.214376
-0.2,22,1.229948
-10.16,17,1.241381
-10.2,21,1.385373
-0.42,44,1.414629
-10.2,21,1.428676
-10.01,2,1.430018
-10.06,7,1.434942
-10.32,33,1.456583
-10.05,6,1.460826
9.49,54,1.627957
-10.29,30,1.648117
-10.17,18,1.660134
-10.56,57,1.82831
-10.36,37,1.853484
-0.09,11,1.860859
-10.13,14,1.870229
-10.02,3,1.872108
-10.11,12,1.880039
-10.02,3,1.881954
-10.89,90,2.072612
-10.17,18,2.085335
9.46,57,2.255308
-10.07,8,2.260984
-0.11,13,2.269836
-10.36,37,2.294942
-10.55,56,2.332341
-10.16,17,2.472969
-10.32,33,2.494831
-10.2,21,2.508577
-10.13,14,2.518184
9.61,42,2.546087
-10.68,69,2.725341
-10.29,30,2.745611
-10.37,38,2.777534
-10.05,6,2.920465
-10.07,8,2.926462
-10.06,7,2.930994
-10.32,33,2.954143
-10.26,27,2.972497
-10.19,20,2.986359
-10.06,7,2.990866
-10.54,55,3.163788
-0.46,48,3.196352
-10.05,6,3.200159
-10.07,8,3.205822
-10.36,37,3.374416
-10.07,8,3.380938
-10.32,33,3.410964
-10.59,60,3.46238
-10.19,20,3.476793
-10.44,45,3.652734
-11.32,133,3.878247
-10.04,5,3.881431
-10.18,19,3.894533
-0.69,71,4.088865
-10.64,65,4.141531
-10.49,50,4.333035
-10.47,48,4.368031
-10.17,18,4.387271
7.68,235,4.83023
-11.84,185,5.081432
8.36,167,5.45263
-11.06,107,5.52305
-12.0,201,5.920122
9.5,53,5.955522
-12.0,201,6.77556
-10.85,86,6.963361
-12.0,201,7.253322
-12.0,201,7.667637
-10.46,47,7.701699
-10.76,77,7.908984
-10.33,34,7.93415
-10.19,20,7.947888
8.4,163,8.196105
-1.99,201,8.595001
-11.33,134,8.818124
-11.56,157,9.050392
-3.04,306,9.646414
-12.0,201,9.907038
-10.42,43,10.064703
-10.51,52,10.098799
-12.0,201,10.490377
-10.64,65,10.532854
-12.0,201,10.93194
-12.0,201,11.200537
-12.0,201,11.602094
