#{"t_start": 1784200307.1717918, "env_id": "snake-v0"}
r,l,t
-160.0,13,0.772754
-32.0,8,0.930734
-139.0,21,0.976266
-266.0,32,1.057876
-99.0,16,1.097907
-27.0,3,1.100111
-200.0,41,1.215307
-34.0,4,1.218582
-188.0,38,1.303439
-69.0,14,1.341281
-132.0,22,1.414524
-48.0,12,1.424201
-153.0,19,1.494499
-180.0,33,1.576814
-133.0,31,1.656245
-43.0,6,1.661456
-115.0,11,1.69782
-292.0,40,1.78462
-16.0,4,1.787738
-27.0,3,1.817899
-23.0,3,1.820224
-32.0,6,1.82479
-225.0,19,1.869292
-22.0,4,1.899571
-49.0,10,1.907569
-14.0,2,1.909506
-14.0,2,1.938028
-77.0,11,1.947241
-69.0,15,1.986028
-70.0,17,2.026902
-31.0,7,2.061326
-34.0,6,2.066211
-23.0,7,2.07183
-28.0,4,2.101839
-40.0,5,2.105872
-19.0,6,2.110973
-70.0,14,2.149247
-78.0,9,2.183623
-34.0,4,2.186785
-37.0,7,2.219869
-32.0,6,2.224733
-64.0,8,2.231743
-65.0,10,2.268077
-29.0,3,2.270423
-89.0,15,2.309505
-15.0,2,2.311142
-55.0,6,2.343101
-72.0,8,2.349602
-20.0,2,2.35148
-31.0,3,2.353838
-31.0,3,2.383139
-27.0,3,2.385738
-32.0,9,2.393516
-20.0,2,2.422833
-66.0,9,2.43019
