#{"t_start": 1784200307.1707666, "env_id": "snake-v0"}
r,l,t
-134.0,22,0.932478
-86.0,21,0.978024
-62.0,13,1.015885
-180.0,20,1.060552
-172.0,41,1.173883
-137.0,15,1.214472
-148.0,21,1.258673
-322.0,49,1.379879
-15.0,7,1.412737
-47.0,4,1.416342
-69.0,10,1.424277
-39.0,6,1.45703
-57.0,7,1.462702
-48.0,10,1.49771
-21.0,2,1.499226
-79.0,15,1.538631
-233.0,27,1.6163
-20.0,2,1.6178
-219.0,27,1.667037
-78.0,17,1.708223
-154.0,13,1.746985
-92.0,17,1.787211
-146.0,16,1.827818
-70.0,10,1.86452
-186.0,26,1.939802
-98.0,18,1.981414
-110.0,20,2.024616
-19.0,3,2.027121
-63.0,7,2.061527
-23.0,3,2.064039
-22.0,2,2.065634
-139.0,22,2.110312
-17.0,3,2.112835
-52.0,4,2.143205
-30.0,6,2.147843
-124.0,17,2.188515
-43.0,7,2.221701
-119.0,23,2.269052
-154.0,17,2.30943
-15.0,3,2.312109
-40.0,9,2.346438
-19.0,4,2.349679
-60.0,6,2.354787
-23.0,3,2.384084
-68.0,8,2.390784
-45.0,8,2.425518
