#{"t_start": 1784200307.1721997, "env_id": "snake-v0"}
r,l,t
-20.0,6,0.767133
-24.0,6,0.771584
-52.0,5,0.927083
-66.0,17,0.969653
-117.0,37,1.055201
-18.0,5,1.059204
-256.0,46,1.176698
-16.0,2,1.178418
-147.0,27,1.255641
-130.0,20,1.298647
-127.0,20,1.341795
-81.0,12,1.379267
-32.0,9,1.41414
-17.0,3,1.416527
-160.0,21,1.461327
-40.0,4,1.464243
-68.0,17,1.532282
-195.0,23,1.579448
-51.0,7,1.584843
-33.0,3,1.614939
-157.0,20,1.658825
-51.0,8,1.664892
-16.0,2,1.66654
-26.0,5,1.698194
-112.0,13,1.736435
-77.0,20,1.779577
-217.0,30,1.860019
-43.0,7,1.865385
-112.0,10,1.900986
-85.0,15,1.939937
-40.0,5,1.944187
-7.0,3,1.946853
-40.0,4,1.94981
-25.0,4,1.980051
-45.0,7,1.985644
-83.0,11,2.021692
-55.0,6,2.026517
-25.0,3,2.028863
-22.0,5,2.061729
-62.0,10,2.069987
-22.0,2,2.071454
-65.0,11,2.106975
-43.0,11,2.143414
-48.0,5,2.147278
-92.0,18,2.188879
-34.0,4,2.219484
-19.0,2,2.221118
-92.0,12,2.231358
-52.0,14,2.27079
-25.0,3,2.273195
-16.0,4,2.303291
-17.0,3,2.30567
-16.0,4,2.309119
-68.0,12,2.345842
-28.0,4,2.349219
-37.0,4,2.352646
-34.0,8,2.386089
-52.0,5,2.390194
-52.0,8,2.424885
-74.0,12,2.434697
