#{"t_start": 1784200307.1705697, "env_id": "snake-v0"}
r,l,t
-108.0,20,0.930967
-34.0,4,0.934156
-140.0,18,0.977419
-17.0,3,0.979679
-50.0,6,1.01222
-39.0,6,1.01682
-52.0,6,1.021691
-77.0,18,1.092087
-637.0,75,1.261531
-63.0,10,1.296362
-257.0,34,1.378556
-152.0,37,1.463665
-36.0,5,1.49492
-78.0,9,1.502075
-152.0,14,1.540316
-19.0,2,1.54189
-234.0,32,1.624035
-33.0,8,1.657397
-87.0,11,1.66643
-19.0,6,1.698976
-50.0,10,1.706903
-107.0,27,1.783375
-132.0,14,1.822152
-29.0,7,1.827982
-38.0,10,1.864693
-95.0,14,1.903345
-131.0,22,1.948405
-45.0,12,1.984661
-36.0,13,2.022496
-29.0,3,2.024781
-65.0,15,2.065809
-20.0,2,2.067349
-152.0,20,2.110486
-87.0,15,2.149654
-44.0,5,2.180769
-82.0,9,2.187939
-60.0,6,2.192708
-71.0,11,2.229574
-25.0,4,2.232896
-63.0,11,2.270059
-55.0,6,2.274756
-19.0,3,2.304115
-19.0,3,2.30644
-24.0,2,2.308077
-38.0,5,2.312283
-25.0,3,2.314786
-34.0,5,2.345827
-52.0,9,2.353446
-93.0,16,2.39389
-107.0,11,2.430558
-29.0,3,2.432939
