#{"t_start": 1784200307.169889, "env_id": "snake-v0"}
r,l,t
-239.0,46,0.981263
-22.0,6,1.013664
-119.0,10,1.021569
-35.0,6,1.055164
-240.0,38,1.139342
-143.0,27,1.216156
-75.0,14,1.254781
-53.0,19,1.296992
-60.0,10,1.305253
-57.0,8,1.338617
-604.0,82,1.541773
-34.0,4,1.545442
-79.0,6,1.578606
-148.0,17,1.61964
-179.0,30,1.698869
-21.0,4,1.701931
-247.0,35,1.784799
-119.0,18,1.826613
-48.0,12,1.865324
-25.0,3,1.867597
-60.0,9,1.90239
-51.0,10,1.910152
-45.0,6,1.942156
-18.0,4,1.945567
-23.0,3,1.948159
-93.0,10,1.983073
-181.0,27,2.031841
-50.0,6,2.065663
-29.0,4,2.068802
-37.0,7,2.101187
-34.0,5,2.105212
-40.0,6,2.10998
-52.0,4,2.113652
-23.0,2,2.142311
-107.0,22,2.187124
-67.0,15,2.226543
-122.0,17,2.269038
-36.0,10,2.303958
-20.0,5,2.307864
-60.0,6,2.31291
-22.0,4,2.343019
-15.0,2,2.344881
-66.0,8,2.351408
-76.0,13,2.389084
-27.0,3,2.391605
-13.0,2,2.393249
-28.0,4,2.424636
-28.0,4,2.428115
